# capturedAtLocal=2026-09-24T20:00:29.9245569+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=5
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# orientation=4
# originX=375
# originY=476
# keepX=418
# keepY=519
# evaluatedCells=2616
# nativeBlockedCells=29
# resultGridBlockedCells=0
# validatorCalls=2587
# validatorBlockedCells=0
# preValidatorBlockedCells=29
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
12	81	456	488	110	110	131	0	False
12	82	457	488	110	110	131	0	False
12	83	458	488	110	110	131	0	False
13	21	396	489	110	110	137	0	False
13	22	397	489	110	110	137	0	False
13	23	398	489	110	110	137	0	False
13	80	455	489	26	26	156	0	False
13	81	456	489	110	110	131	0	False
13	82	457	489	110	110	131	0	False
13	83	458	489	110	110	131	0	False
14	21	396	490	110	110	137	0	False
14	22	397	490	110	110	137	0	False
14	23	398	490	110	110	137	0	False
14	24	399	490	26	26	152	0	False
14	69	444	490	169	169	67	0	False
14	70	445	490	169	169	67	0	False
14	71	446	490	169	169	67	0	False
14	72	447	490	169	169	67	0	False
14	79	454	490	26	26	156	0	False
14	80	455	490	25	25	129	0	False
14	81	456	490	110	110	131	0	False
14	82	457	490	110	110	131	0	False
14	83	458	490	110	110	131	0	False
15	21	396	491	110	110	137	0	False
15	22	397	491	110	110	137	0	False
15	23	398	491	110	110	137	0	False
15	24	399	491	25	25	133	0	False
15	25	400	491	26	26	152	0	False
15	32	407	491	169	169	70	0	False
15	33	408	491	169	169	70	0	False
15	34	409	491	169	169	70	0	False
15	35	410	491	169	169	70	0	False
15	42	417	491	146	146	27	0	False
15	43	418	491	146	146	27	0	False
15	44	419	491	146	146	27	0	False
15	45	420	491	146	146	27	0	False
15	46	421	491	146	146	27	0	False
15	47	422	491	146	146	27	0	False
15	48	423	491	146	146	27	0	False
15	50	425	491	114	114	50	0	False
15	51	426	491	114	114	50	0	False
15	52	427	491	114	114	50	0	False
15	53	428	491	114	114	50	0	False
15	54	429	491	114	114	50	0	False
15	55	430	491	114	114	50	0	False
15	57	432	491	146	146	49	0	False
15	58	433	491	146	146	49	0	False
15	59	434	491	146	146	49	0	False
