# capturedAtLocal=2026-09-24T20:00:29.9462198+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=6
# candidateId=0
# aivName=Default 2
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# orientation=2
# originX=438
# originY=354
# keepX=481
# keepY=397
# evaluatedCells=2870
# nativeBlockedCells=2
# resultGridBlockedCells=2
# validatorCalls=2870
# validatorBlockedCells=2
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
9	42	480	363	99	99	102	0	False
10	39	477	364	99	99	102	0	False
10	41	479	364	99	99	102	0	False
10	42	480	364	99	99	102	0	False
11	37	475	365	99	99	102	0	False
11	38	476	365	99	99	102	0	False
11	39	477	365	99	99	102	0	False
11	40	478	365	99	99	102	0	False
11	41	479	365	99	99	102	0	False
11	42	480	365	99	99	102	0	False
11	43	481	365	99	99	102	0	False
11	44	482	365	99	99	102	0	False
12	37	475	366	99	99	102	0	False
12	44	482	366	99	99	102	0	False
12	45	483	366	99	99	102	0	False
12	46	484	366	99	99	102	0	False
13	37	475	367	99	99	102	0	False
13	38	476	367	113	113	50	0	False
13	39	477	367	113	113	50	0	False
13	40	478	367	113	113	50	0	False
13	41	479	367	113	113	50	0	False
13	42	480	367	113	113	50	0	False
13	43	481	367	113	113	50	0	False
13	45	483	367	99	99	102	0	False
14	35	473	368	99	99	102	0	False
14	36	474	368	99	99	102	0	False
14	37	475	368	99	99	102	0	False
14	38	476	368	113	113	50	0	False
14	39	477	368	113	113	50	0	False
14	40	478	368	113	113	50	0	False
14	41	479	368	113	113	50	0	False
14	42	480	368	113	113	50	0	False
14	43	481	368	113	113	50	0	False
14	46	484	368	99	99	102	0	False
15	24	462	369	99	99	101	0	False
15	25	463	369	99	99	101	0	False
15	35	473	369	99	99	102	0	False
15	38	476	369	113	113	50	0	False
15	39	477	369	113	113	50	0	False
15	40	478	369	113	113	50	0	False
15	41	479	369	113	113	50	0	False
15	42	480	369	113	113	50	0	False
15	43	481	369	113	113	50	0	False
15	46	484	369	99	99	102	0	False
15	67	505	369	99	99	103	0	False
16	22	460	370	99	99	101	0	False
16	23	461	370	99	99	101	0	False
16	24	462	370	99	99	101	0	False
16	38	476	370	113	113	50	0	False
16	39	477	370	113	113	50	0	False
16	40	478	370	113	113	50	0	False
16	41	479	370	113	113	50	0	False
16	42	480	370	113	113	50	0	False
16	43	481	370	113	113	50	0	False
16	44	482	370	106	106	111	0	False
16	45	483	370	106	106	111	0	False
16	46	484	370	106	106	111	0	False
16	47	485	370	106	106	111	0	False
16	48	486	370	106	106	111	0	False
16	61	499	370	99	99	103	0	False
16	62	500	370	99	99	103	0	False
16	67	505	370	99	99	103	0	False
16	68	506	370	99	99	103	0	False
17	21	459	371	99	99	101	0	False
17	22	460	371	99	99	101	0	False
17	24	462	371	25	25	114	0	False
17	25	463	371	25	25	114	0	False
17	26	464	371	25	25	114	0	False
17	27	465	371	25	25	114	0	False
17	28	466	371	25	25	114	0	False
17	29	467	371	25	25	114	0	False
17	30	468	371	25	25	114	0	False
17	31	469	371	25	25	114	0	False
17	32	470	371	25	25	114	0	False
17	33	471	371	25	25	114	0	False
17	34	472	371	25	25	114	0	False
17	35	473	371	25	25	114	0	False
17	36	474	371	25	25	114	0	False
17	37	475	371	25	25	114	0	False
17	38	476	371	113	113	50	0	False
17	39	477	371	113	113	50	0	False
17	40	478	371	113	113	50	0	False
17	41	479	371	113	113	50	0	False
17	42	480	371	113	113	50	0	False
17	43	481	371	113	113	50	0	False
17	44	482	371	106	106	111	0	False
17	45	483	371	106	106	111	0	False
17	46	484	371	106	106	111	0	False
17	47	485	371	106	106	111	0	False
17	48	486	371	106	106	111	0	False
17	49	487	371	106	106	111	0	False
17	50	488	371	106	106	111	0	False
17	51	489	371	106	106	111	0	False
17	52	490	371	106	106	111	0	False
17	53	491	371	106	106	111	0	False
17	54	492	371	106	106	111	0	False
17	55	493	371	106	106	111	0	False
17	56	494	371	106	106	111	0	False
17	63	501	371	99	99	103	0	False
17	64	502	371	99	99	103	0	False
17	65	503	371	99	99	103	0	False
17	66	504	371	99	99	103	0	False
17	67	505	371	99	99	103	0	False
17	68	506	371	99	99	103	0	False
17	69	507	371	99	99	103	0	False
17	70	508	371	99	99	103	0	False
18	21	459	372	99	99	101	0	False
18	24	462	372	25	25	93	0	False
18	25	463	372	25	25	93	0	False
18	26	464	372	25	25	93	0	False
18	27	465	372	25	25	93	0	False
18	28	466	372	25	25	93	0	False
