# capturedAtLocal=2026-09-24T20:00:48.2600946+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# candidateId=0
# aivName=Default 8
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf8.aivjson
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# orientation=4
# originX=355
# originY=215
# keepX=398
# keepY=258
# evaluatedCells=2068
# nativeBlockedCells=10
# resultGridBlockedCells=4
# validatorCalls=2062
# validatorBlockedCells=4
# preValidatorBlockedCells=6
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
18	52	407	233	99	99	186	0	False
18	64	419	233	99	99	187	0	False
19	49	404	234	99	99	186	0	False
19	58	413	234	99	99	186	0	False
19	65	420	234	99	99	187	0	False
19	70	425	234	99	99	187	0	False
19	74	429	234	99	99	187	0	False
20	36	391	235	99	99	186	0	False
20	39	394	235	99	99	186	0	False
20	42	397	235	99	99	335	0	False
20	46	401	235	99	99	186	0	False
20	57	412	235	99	99	186	0	False
20	59	414	235	99	99	186	0	False
20	61	416	235	99	99	186	0	False
20	63	418	235	99	99	187	0	False
20	64	419	235	99	99	187	0	False
20	66	421	235	99	99	187	0	False
20	70	425	235	99	99	187	0	False
20	71	426	235	99	99	187	0	False
20	75	430	235	99	99	187	0	False
20	77	432	235	99	99	187	1	True
20	78	433	235	99	99	187	1	True
20	79	434	235	99	99	187	0	False
20	81	436	235	99	99	187	0	False
20	82	437	235	99	99	187	0	False
21	32	387	236	99	99	186	0	False
21	33	388	236	99	99	186	0	False
21	36	391	236	99	99	186	0	False
21	37	392	236	99	99	186	0	False
21	38	393	236	99	99	186	0	False
21	42	397	236	99	99	186	0	False
21	44	399	236	99	99	186	0	False
