# capturedAtLocal=2026-09-24T20:03:47.9479262+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 8
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir8.aivjson
# aivJsonSha256=c0287e57c640f05a602bd38bf49f5ee8db1101cdcdf965f8628caee49e43b7d5
# orientation=4
# originX=375
# originY=476
# keepX=418
# keepY=519
# evaluatedCells=1856
# nativeBlockedCells=251
# resultGridBlockedCells=250
# validatorCalls=1855
# validatorBlockedCells=250
# preValidatorBlockedCells=1
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
25	47	422	501	54	54	146	0	False
25	48	423	501	54	54	146	0	False
25	49	424	501	54	54	146	0	False
25	50	425	501	54	54	146	0	False
25	65	440	501	54	54	11	0	False
25	66	441	501	54	54	11	0	False
25	67	442	501	54	54	11	0	False
25	68	443	501	54	54	11	0	False
26	33	408	502	54	54	10	0	False
26	34	409	502	54	54	10	0	False
26	35	410	502	54	54	10	0	False
26	36	411	502	54	54	10	0	False
26	37	412	502	92	92	63	0	False
26	38	413	502	92	92	63	0	False
26	39	414	502	92	92	63	0	False
26	40	415	502	92	92	63	0	False
26	41	416	502	92	92	63	0	False
26	47	422	502	54	54	146	0	False
26	48	423	502	54	54	146	0	False
26	49	424	502	54	54	146	0	False
26	50	425	502	54	54	146	0	False
26	65	440	502	54	54	11	0	False
26	66	441	502	54	54	11	0	False
26	67	442	502	54	54	11	0	False
26	68	443	502	54	54	11	0	False
27	33	408	503	54	54	10	0	False
27	34	409	503	54	54	10	0	False
27	35	410	503	54	54	10	0	False
27	36	411	503	54	54	10	0	False
27	37	412	503	92	92	63	0	False
27	38	413	503	92	92	63	0	False
27	39	414	503	92	92	63	0	False
27	40	415	503	92	92	63	0	False
27	41	416	503	92	92	63	0	False
27	43	418	503	76	76	64	0	False
27	44	419	503	76	76	64	0	False
27	45	420	503	76	76	64	0	False
27	46	421	503	76	76	64	0	False
27	47	422	503	54	54	146	0	False
27	48	423	503	54	54	146	0	False
27	49	424	503	54	54	146	0	False
27	50	425	503	54	54	146	0	False
27	55	430	503	50	50	27	0	False
27	56	431	503	50	50	27	0	False
27	57	432	503	50	50	27	0	False
27	58	433	503	50	50	27	0	False
27	65	440	503	54	54	11	0	False
27	66	441	503	54	54	11	0	False
27	67	442	503	54	54	11	0	False
27	68	443	503	54	54	11	0	False
28	33	408	504	54	54	10	0	False
28	34	409	504	54	54	10	0	False
28	35	410	504	54	54	10	0	False
28	36	411	504	54	54	10	0	False
28	37	412	504	92	92	63	0	False
28	38	413	504	92	92	63	0	False
28	39	414	504	92	92	63	0	False
28	40	415	504	92	92	63	0	False
28	41	416	504	92	92	63	0	False
28	43	418	504	76	76	64	0	False
28	44	419	504	76	76	64	0	False
28	45	420	504	76	76	64	0	False
28	46	421	504	76	76	64	0	False
28	47	422	504	54	54	146	0	False
28	48	423	504	54	54	146	0	False
28	49	424	504	54	54	146	0	False
28	50	425	504	54	54	146	0	False
28	55	430	504	50	50	27	0	False
28	56	431	504	50	50	27	0	False
28	57	432	504	50	50	27	0	False
28	58	433	504	50	50	27	0	False
28	65	440	504	54	54	11	0	False
28	66	441	504	54	54	11	0	False
28	67	442	504	54	54	11	0	False
28	68	443	504	54	54	11	0	False
28	70	445	504	110	110	99	0	False
28	71	446	504	110	110	99	0	False
28	72	447	504	110	110	99	0	False
29	29	404	505	110	110	100	0	False
29	30	405	505	110	110	100	0	False
29	31	406	505	110	110	100	0	False
29	33	408	505	54	54	10	0	False
29	34	409	505	54	54	10	0	False
29	35	410	505	54	54	10	0	False
29	36	411	505	54	54	10	0	False
29	37	412	505	92	92	63	0	False
29	38	413	505	92	92	63	0	False
29	39	414	505	92	92	63	0	False
29	40	415	505	92	92	63	0	False
29	41	416	505	92	92	63	0	False
29	43	418	505	76	76	64	0	False
29	44	419	505	76	76	64	0	False
29	45	420	505	76	76	64	0	False
29	46	421	505	76	76	64	0	False
29	55	430	505	50	50	27	0	False
29	56	431	505	50	50	27	0	False
29	57	432	505	50	50	27	0	False
29	58	433	505	50	50	27	0	False
29	60	435	505	50	50	65	0	False
29	61	436	505	50	50	65	0	False
29	62	437	505	50	50	65	0	False
29	63	438	505	50	50	65	0	False
29	69	444	505	26	26	133	0	False
29	70	445	505	110	110	99	0	False
29	71	446	505	110	110	99	0	False
29	72	447	505	110	110	99	0	False
30	29	404	506	110	110	100	0	False
30	30	405	506	110	110	100	0	False
30	31	406	506	110	110	100	0	False
30	32	407	506	26	26	139	0	False
30	37	412	506	92	92	63	0	False
30	38	413	506	92	92	63	0	False
30	39	414	506	92	92	63	0	False
30	40	415	506	92	92	63	0	False
30	41	416	506	92	92	63	0	False
30	43	418	506	76	76	64	0	False
30	44	419	506	76	76	64	0	False
30	45	420	506	76	76	64	0	False
30	46	421	506	76	76	64	0	False
30	47	422	506	146	146	32	0	False
30	48	423	506	146	146	32	0	False
30	49	424	506	146	146	32	0	False
30	50	425	506	146	146	32	0	False
30	51	426	506	146	146	32	0	False
30	52	427	506	146	146	32	0	False
30	53	428	506	146	146	32	0	False
30	55	430	506	50	50	27	0	False
30	56	431	506	50	50	27	0	False
30	57	432	506	50	50	27	0	False
30	58	433	506	50	50	27	0	False
30	60	435	506	50	50	65	0	False
30	61	436	506	50	50	65	0	False
30	62	437	506	50	50	65	0	False
30	63	438	506	50	50	65	0	False
30	68	443	506	26	26	133	0	False
30	69	444	506	25	25	93	0	False
30	70	445	506	110	110	99	0	False
30	71	446	506	110	110	99	0	False
30	72	447	506	110	110	99	0	False
31	29	404	507	110	110	100	0	False
31	30	405	507	110	110	100	0	False
31	31	406	507	110	110	100	0	False
31	32	407	507	25	25	98	0	False
31	33	408	507	26	26	139	0	False
31	47	422	507	146	146	32	0	False
31	48	423	507	146	146	32	0	False
31	49	424	507	146	146	32	0	False
31	50	425	507	146	146	32	0	False
31	51	426	507	146	146	32	0	False
31	52	427	507	146	146	32	0	False
31	53	428	507	146	146	32	0	False
31	60	435	507	50	50	65	0	False
31	61	436	507	50	50	65	0	False
31	62	437	507	50	50	65	0	False
31	63	438	507	50	50	65	0	False
31	67	442	507	26	26	133	0	False
31	68	443	507	25	25	93	0	False
31	69	444	507	25	25	91	0	False
31	70	445	507	25	25	92	0	False
31	71	446	507	26	26	132	0	False
32	30	405	508	26	26	140	0	False
32	31	406	508	25	25	95	0	False
32	32	407	508	25	25	94	0	False
32	33	408	508	25	25	98	0	False
32	34	409	508	26	26	139	0	False
