# capturedAtLocal=2026-09-24T20:02:15.7911187+02:00
# mapLoadSequence=5
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad7.aivjson
# aivJsonSha256=48f6c0603de610ce1c27493352e3b83d1ff506672799da92709aa7ee2becaf14
# keepX=535
# keepY=396
# captureSequence=7
# playerId=8
# frameCount=115
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=893
# buildingRecordChanges=75
# beforeCaptureMilliseconds=758,7
# afterCaptureMilliseconds=993,4
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T20:02:15.7911187+02:00	2026-09-24T20:02:15.7976369+02:00	35	0	7	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
2	2026-09-24T20:02:15.8057014+02:00	2026-09-24T20:02:15.8125793+02:00	35	1	7	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
3	2026-09-24T20:02:15.8209493+02:00	2026-09-24T20:02:15.8284610+02:00	35	2	7	80	False	1	0	1	159335	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
4	2026-09-24T20:02:15.8374867+02:00	2026-09-24T20:02:15.8440168+02:00	35	3	7	52	True	1	0	1	158547	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
5	2026-09-24T20:02:15.8525271+02:00	2026-09-24T20:02:15.8591899+02:00	35	4	7	79	False	1	0	1	168046	0	1	0	0x7FFAB507EDB0	True	0	49	0	49	
6	2026-09-24T20:02:15.8688287+02:00	2026-09-24T20:02:15.8753421+02:00	35	5	7	77	False	1	0	1	157758	0	1	1	0x7FFAB507EDB0	True	25	0	0	25	
7	2026-09-24T20:02:15.8833621+02:00	2026-09-24T20:02:15.8900095+02:00	35	6	7	54	False	1	0	1	153802	0	1	0	0x7FFAB507EDB0	True	0	36	0	36	
8	2026-09-24T20:02:15.8984481+02:00	2026-09-24T20:02:15.9046341+02:00	35	7	7	54	False	1	0	1	153807	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
9	2026-09-24T20:02:15.9141640+02:00	2026-09-24T20:02:15.9206731+02:00	35	8	7	46	False	1	0	6	44	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
10	2026-09-24T20:02:15.9296887+02:00	2026-09-24T20:02:15.9361984+02:00	35	9	7	46	False	1	0	6	81	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
11	2026-09-24T20:02:15.9472419+02:00	2026-09-24T20:02:15.9551711+02:00	35	10	7	46	False	1	0	4	51	0	1	1	0x7FFAB507EDB0	True	0	9	0	9	
12	2026-09-24T20:02:15.9651263+02:00	2026-09-24T20:02:15.9756671+02:00	35	11	7	46	False	1	0	17	0	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
13	2026-09-24T20:02:15.9839537+02:00	2026-09-24T20:02:15.9914642+02:00	35	12	7	46	False	1	0	16	87	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
14	2026-09-24T20:02:15.9995886+02:00	2026-09-24T20:02:16.0056017+02:00	35	13	7	54	False	1	0	1	153812	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
15	2026-09-24T20:02:16.0141354+02:00	2026-09-24T20:02:16.0211689+02:00	35	14	7	46	False	1	0	15	17	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
16	2026-09-24T20:02:16.0296788+02:00	2026-09-24T20:02:16.0358295+02:00	35	15	7	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
17	2026-09-24T20:02:16.0458675+02:00	2026-09-24T20:02:16.0523765+02:00	35	16	7	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
18	2026-09-24T20:02:16.0606781+02:00	2026-09-24T20:02:16.0675070+02:00	35	17	7	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
19	2026-09-24T20:02:16.0760136+02:00	2026-09-24T20:02:16.0825264+02:00	35	18	7	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
20	2026-09-24T20:02:16.0900401+02:00	2026-09-24T20:02:16.0970542+02:00	35	19	7	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
21	2026-09-24T20:02:16.1050655+02:00	2026-09-24T20:02:16.1110811+02:00	35	20	7	185	False	1	0	1	154603	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
22	2026-09-24T20:02:16.1200981+02:00	2026-09-24T20:02:16.1271198+02:00	35	21	7	184	False	1	0	1	153818	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
23	2026-09-24T20:02:16.1356264+02:00	2026-09-24T20:02:16.1421348+02:00	35	22	7	183	False	1	0	1	153035	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
24	2026-09-24T20:02:16.1508566+02:00	2026-09-24T20:02:16.1574327+02:00	35	23	7	54	False	1	0	1	169627	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
25	2026-09-24T20:02:16.1654624+02:00	2026-09-24T20:02:16.1715394+02:00	35	24	7	46	False	1	0	1	50	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
26	2026-09-24T20:02:16.1805492+02:00	2026-09-24T20:02:16.1870781+02:00	35	25	7	46	False	1	0	6	55	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
27	2026-09-24T20:02:16.1950922+02:00	2026-09-24T20:02:16.2010919+02:00	35	26	7	46	False	1	0	1	80	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
28	2026-09-24T20:02:16.2101801+02:00	2026-09-24T20:02:16.2156960+02:00	35	27	7	46	False	1	0	7	73	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
29	2026-09-24T20:02:16.2252315+02:00	2026-09-24T20:02:16.2312310+02:00	35	28	7	54	False	1	0	1	169617	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
30	2026-09-24T20:02:16.2397408+02:00	2026-09-24T20:02:16.2467592+02:00	35	29	7	46	False	1	0	7	66	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
31	2026-09-24T20:02:16.2554892+02:00	2026-09-24T20:02:16.2610000+02:00	35	30	7	54	False	1	0	1	169622	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
32	2026-09-24T20:02:16.2700131+02:00	2026-09-24T20:02:16.2765208+02:00	35	31	7	46	False	1	0	5	61	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
33	2026-09-24T20:02:16.2845390+02:00	2026-09-24T20:02:16.2915746+02:00	35	32	7	46	False	1	0	6	38	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
34	2026-09-24T20:02:16.3001797+02:00	2026-09-24T20:02:16.3066912+02:00	35	33	7	98	False	1	0	1	168073	0	1	1	0x7FFAB507EDB0	True	1	0	0	1	
35	2026-09-24T20:02:16.3152412+02:00	2026-09-24T20:02:16.3207456+02:00	35	34	7	46	False	1	0	6	32	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
