# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=3
# keepX=405
# keepY=258
# nativeOrientation=6
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
19	before	0	0	0	0	0	0	0	0	0
19	after	1	41	3	34747	34747	67086	7	405	258
20	before	0	0	0	0	0	0	0	0	0
20	after	1	71	3	34748	34747	68125	1	404	260
21	before	0	0	0	0	0	0	0	0	0
21	after	1	73	3	34749	34747	68648	1	404	261
22	before	0	0	0	0	0	0	0	0	0
22	after	1	72	3	34750	34747	69173	1	404	262
23	before	0	0	0	0	0	0	0	0	0
23	after	1	55	3	34751	34747	67078	7	397	258
24	before	0	0	0	0	0	0	0	0	0
24	after	1	10	3	34752	34752	70761	2	405	265
25	before	0	0	0	0	0	0	0	0	0
25	after	1	10	3	34753	34752	70764	2	408	265
26	before	0	0	0	0	0	0	0	0	0
26	after	1	10	3	34754	34752	72366	2	405	268
27	before	0	0	0	0	0	0	0	0	0
27	after	1	10	3	34755	34752	72369	2	408	268
