# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=5
# keepX=418
# keepY=519
# nativeOrientation=0
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.512
# afterScanMilliseconds=9.974
# changedLayerCells=237
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-200030-399-session001-p5-n05.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
412	519	241851	logic2	0	2
418	519	241857	logic	32768	268468224
418	519	241857	buildingId	0	37
419	519	241858	logic	32768	268468224
419	519	241858	buildingId	0	37
420	519	241859	logic	32768	268468224
420	519	241859	buildingId	0	37
421	519	241860	logic	32768	268468224
421	519	241860	buildingId	0	37
422	519	241861	logic	32768	268468224
422	519	241861	buildingId	0	37
423	519	241862	logic	32768	268468224
423	519	241862	buildingId	0	37
424	519	241863	logic	32768	268468224
424	519	241863	buildingId	0	37
412	520	242412	logic2	0	2
418	520	242418	logic	32768	268468224
418	520	242418	buildingId	0	37
419	520	242419	logic	32768	268468224
419	520	242419	buildingId	0	37
420	520	242420	logic	32768	268468224
420	520	242420	buildingId	0	37
421	520	242421	logic	32768	268468224
421	520	242421	buildingId	0	37
422	520	242422	logic	32768	268468224
422	520	242422	buildingId	0	37
423	520	242423	logic	32768	268468224
423	520	242423	buildingId	0	37
424	520	242424	logic	32768	268468224
424	520	242424	buildingId	0	37
412	521	242971	logic2	0	2
418	521	242977	logic	32768	268468224
418	521	242977	buildingId	0	37
419	521	242978	logic	32768	268468224
419	521	242978	buildingId	0	37
420	521	242979	logic	32768	268468224
420	521	242979	buildingId	0	37
421	521	242980	logic	32768	268468224
421	521	242980	buildingId	0	37
422	521	242981	logic	32768	268468224
422	521	242981	buildingId	0	37
423	521	242982	logic	32768	268468224
423	521	242982	buildingId	0	37
424	521	242983	logic	32768	268468224
424	521	242983	buildingId	0	37
425	521	242984	logic	0	1282
425	521	242984	buildingId	0	42
425	521	242984	height	8	18
426	521	242985	logic	0	1282
426	521	242985	buildingId	0	42
426	521	242985	height	8	18
427	521	242986	logic	0	258
427	521	242986	height	8	18
428	521	242987	logic	0	1282
428	521	242987	buildingId	0	43
428	521	242987	height	8	18
429	521	242988	logic	0	1282
429	521	242988	buildingId	0	43
429	521	242988	height	8	18
412	522	243528	logic2	0	2
418	522	243534	logic	32768	268468224
418	522	243534	buildingId	0	37
419	522	243535	logic	32768	268468224
419	522	243535	buildingId	0	37
420	522	243536	logic	32768	268468224
420	522	243536	buildingId	0	37
421	522	243537	logic	32768	268468224
421	522	243537	buildingId	0	37
422	522	243538	logic	32768	268468224
422	522	243538	buildingId	0	37
423	522	243539	logic	32768	268468224
423	522	243539	buildingId	0	37
424	522	243540	logic	32768	268468224
424	522	243540	buildingId	0	37
425	522	243541	logic	0	1282
425	522	243541	buildingId	0	42
425	522	243541	height	8	18
426	522	243542	logic	32768	34050
426	522	243542	buildingId	0	42
426	522	243542	height	8	18
427	522	243543	logic	32768	33026
427	522	243543	height	8	18
428	522	243544	logic	32768	34050
428	522	243544	buildingId	0	43
428	522	243544	height	8	18
429	522	243545	logic	0	1282
429	522	243545	buildingId	0	43
429	522	243545	height	8	18
412	523	244083	logic2	0	2
418	523	244089	logic	32768	268468224
418	523	244089	buildingId	0	37
419	523	244090	logic	32768	268468224
419	523	244090	buildingId	0	37
420	523	244091	logic	32768	268468224
420	523	244091	buildingId	0	37
421	523	244092	logic	32768	268468224
421	523	244092	buildingId	0	37
422	523	244093	logic	32768	268468224
422	523	244093	buildingId	0	37
423	523	244094	logic	32768	268468224
423	523	244094	buildingId	0	37
424	523	244095	logic	32768	268468224
424	523	244095	buildingId	0	37
425	523	244096	logic	0	258
425	523	244096	height	8	18
426	523	244097	logic	32768	33026
426	523	244097	height	8	18
427	523	244098	logic	32768	33026
427	523	244098	height	8	18
428	523	244099	logic	32768	33026
428	523	244099	height	8	18
429	523	244100	logic	0	258
429	523	244100	height	8	18
412	524	244636	logic2	0	2
418	524	244642	logic	32768	268468224
418	524	244642	buildingId	0	37
419	524	244643	logic	32768	268468224
419	524	244643	buildingId	0	37
420	524	244644	logic	32768	268468224
420	524	244644	buildingId	0	37
421	524	244645	logic	32768	268468224
421	524	244645	buildingId	0	37
422	524	244646	logic	32768	268468224
422	524	244646	buildingId	0	37
423	524	244647	logic	32768	268468224
423	524	244647	buildingId	0	37
424	524	244648	logic	32768	268468224
424	524	244648	buildingId	0	37
425	524	244649	logic	0	1282
425	524	244649	buildingId	0	44
425	524	244649	height	8	18
426	524	244650	logic	32768	34050
426	524	244650	buildingId	0	44
426	524	244650	height	8	18
427	524	244651	logic	32768	33026
427	524	244651	height	8	18
428	524	244652	logic	32768	34050
428	524	244652	buildingId	0	45
428	524	244652	height	8	18
429	524	244653	logic	0	1282
429	524	244653	buildingId	0	45
429	524	244653	height	8	18
412	525	245187	logic2	0	2
418	525	245193	logic	32768	268468224
418	525	245193	buildingId	0	37
419	525	245194	logic	32768	268468224
419	525	245194	buildingId	0	37
420	525	245195	logic	32768	268468224
420	525	245195	buildingId	0	37
421	525	245196	logic	32768	268468224
421	525	245196	buildingId	0	37
422	525	245197	logic	32768	268468224
422	525	245197	buildingId	0	37
423	525	245198	logic	32768	268468224
423	525	245198	buildingId	0	37
424	525	245199	logic	32768	268468224
424	525	245199	buildingId	0	37
425	525	245200	logic	0	1282
425	525	245200	buildingId	0	44
425	525	245200	height	8	18
426	525	245201	logic	0	1282
426	525	245201	buildingId	0	44
426	525	245201	height	8	18
427	525	245202	logic	0	258
427	525	245202	height	8	18
428	525	245203	logic	0	1282
428	525	245203	buildingId	0	45
428	525	245203	height	8	18
429	525	245204	logic	0	1282
429	525	245204	buildingId	0	45
429	525	245204	height	8	18
420	526	245744	logic	32768	33792
420	526	245744	buildingId	0	38
421	526	245745	buildingId	0	39
422	526	245746	logic	32768	33792
422	526	245746	buildingId	0	40
412	527	246283	logic2	0	2
418	527	246289	buildingId	0	41
419	527	246290	buildingId	0	41
420	527	246291	buildingId	0	41
421	527	246292	buildingId	0	41
422	527	246293	buildingId	0	41
423	527	246294	buildingId	0	41
424	527	246295	buildingId	0	41
412	528	246828	logic2	0	2
418	528	246834	buildingId	0	41
419	528	246835	buildingId	0	41
420	528	246836	buildingId	0	41
421	528	246837	buildingId	0	41
422	528	246838	buildingId	0	41
423	528	246839	buildingId	0	41
