# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# keepX=507
# keepY=358
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=7
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=7
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.378
# afterScanMilliseconds=9.923
# changedLayerCells=323
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-200100-349-session002-p7-n07.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
519	352	124728	logic2	0	2
520	352	124729	logic2	0	2
521	352	124730	logic2	0	2
509	353	125425	logic	32768	34050
509	353	125425	buildingId	0	679
509	353	125425	height	8	18
509	353	125425	wallOwner	0	6
510	353	125426	logic	32768	34050
510	353	125426	buildingId	0	679
510	353	125426	height	8	18
510	353	125426	wallOwner	0	6
511	353	125427	logic	32768	33026
511	353	125427	height	8	18
511	353	125427	wallOwner	0	6
512	353	125428	logic	32768	34050
512	353	125428	buildingId	0	680
512	353	125428	height	8	18
512	353	125428	wallOwner	0	6
513	353	125429	logic	32768	34050
513	353	125429	buildingId	0	680
513	353	125429	height	8	18
513	353	125429	wallOwner	0	6
519	353	125435	logic2	0	2
520	353	125436	logic2	0	2
521	353	125437	logic2	0	2
522	353	125438	logic2	0	2
509	354	126134	logic	32768	34050
509	354	126134	buildingId	0	679
509	354	126134	height	8	18
509	354	126134	wallOwner	0	6
510	354	126135	logic	32768	34050
510	354	126135	buildingId	0	679
510	354	126135	height	8	18
510	354	126135	wallOwner	0	6
511	354	126136	logic	32768	33026
511	354	126136	height	8	18
511	354	126136	wallOwner	0	6
512	354	126137	logic	32768	34050
512	354	126137	buildingId	0	680
512	354	126137	height	8	18
512	354	126137	wallOwner	0	6
513	354	126138	logic	0	1282
513	354	126138	buildingId	0	680
513	354	126138	height	8	18
519	354	126144	logic2	0	2
520	354	126145	logic2	0	2
521	354	126146	logic2	0	2
522	354	126147	logic2	0	2
523	354	126148	logic2	0	2
509	355	126845	logic	32768	33026
509	355	126845	height	8	18
509	355	126845	wallOwner	0	6
510	355	126846	logic	32768	33026
510	355	126846	height	8	18
510	355	126846	wallOwner	0	6
511	355	126847	logic	32768	33026
511	355	126847	height	8	18
511	355	126847	wallOwner	0	6
512	355	126848	logic	32768	33026
512	355	126848	height	8	18
512	355	126848	wallOwner	0	6
513	355	126849	logic	0	258
513	355	126849	height	8	18
519	355	126855	logic2	0	2
520	355	126856	logic2	0	2
521	355	126857	logic2	0	2
522	355	126858	logic2	0	2
523	355	126859	logic2	0	2
524	355	126860	logic2	0	2
509	356	127558	logic	32768	34050
509	356	127558	buildingId	0	681
509	356	127558	height	8	18
509	356	127558	wallOwner	0	6
510	356	127559	logic	32768	34050
510	356	127559	buildingId	0	681
510	356	127559	height	8	18
510	356	127559	wallOwner	0	6
511	356	127560	logic	32768	33026
511	356	127560	height	8	18
511	356	127560	wallOwner	0	6
512	356	127561	logic	32768	34050
512	356	127561	buildingId	0	682
512	356	127561	height	8	18
512	356	127561	wallOwner	0	6
513	356	127562	logic	0	1282
513	356	127562	buildingId	0	682
513	356	127562	height	8	18
519	356	127568	logic2	0	2
520	356	127569	logic2	0	2
521	356	127570	logic2	0	2
522	356	127571	logic2	0	2
523	356	127572	logic2	0	2
524	356	127573	logic2	0	2
525	356	127574	logic2	0	2
509	357	128273	logic	32768	34050
509	357	128273	buildingId	0	681
509	357	128273	height	8	18
509	357	128273	wallOwner	0	6
510	357	128274	logic	32768	34050
510	357	128274	buildingId	0	681
510	357	128274	height	8	18
510	357	128274	wallOwner	0	6
511	357	128275	logic	32768	33026
511	357	128275	height	8	18
511	357	128275	wallOwner	0	6
512	357	128276	logic	32768	34050
512	357	128276	buildingId	0	682
512	357	128276	height	8	18
512	357	128276	wallOwner	0	6
513	357	128277	logic	0	1282
513	357	128277	buildingId	0	682
513	357	128277	height	8	18
519	357	128283	logic2	0	2
520	357	128284	logic2	0	2
521	357	128285	logic2	0	2
522	357	128286	logic2	0	2
523	357	128287	logic2	0	2
524	357	128288	logic2	0	2
525	357	128289	logic2	0	2
526	357	128290	logic2	0	2
507	358	128988	logic	32768	268468224
507	358	128988	buildingId	0	674
508	358	128989	logic	32768	268468224
508	358	128989	buildingId	0	674
509	358	128990	logic	32768	268468224
509	358	128990	buildingId	0	674
510	358	128991	logic	32768	268468224
510	358	128991	buildingId	0	674
511	358	128992	logic	32768	268468224
511	358	128992	buildingId	0	674
512	358	128993	logic	32768	268468224
512	358	128993	buildingId	0	674
513	358	128994	logic	0	268435456
513	358	128994	buildingId	0	674
515	358	128996	buildingId	0	678
516	358	128997	buildingId	0	678
517	358	128998	buildingId	0	678
518	358	128999	buildingId	0	678
519	358	129000	logic2	0	2
519	358	129000	buildingId	0	678
520	358	129001	logic2	0	2
520	358	129001	buildingId	0	678
521	358	129002	logic2	0	2
521	358	129002	buildingId	0	678
522	358	129003	logic2	0	2
523	358	129004	logic2	0	2
524	358	129005	logic2	0	2
525	358	129006	logic2	0	2
526	358	129007	logic2	0	2
527	358	129008	logic2	0	2
507	359	129707	logic	32768	268468224
507	359	129707	buildingId	0	674
508	359	129708	logic	32768	268468224
508	359	129708	buildingId	0	674
509	359	129709	logic	32768	268468224
509	359	129709	buildingId	0	674
510	359	129710	logic	32768	268468224
510	359	129710	buildingId	0	674
511	359	129711	logic	32768	268468224
511	359	129711	buildingId	0	674
512	359	129712	logic	32768	268468224
512	359	129712	buildingId	0	674
513	359	129713	logic	32768	268468224
