# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=4
# keepX=377
# keepY=515
# nativeOrientation=0
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=08dafe266d71fcd88f105ebca4e0ea76b7c938430010d816e77f50fb8fae60b0
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
28	before	0	0	0	0	0	0	0	0	0
28	after	1	41	4	34757	34757	239552	7	377	515
29	before	0	0	0	0	0	0	0	0	0
29	after	1	71	4	34758	34757	243495	1	379	522
30	before	0	0	0	0	0	0	0	0	0
30	after	1	73	4	34759	34757	243496	1	380	522
31	before	0	0	0	0	0	0	0	0	0
31	after	1	72	4	34760	34757	243497	1	381	522
32	before	0	0	0	0	0	0	0	0	0
32	after	1	55	4	34761	34757	244048	7	377	523
33	before	0	0	0	0	0	0	0	0	0
33	after	1	10	4	34762	34762	240695	2	384	517
34	before	0	0	0	0	0	0	0	0	0
34	after	1	10	4	34763	34762	240698	2	387	517
35	before	0	0	0	0	0	0	0	0	0
35	after	1	10	4	34764	34762	242384	2	384	520
36	before	0	0	0	0	0	0	0	0	0
36	after	1	10	4	34765	34762	242387	2	387	520
