# capturedAtLocal=2026-09-24T19:34:20.5397474+02:00
# mapLoadSequence=1
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf8.aivjson
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# keepX=398
# keepY=258
# captureSequence=2
# playerId=3
# frameCount=337
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=3544
# buildingRecordChanges=295
# beforeCaptureMilliseconds=2564,6
# afterCaptureMilliseconds=2897,1
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T19:34:20.5397474+02:00	2026-09-24T19:34:20.5477591+02:00	2	0	2	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
2	2026-09-24T19:34:20.5562618+02:00	2026-09-24T19:34:20.5632648+02:00	2	1	2	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
3	2026-09-24T19:34:20.5722772+02:00	2026-09-24T19:34:20.5797846+02:00	2	2	2	52	True	1	0	1	70756	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
4	2026-09-24T19:34:20.5882917+02:00	2026-09-24T19:34:20.5952917+02:00	2	3	2	80	False	1	0	1	64003	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
5	2026-09-24T19:34:20.6037972+02:00	2026-09-24T19:34:20.6113034+02:00	2	4	2	81	False	1	0	1	64008	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
6	2026-09-24T19:34:20.6198102+02:00	2026-09-24T19:34:20.6283171+02:00	2	5	2	87	False	1	0	1	76183	0	1	1	0x7FFAB507EDB0	True	100	0	0	100	
7	2026-09-24T19:34:20.6363274+02:00	2026-09-24T19:34:20.6438374+02:00	2	6	2	86	False	1	0	1	57128	0	1	1	0x7FFAB507EDB0	True	100	0	0	100	
8	2026-09-24T19:34:20.6523441+02:00	2026-09-24T19:34:20.6598503+02:00	2	7	2	54	False	1	0	1	70211	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
9	2026-09-24T19:34:20.6683587+02:00	2026-09-24T19:34:20.6763583+02:00	2	8	2	54	False	1	0	1	70207	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
10	2026-09-24T19:34:20.6848637+02:00	2026-09-24T19:34:20.6923705+02:00	2	9	2	54	False	1	0	1	72347	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
11	2026-09-24T19:34:20.7018763+02:00	2026-09-24T19:34:20.7083830+02:00	2	10	2	54	False	1	0	1	63486	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
12	2026-09-24T19:34:20.7173961+02:00	2026-09-24T19:34:20.7253962+02:00	2	11	2	54	False	1	0	1	65518	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
13	2026-09-24T19:34:20.7344104+02:00	2026-09-24T19:34:20.7419177+02:00	2	12	2	54	False	1	0	1	65522	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
14	2026-09-24T19:34:20.7509292+02:00	2026-09-24T19:34:20.7584365+02:00	2	13	2	54	False	1	0	1	63490	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
15	2026-09-24T19:34:20.7669405+02:00	2026-09-24T19:34:20.7749420+02:00	2	14	2	54	False	1	0	1	61490	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
16	2026-09-24T19:34:20.7834487+02:00	2026-09-24T19:34:20.7909543+02:00	2	15	2	54	False	1	0	1	72343	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
17	2026-09-24T19:34:20.8004605+02:00	2026-09-24T19:34:20.8079672+02:00	2	16	2	54	False	1	0	1	61486	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
18	2026-09-24T19:34:20.8149666+02:00	2026-09-24T19:34:20.8234733+02:00	2	17	2	330	False	1	0	1	72371	0	1	1	0x7FFAB507EDB0	True	9	0	0	9	
19	2026-09-24T19:34:20.8309793+02:00	2026-09-24T19:34:20.8389906+02:00	2	18	2	77	False	1	0	1	64017	0	1	1	0x7FFAB507EDB0	True	25	0	0	25	
20	2026-09-24T19:34:20.8469995+02:00	2026-09-24T19:34:20.8550010+02:00	2	19	2	76	False	1	0	1	71284	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
21	2026-09-24T19:34:20.8635073+02:00	2026-09-24T19:34:20.8710143+02:00	2	20	2	330	False	1	0	1	66043	0	1	1	0x7FFAB507EDB0	True	9	0	0	9	
22	2026-09-24T19:34:20.8795204+02:00	2026-09-24T19:34:20.8870245+02:00	2	21	2	144	False	1	0	1	67592	0	1	1	0x7FFAB507EDB0	True	25	0	0	25	
23	2026-09-24T19:34:20.8950253+02:00	2026-09-24T19:34:20.9025328+02:00	2	22	2	25	False	1	0	8	588	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
24	2026-09-24T19:34:20.9110382+02:00	2026-09-24T19:34:20.9185448+02:00	2	23	2	25	False	1	0	8	427	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
25	2026-09-24T19:34:20.9270485+02:00	2026-09-24T19:34:20.9345552+02:00	2	24	2	25	False	1	0	20	435	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
26	2026-09-24T19:34:20.9425658+02:00	2026-09-24T19:34:20.9500725+02:00	2	25	2	25	False	1	0	20	599	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
27	2026-09-24T19:34:20.9575792+02:00	2026-09-24T19:34:20.9655785+02:00	2	26	2	25	False	1	0	19	455	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
28	2026-09-24T19:34:20.9740848+02:00	2026-09-24T19:34:20.9805909+02:00	2	27	2	25	False	1	0	3	650	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
29	2026-09-24T19:34:20.9890971+02:00	2026-09-24T19:34:20.9965996+02:00	2	28	2	25	False	1	0	4	619	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
30	2026-09-24T19:34:21.0046033+02:00	2026-09-24T19:34:21.0111095+02:00	2	29	2	25	False	1	0	4	646	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
31	2026-09-24T19:34:21.0186148+02:00	2026-09-24T19:34:21.0256151+02:00	2	30	2	25	False	1	0	5	660	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
32	2026-09-24T19:34:21.0346260+02:00	2026-09-24T19:34:21.0411321+02:00	2	31	2	25	False	1	0	5	671	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
33	2026-09-24T19:34:21.0491433+02:00	2026-09-24T19:34:21.0566465+02:00	2	32	2	92	False	1	0	1	63481	0	1	1	0x7FFAB507EDB0	True	25	0	0	25	
34	2026-09-24T19:34:21.0646505+02:00	2026-09-24T19:34:21.0731563+02:00	2	33	2	113	False	1	0	1	76193	0	1	1	0x7FFAB507EDB0	True	36	0	0	36	
35	2026-09-24T19:34:21.0816631+02:00	2026-09-24T19:34:21.0891684+02:00	2	34	2	25	False	1	0	3	302	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
36	2026-09-24T19:34:21.0976755+02:00	2026-09-24T19:34:21.1046746+02:00	2	35	2	25	False	1	0	4	305	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
37	2026-09-24T19:34:21.1131807+02:00	2026-09-24T19:34:21.1196879+02:00	2	36	2	25	False	1	0	4	295	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
38	2026-09-24T19:34:21.1281938+02:00	2026-09-24T19:34:21.1352022+02:00	2	37	2	25	False	1	0	5	309	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
39	2026-09-24T19:34:21.1432798+02:00	2026-09-24T19:34:21.1507864+02:00	2	38	2	25	False	1	0	5	290	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
40	2026-09-24T19:34:21.1582925+02:00	2026-09-24T19:34:21.1652924+02:00	2	39	2	113	False	1	0	1	59066	0	1	1	0x7FFAB507EDB0	True	36	0	0	36	
41	2026-09-24T19:34:21.1748006+02:00	2026-09-24T19:34:21.1823074+02:00	2	40	2	106	False	1	0	76	343	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
42	2026-09-24T19:34:21.1918140+02:00	2026-09-24T19:34:21.1993225+02:00	2	41	2	88	False	1	0	1	76173	0	1	1	0x7FFAB507EDB0	True	50	0	0	50	
43	2026-09-24T19:34:21.2078263+02:00	2026-09-24T19:34:21.2163308+02:00	2	42	2	180	False	1	0	1	57119	0	1	1	0x7FFAB507EDB0	True	32	0	0	32	
