# capturedAtLocal=2026-09-24T19:34:29.4035871+02:00
# mapLoadSequence=1
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# keepX=506
# keepY=352
# captureSequence=5
# playerId=7
# frameCount=141
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=3729
# buildingRecordChanges=37
# beforeCaptureMilliseconds=1051,7
# afterCaptureMilliseconds=1197,6
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T19:34:29.4035871+02:00	2026-09-24T19:34:29.4115971+02:00	6	0	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
2	2026-09-24T19:34:29.4201029+02:00	2026-09-24T19:34:29.4271145+02:00	6	1	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
3	2026-09-24T19:34:29.4356204+02:00	2026-09-24T19:34:29.4436320+02:00	6	2	6	80	False	1	0	1	129005	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
4	2026-09-24T19:34:29.4516440+02:00	2026-09-24T19:34:29.4601585+02:00	6	3	6	52	True	1	0	1	121910	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
5	2026-09-24T19:34:29.4686680+02:00	2026-09-24T19:34:29.4811919+02:00	6	4	6	77	False	1	0	1	132592	0	1	1	0x7FFAB507EDB0	True	17	28	0	45	
6	2026-09-24T19:34:29.4892358+02:00	2026-09-24T19:34:29.4982553+02:00	6	5	6	54	False	1	0	1	134807	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
7	2026-09-24T19:34:29.5067613+02:00	2026-09-24T19:34:29.5147719+02:00	6	6	6	54	False	1	0	1	134803	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
8	2026-09-24T19:34:29.5232777+02:00	2026-09-24T19:34:29.5307884+02:00	6	7	6	87	False	1	0	1	117047	0	1	1	0x7FFAB507EDB0	True	100	0	0	100	
9	2026-09-24T19:34:29.5398013+02:00	2026-09-24T19:34:29.5468109+02:00	6	8	6	25	False	1	0	11	256	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
10	2026-09-24T19:34:29.5553201+02:00	2026-09-24T19:34:29.5628470+02:00	6	9	6	25	False	1	0	12	244	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
11	2026-09-24T19:34:29.5713595+02:00	2026-09-24T19:34:29.5778891+02:00	6	10	6	25	False	1	0	6	362	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
12	2026-09-24T19:34:29.5863925+02:00	2026-09-24T19:34:29.5939147+02:00	6	11	6	25	False	1	0	2	209	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
13	2026-09-24T19:34:29.6019252+02:00	2026-09-24T19:34:29.6084349+02:00	6	12	6	81	False	1	0	1	132586	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
14	2026-09-24T19:34:29.6179419+02:00	2026-09-24T19:34:29.6249419+02:00	6	13	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
15	2026-09-24T19:34:29.6324559+02:00	2026-09-24T19:34:29.6399658+02:00	6	14	6	82	False	1	0	1	142964	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
16	2026-09-24T19:34:29.6489799+02:00	2026-09-24T19:34:29.6554863+02:00	6	15	6	25	False	1	0	9	119	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
17	2026-09-24T19:34:29.6640142+02:00	2026-09-24T19:34:29.6715197+02:00	6	16	6	25	False	1	0	5	460	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
18	2026-09-24T19:34:29.6800492+02:00	2026-09-24T19:34:29.6866360+02:00	6	17	6	25	False	1	0	20	177	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
19	2026-09-24T19:34:29.6956515+02:00	2026-09-24T19:34:29.7026664+02:00	6	18	6	54	False	1	0	1	132619	0	1	1	0x7FFAB507EDB0	True	16	0	0	16	
20	2026-09-24T19:34:29.7111779+02:00	2026-09-24T19:34:29.7196864+02:00	6	19	6	25	False	1	0	20	292	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
21	2026-09-24T19:34:29.7292173+02:00	2026-09-24T19:34:29.7372281+02:00	6	20	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
22	2026-09-24T19:34:29.7457376+02:00	2026-09-24T19:34:29.7532569+02:00	6	21	6	0	False	0	0	0	0	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
23	2026-09-24T19:34:29.7612735+02:00	2026-09-24T19:34:29.7682892+02:00	6	22	6	25	False	1	0	1	597	0	1	0	0x7FFAB507EDB0	True	0	0	0	0	
24	2026-09-24T19:34:29.7794662+02:00	2026-09-24T19:34:29.7879921+02:00	6	23	6	25	False	1	0	4	583	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
25	2026-09-24T19:34:29.8030281+02:00	2026-09-24T19:34:29.8105361+02:00	6	24	6	25	False	1	0	7	516	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
26	2026-09-24T19:34:29.8185481+02:00	2026-09-24T19:34:29.8266803+02:00	6	25	6	25	False	1	0	16	465	0	1	1	0x7FFAB507EDB0	True	0	0	0	0	
