# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=5
# keepX=418
# keepY=519
# nativeOrientation=15
# preBuildSetting=1
# selectedCandidateId=<none>
# aivJsonSha256=<not-available>
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	tileIdBegin	occupyTileGridSize	tileX	tileY
575	before	1	46	4	35681	240727	5	416	517
575	after	1	41	5	35731	241857	7	418	519
579	before	1	35	4	35687	247372	6	413	529
579	after	1	71	5	35732	245744	1	420	526
596	before	1	1	4	35704	245200	4	425	525
596	after	1	73	5	35733	245745	1	421	526
600	before	0	0	0	0	0	0	0	0
600	after	1	72	5	35734	245746	1	422	526
601	before	0	0	0	0	0	0	0	0
601	after	1	55	5	35735	246289	7	418	527
602	before	0	0	0	0	0	0	0	0
602	after	1	10	5	35736	242984	2	425	521
603	before	0	0	0	0	0	0	0	0
603	after	1	10	5	35737	242987	2	428	521
604	before	0	0	0	0	0	0	0	0
604	after	1	10	5	35738	244649	2	425	524
605	before	0	0	0	0	0	0	0	0
605	after	1	10	5	35739	244652	2	428	524
