# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# keepX=418
# keepY=519
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=0
# selectionAccepted=False
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=11.772
# afterScanMilliseconds=9.147
# changedLayerCells=402
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-193433-438-session001-p5-n05.records.tsv
# newBuildingCells=100
# replacedBuildingCells=8
# clearedBuildingCells=60
# sampledRegionComplete=True
x	y	tileId	layer	before	after
416	517	240727	logic	33024	32768
416	517	240727	buildingId	575	0
416	517	240727	height	98	8
417	517	240728	logic	33024	32768
417	517	240728	buildingId	575	0
417	517	240728	height	98	8
418	517	240729	logic	33024	32768
418	517	240729	buildingId	575	0
418	517	240729	height	98	8
419	517	240730	logic	33024	32768
419	517	240730	buildingId	575	0
419	517	240730	height	98	8
420	517	240731	logic	33024	32768
420	517	240731	buildingId	575	0
420	517	240731	height	98	8
416	518	241292	logic	33024	32768
416	518	241292	buildingId	575	0
416	518	241292	height	98	8
417	518	241293	logic	33024	32768
417	518	241293	buildingId	575	0
417	518	241293	height	98	8
418	518	241294	logic	33024	32768
418	518	241294	buildingId	575	0
418	518	241294	height	98	8
419	518	241295	logic	33024	32768
419	518	241295	buildingId	575	0
419	518	241295	height	98	8
420	518	241296	logic	33024	32768
420	518	241296	buildingId	575	0
420	518	241296	height	98	8
416	519	241855	logic	33024	32768
416	519	241855	buildingId	575	0
416	519	241855	height	98	8
417	519	241856	logic	33024	32768
417	519	241856	buildingId	575	0
417	519	241856	height	98	8
418	519	241857	logic	33024	268468224
418	519	241857	height	98	8
419	519	241858	logic	33024	268468224
419	519	241858	height	98	8
420	519	241859	logic	33024	268468224
420	519	241859	height	98	8
421	519	241860	logic	32768	268468224
421	519	241860	buildingId	0	575
422	519	241861	logic	32768	268468224
422	519	241861	buildingId	0	575
423	519	241862	logic	32768	268468224
423	519	241862	buildingId	0	575
424	519	241863	logic	32768	268468224
424	519	241863	buildingId	0	575
416	520	242416	logic	33024	32768
416	520	242416	buildingId	575	0
416	520	242416	height	98	8
417	520	242417	logic	33024	32768
417	520	242417	buildingId	575	0
417	520	242417	height	98	8
418	520	242418	logic	33024	268468224
418	520	242418	height	98	8
419	520	242419	logic	33024	268468224
419	520	242419	height	98	8
420	520	242420	logic	33024	268468224
420	520	242420	height	98	8
421	520	242421	logic	32768	268468224
421	520	242421	buildingId	0	575
422	520	242422	logic	32768	268468224
422	520	242422	buildingId	0	575
