# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=8
# keepX=536
# keepY=398
# nativeOrientation=2
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=54a4bef2e38baf573124a9075a95ce0d94a3ea1941282f4af0b09481a421693b
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	tileIdBegin	occupyTileGridSize	tileX	tileY
709	before	0	0	0	0	0	0	0	0
709	after	1	41	8	36062	159337	7	536	398
710	before	0	0	0	0	0	0	0	0
710	after	1	71	8	36063	162539	1	543	402
711	before	0	0	0	0	0	0	0	0
711	after	1	73	8	36064	161742	1	543	401
712	before	0	0	0	0	0	0	0	0
712	after	1	72	8	36065	160943	1	543	400
713	before	0	0	0	0	0	0	0	0
713	after	1	55	8	36066	159345	7	544	398
714	before	0	0	0	0	0	0	0	0
714	after	1	10	8	36067	155374	2	538	393
715	before	0	0	0	0	0	0	0	0
715	after	1	10	8	36068	155377	2	541	393
716	before	0	0	0	0	0	0	0	0
716	after	1	10	8	36069	157747	2	538	396
717	before	0	0	0	0	0	0	0	0
717	after	1	10	8	36070	157750	2	541	396
