# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=7
# keepX=506
# keepY=357
# nativeOrientation=2
# preBuildSetting=1
# selectedCandidateId=0
# aivJsonSha256=2965e5952a8b14dd373d05084628ded036ecc933fd2f39b5e4c6cd4df62b7c9d
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	tileIdBegin	occupyTileGridSize	tileX	tileY
590	before	1	1	6	35774	138488	4	504	371
590	after	1	41	7	35929	128270	7	506	357
620	before	0	0	0	0	0	0	0	0
620	after	1	71	7	35930	131157	1	513	361
621	before	0	0	0	0	0	0	0	0
621	after	1	73	7	35931	130434	1	513	360
622	before	0	0	0	0	0	0	0	0
622	after	1	72	7	35932	129713	1	513	359
623	before	0	0	0	0	0	0	0	0
623	after	1	55	7	35933	128278	7	514	357
624	before	0	0	0	0	0	0	0	0
624	after	1	10	7	35934	124717	2	508	352
625	before	0	0	0	0	0	0	0	0
625	after	1	10	7	35935	124720	2	511	352
626	before	0	0	0	0	0	0	0	0
626	after	1	10	7	35936	126844	2	508	355
627	before	0	0	0	0	0	0	0	0
627	after	1	10	7	35937	126847	2	511	355
