# capturedAtLocal=2026-09-24T20:24:51.8475459+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# candidateId=0
# aivName=Default 8
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf8.aivjson
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# orientation=4
# originX=211
# originY=336
# keepX=254
# keepY=379
# evaluatedCells=2068
# nativeBlockedCells=507
# resultGridBlockedCells=507
# validatorCalls=2068
# validatorBlockedCells=507
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
18	52	263	354	99	99	186	0	False
18	64	275	354	99	99	187	0	False
19	49	260	355	99	99	186	0	False
19	58	269	355	99	99	186	0	False
19	65	276	355	99	99	187	0	False
19	70	281	355	99	99	187	0	False
19	74	285	355	99	99	187	0	False
20	36	247	356	99	99	186	0	False
20	39	250	356	99	99	186	0	False
20	42	253	356	99	99	335	0	False
20	46	257	356	99	99	186	0	False
20	57	268	356	99	99	186	0	False
20	59	270	356	99	99	186	0	False
20	61	272	356	99	99	186	0	False
20	63	274	356	99	99	187	0	False
20	64	275	356	99	99	187	0	False
20	66	277	356	99	99	187	0	False
20	70	281	356	99	99	187	0	False
20	71	282	356	99	99	187	0	False
20	75	286	356	99	99	187	0	False
20	77	288	356	99	99	187	0	False
20	78	289	356	99	99	187	0	False
20	79	290	356	99	99	187	0	False
20	81	292	356	99	99	187	0	False
20	82	293	356	99	99	187	0	False
21	32	243	357	99	99	186	0	False
21	33	244	357	99	99	186	0	False
21	36	247	357	99	99	186	0	False
21	37	248	357	99	99	186	0	False
21	38	249	357	99	99	186	0	False
21	42	253	357	99	99	186	0	False
21	44	255	357	99	99	186	0	False
21	46	257	357	99	99	186	0	False
21	50	261	357	99	99	186	0	False
21	54	265	357	99	99	186	0	False
21	55	266	357	99	99	186	0	False
21	60	271	357	99	99	187	0	False
21	65	276	357	99	99	187	0	False
21	69	280	357	99	99	187	0	False
21	73	284	357	99	99	187	0	False
22	42	253	358	99	99	186	0	False
22	44	255	358	99	99	335	0	False
22	45	256	358	99	99	335	0	False
22	52	263	358	99	99	186	0	False
22	58	269	358	99	99	335	0	False
22	59	270	358	92	92	32	0	False
22	60	271	358	92	92	32	0	False
22	61	272	358	92	92	32	0	False
22	62	273	358	92	92	32	0	False
22	63	274	358	92	92	32	0	False
22	65	276	358	99	99	187	0	False
22	66	277	358	99	99	187	0	False
22	78	289	358	99	99	187	0	False
22	79	290	358	99	99	187	0	False
22	81	292	358	99	99	187	0	False
23	32	243	359	99	99	186	0	False
23	35	246	359	99	99	186	0	False
23	38	249	359	99	99	186	0	False
23	40	251	359	99	99	186	0	False
23	41	252	359	99	99	186	0	False
23	44	255	359	330	330	74	0	False
23	45	256	359	330	330	74	0	False
23	46	257	359	330	330	74	0	False
23	47	258	359	99	99	335	0	False
23	49	260	359	99	99	186	0	False
23	54	265	359	99	99	186	0	False
23	56	267	359	99	99	186	0	False
23	57	268	359	99	99	186	0	False
23	58	269	359	99	99	335	0	False
23	59	270	359	92	92	32	0	False
23	60	271	359	92	92	32	0	False
23	61	272	359	92	92	32	0	False
23	62	273	359	92	92	32	0	False
23	63	274	359	92	92	32	0	False
23	65	276	359	99	99	335	0	False
23	70	281	359	99	99	335	0	False
23	75	286	359	99	99	187	0	False
23	76	287	359	99	99	187	0	False
23	79	290	359	99	99	187	0	False
24	28	239	360	99	99	186	0	False
24	38	249	360	99	99	186	0	False
24	40	251	360	99	99	335	0	False
24	44	255	360	330	330	74	0	False
24	45	256	360	330	330	74	0	False
24	46	257	360	330	330	74	0	False
24	49	260	360	99	99	335	0	False
24	55	266	360	99	99	335	0	False
24	59	270	360	92	92	32	0	False
24	60	271	360	92	92	32	0	False
24	61	272	360	92	92	32	0	False
24	62	273	360	92	92	32	0	False
24	63	274	360	92	92	32	0	False
24	65	276	360	99	99	335	0	False
24	66	277	360	99	99	335	0	False
24	68	279	360	99	99	335	0	False
24	73	284	360	99	99	335	0	False
24	76	287	360	99	99	335	0	False
24	79	290	360	99	99	187	0	False
24	80	291	360	99	99	187	0	False
24	83	294	360	99	99	187	0	False
24	85	296	360	99	99	187	0	False
25	32	243	361	99	99	335	0	False
25	33	244	361	99	99	335	0	False
25	42	253	361	99	99	335	0	False
25	44	255	361	330	330	74	0	False
25	45	256	361	330	330	74	0	False
25	46	257	361	330	330	74	0	False
25	48	259	361	99	99	335	0	False
25	59	270	361	92	92	32	0	False
25	60	271	361	92	92	32	0	False
25	61	272	361	92	92	32	0	False
25	62	273	361	92	92	32	0	False
25	63	274	361	92	92	32	0	False
25	65	276	361	99	99	335	0	False
25	68	279	361	99	99	335	0	False
25	69	280	361	99	99	187	0	False
25	70	281	361	99	99	335	0	False
25	71	282	361	99	99	335	0	False
25	81	292	361	99	99	187	0	False
26	27	238	362	99	99	186	0	False
26	29	240	362	99	99	186	0	False
26	30	241	362	99	99	186	0	False
26	36	247	362	99	99	335	0	False
26	38	249	362	99	99	335	0	False
26	42	253	362	99	99	335	0	False
26	52	263	362	177	177	51	0	False
26	53	264	362	177	177	51	0	False
26	54	265	362	177	177	51	0	False
26	56	267	362	99	99	335	0	False
26	59	270	362	92	92	32	0	False
26	60	271	362	92	92	32	0	False
26	61	272	362	92	92	32	0	False
26	62	273	362	92	92	32	0	False
26	63	274	362	92	92	32	0	False
26	64	275	362	99	99	335	0	False
26	65	276	362	99	99	335	0	False
26	71	282	362	99	99	335	0	False
26	73	284	362	99	99	335	0	False
26	78	289	362	99	99	335	0	False
26	81	292	362	99	99	187	0	False
26	82	293	362	99	99	187	0	False
26	84	295	362	99	99	187	0	False
27	32	243	363	99	99	335	0	False
27	33	244	363	82	82	81	0	False
27	34	245	363	82	82	81	0	False
27	35	246	363	82	82	81	0	False
27	36	247	363	82	82	81	0	False
27	37	248	363	99	99	335	0	False
27	38	249	363	84	84	45	0	False
27	39	250	363	84	84	45	0	False
27	40	251	363	84	84	45	0	False
27	41	252	363	84	84	45	0	False
27	42	253	363	99	99	335	0	False
27	43	254	363	54	54	15	0	False
27	44	255	363	54	54	15	0	False
27	45	256	363	54	54	15	0	False
27	46	257	363	54	54	15	0	False
27	47	258	363	54	54	8	0	False
27	48	259	363	54	54	8	0	False
27	49	260	363	54	54	8	0	False
27	50	261	363	54	54	8	0	False
27	52	263	363	177	177	51	0	False
27	53	264	363	177	177	51	0	False
27	54	265	363	177	177	51	0	False
27	56	267	363	54	54	11	0	False
27	57	268	363	54	54	11	0	False
27	58	269	363	54	54	11	0	False
27	59	270	363	54	54	11	0	False
27	60	271	363	54	54	10	0	False
27	61	272	363	54	54	10	0	False
27	62	273	363	54	54	10	0	False
27	63	274	363	54	54	10	0	False
27	64	275	363	54	54	16	0	False
27	65	276	363	54	54	16	0	False
27	66	277	363	54	54	16	0	False
27	67	278	363	54	54	16	0	False
27	69	280	363	84	84	79	0	False
27	70	281	363	84	84	79	0	False
27	71	282	363	84	84	79	0	False
27	72	283	363	84	84	79	0	False
27	74	285	363	82	82	48	0	False
27	75	286	363	82	82	48	0	False
27	76	287	363	82	82	48	0	False
27	77	288	363	82	82	48	0	False
27	78	289	363	99	99	335	0	False
27	81	292	363	99	99	187	0	False
27	82	293	363	99	99	187	0	False
28	28	239	364	99	99	186	1	True
28	31	242	364	99	99	335	0	False
28	33	244	364	82	82	81	0	False
28	34	245	364	82	82	81	0	False
28	35	246	364	82	82	81	0	False
28	36	247	364	82	82	81	0	False
28	37	248	364	99	99	335	0	False
28	38	249	364	84	84	45	0	False
28	39	250	364	84	84	45	0	False
28	40	251	364	84	84	45	0	False
