# capturedAtLocal=2026-09-24T20:25:47.1544030+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 5
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# orientation=4
# originX=194
# originY=354
# keepX=237
# keepY=397
# evaluatedCells=2077
# nativeBlockedCells=408
# resultGridBlockedCells=408
# validatorCalls=2077
# validatorBlockedCells=408
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
26	49	243	380	26	26	136	0	False
26	50	244	380	26	26	135	0	False
26	51	245	380	26	26	135	0	False
26	52	246	380	26	26	135	0	False
26	53	247	380	26	26	135	0	False
26	54	248	380	26	26	135	0	False
26	55	249	380	26	26	135	0	False
26	56	250	380	26	26	135	0	False
26	57	251	380	26	26	135	0	False
26	58	252	380	26	26	135	0	False
26	59	253	380	26	26	135	0	False
26	60	254	380	26	26	135	1	True
26	61	255	380	26	26	135	1	True
26	62	256	380	26	26	135	1	True
26	63	257	380	26	26	135	1	True
26	64	258	380	26	26	135	1	True
26	65	259	380	26	26	135	1	True
26	66	260	380	26	26	135	1	True
26	67	261	380	26	26	135	1	True
26	68	262	380	26	26	135	1	True
26	69	263	380	26	26	134	1	True
27	39	233	381	26	26	98	0	False
27	40	234	381	26	26	96	0	False
27	41	235	381	26	26	96	0	False
27	42	236	381	26	26	96	0	False
27	43	237	381	26	26	96	0	False
27	44	238	381	26	26	96	0	False
27	45	239	381	26	26	96	0	False
27	46	240	381	26	26	96	0	False
27	49	243	381	26	26	136	0	False
27	50	244	381	25	25	64	0	False
27	51	245	381	25	25	64	0	False
27	52	246	381	25	25	64	0	False
27	53	247	381	25	25	64	0	False
27	54	248	381	25	25	64	0	False
27	55	249	381	25	25	64	0	False
27	56	250	381	25	25	64	0	False
27	57	251	381	25	25	64	0	False
27	58	252	381	25	25	64	0	False
27	59	253	381	25	25	64	0	False
27	60	254	381	25	25	64	1	True
27	61	255	381	25	25	64	1	True
27	62	256	381	25	25	64	1	True
27	63	257	381	25	25	64	1	True
27	64	258	381	25	25	64	1	True
27	65	259	381	25	25	64	1	True
27	66	260	381	25	25	64	1	True
27	67	261	381	25	25	64	1	True
27	68	262	381	25	25	65	1	True
27	69	263	381	26	26	134	1	True
28	39	233	382	26	26	98	0	False
28	40	234	382	113	113	66	0	False
28	41	235	382	113	113	66	0	False
28	42	236	382	113	113	66	0	False
28	43	237	382	113	113	66	0	False
28	44	238	382	113	113	66	0	False
28	45	239	382	113	113	66	0	False
28	46	240	382	26	26	95	0	False
28	49	243	382	26	26	100	0	False
28	50	244	382	25	25	63	0	False
28	51	245	382	25	25	25	0	False
28	52	246	382	25	25	25	0	False
28	53	247	382	25	25	25	0	False
28	54	248	382	25	25	25	0	False
28	55	249	382	25	25	25	0	False
28	56	250	382	25	25	25	0	False
28	57	251	382	25	25	25	0	False
28	58	252	382	25	25	25	0	False
28	59	253	382	25	25	25	0	False
28	60	254	382	25	25	25	1	True
28	61	255	382	25	25	25	1	True
28	62	256	382	25	25	25	1	True
28	63	257	382	25	25	25	1	True
28	64	258	382	25	25	25	1	True
28	65	259	382	25	25	25	1	True
28	66	260	382	25	25	25	1	True
28	67	261	382	25	25	26	1	True
28	68	262	382	25	25	65	1	True
28	69	263	382	26	26	134	1	True
29	39	233	383	26	26	98	0	False
29	40	234	383	113	113	66	0	False
29	41	235	383	113	113	66	0	False
29	42	236	383	113	113	66	0	False
29	43	237	383	113	113	66	0	False
29	44	238	383	113	113	66	0	False
29	45	239	383	113	113	66	0	False
29	46	240	383	26	26	95	0	False
29	49	243	383	26	26	100	0	False
29	50	244	383	25	25	63	0	False
29	51	245	383	25	25	16	0	False
29	52	246	383	25	25	89	0	False
29	53	247	383	95	95	109	0	False
29	54	248	383	95	95	109	0	False
29	55	249	383	95	95	109	0	False
29	56	250	383	95	95	109	0	False
29	57	251	383	95	95	109	0	False
29	58	252	383	95	95	109	0	False
29	61	255	383	95	95	42	1	True
29	62	256	383	95	95	42	1	True
29	63	257	383	95	95	42	1	True
29	64	258	383	95	95	42	1	True
29	65	259	383	95	95	42	1	True
29	66	260	383	95	95	42	1	True
29	67	261	383	25	25	26	1	True
29	68	262	383	25	25	65	1	True
29	69	263	383	26	26	134	1	True
30	39	233	384	26	26	97	0	False
30	40	234	384	113	113	66	0	False
30	41	235	384	113	113	66	0	False
30	42	236	384	113	113	66	0	False
30	43	237	384	113	113	66	0	False
30	44	238	384	113	113	66	0	False
