# capturedAtLocal=2026-09-24T20:26:05.6285019+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=4
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# orientation=6
# originX=211
# originY=336
# keepX=254
# keepY=379
# evaluatedCells=1770
# nativeBlockedCells=554
# resultGridBlockedCells=554
# validatorCalls=1770
# validatorBlockedCells=554
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
36	40	251	372	54	54	79	0	False
36	41	252	372	54	54	79	0	False
36	42	253	372	54	54	79	0	False
36	43	254	372	54	54	79	0	False
36	46	257	372	54	54	77	0	False
36	47	258	372	54	54	77	0	False
36	48	259	372	54	54	77	0	False
36	49	260	372	54	54	77	0	False
37	35	246	373	54	54	78	0	False
37	36	247	373	54	54	78	0	False
37	37	248	373	54	54	78	0	False
37	38	249	373	54	54	78	0	False
37	40	251	373	54	54	79	0	False
37	41	252	373	54	54	79	0	False
37	42	253	373	54	54	79	0	False
37	43	254	373	54	54	79	0	False
37	46	257	373	54	54	77	0	False
37	47	258	373	54	54	77	0	False
37	48	259	373	54	54	77	0	False
37	49	260	373	54	54	77	0	False
37	65	276	373	106	106	57	1	True
37	66	277	373	106	106	57	1	True
38	35	246	374	54	54	78	0	False
38	36	247	374	54	54	78	0	False
38	37	248	374	54	54	78	0	False
38	38	249	374	54	54	78	0	False
38	40	251	374	54	54	79	0	False
38	41	252	374	54	54	79	0	False
38	42	253	374	54	54	79	0	False
38	43	254	374	54	54	79	0	False
38	46	257	374	54	54	77	0	False
38	47	258	374	54	54	77	0	False
38	48	259	374	54	54	77	0	False
38	49	260	374	54	54	77	0	False
38	53	264	374	106	106	57	0	False
38	54	265	374	106	106	57	1	True
38	57	268	374	106	106	57	1	True
38	58	269	374	106	106	57	1	True
38	61	272	374	106	106	57	0	False
38	63	274	374	106	106	57	0	False
38	64	275	374	106	106	57	0	False
38	65	276	374	106	106	57	0	False
38	66	277	374	106	106	57	0	False
39	35	246	375	54	54	78	0	False
39	36	247	375	54	54	78	0	False
39	37	248	375	54	54	78	0	False
39	38	249	375	54	54	78	0	False
39	40	251	375	54	54	79	0	False
39	41	252	375	54	54	79	0	False
39	42	253	375	54	54	79	0	False
39	43	254	375	54	54	79	0	False
39	46	257	375	54	54	77	0	False
39	47	258	375	54	54	77	0	False
39	48	259	375	54	54	77	0	False
39	49	260	375	54	54	77	0	False
39	52	263	375	106	106	56	0	False
39	53	264	375	106	106	56	1	True
39	54	265	375	106	106	56	1	True
39	55	266	375	106	106	56	1	True
39	56	267	375	106	106	56	1	True
39	57	268	375	106	106	56	1	True
39	58	269	375	106	106	56	1	True
39	59	270	375	106	106	56	0	False
39	60	271	375	106	106	56	0	False
39	61	272	375	106	106	56	0	False
39	62	273	375	106	106	56	0	False
39	63	274	375	106	106	56	0	False
39	64	275	375	106	106	56	0	False
39	65	276	375	106	106	57	0	False
39	66	277	375	106	106	57	0	False
40	35	246	376	54	54	78	0	False
40	36	247	376	54	54	78	0	False
40	37	248	376	54	54	78	0	False
40	38	249	376	54	54	78	0	False
40	51	262	376	106	106	57	0	False
40	52	263	376	106	106	56	1	True
40	53	264	376	106	106	56	1	True
40	54	265	376	106	106	56	1	True
40	55	266	376	106	106	56	1	True
40	56	267	376	106	106	56	1	True
40	57	268	376	106	106	56	0	False
40	58	269	376	106	106	56	0	False
40	59	270	376	106	106	56	0	False
40	60	271	376	106	106	56	0	False
40	61	272	376	106	106	56	0	False
40	62	273	376	106	106	56	0	False
40	63	274	376	106	106	56	0	False
40	64	275	376	106	106	56	0	False
40	65	276	376	106	106	57	0	False
41	26	237	377	112	112	53	0	False
41	27	238	377	112	112	53	0	False
41	28	239	377	112	112	53	0	False
41	29	240	377	112	112	53	0	False
41	30	241	377	112	112	53	0	False
41	40	251	377	26	26	45	0	False
41	41	252	377	26	26	46	0	False
41	42	253	377	26	26	46	0	False
41	43	254	377	26	26	46	0	False
41	44	255	377	26	26	46	0	False
41	45	256	377	26	26	46	0	False
41	46	257	377	26	26	46	0	False
41	47	258	377	26	26	46	0	False
41	48	259	377	26	26	46	1	True
41	49	260	377	26	26	46	0	False
41	50	261	377	26	26	46	0	False
41	51	262	377	26	26	46	0	False
41	52	263	377	106	106	56	1	True
41	53	264	377	106	106	56	1	True
41	54	265	377	106	106	56	1	True
41	55	266	377	106	106	56	1	True
41	56	267	377	106	106	56	1	True
41	57	268	377	106	106	56	0	False
41	58	269	377	106	106	56	0	False
41	59	270	377	106	106	56	0	False
41	60	271	377	106	106	56	0	False
41	61	272	377	106	106	56	0	False
41	62	273	377	106	106	56	0	False
41	63	274	377	106	106	56	0	False
41	64	275	377	106	106	56	0	False
41	65	276	377	106	106	57	0	False
42	26	237	378	112	112	53	0	False
42	27	238	378	112	112	53	0	False
42	28	239	378	112	112	53	0	False
42	29	240	378	112	112	53	0	False
42	30	241	378	112	112	53	0	False
42	31	242	378	26	26	51	0	False
42	32	243	378	26	26	51	0	False
42	33	244	378	26	26	51	0	False
42	34	245	378	26	26	51	0	False
42	35	246	378	26	26	51	0	False
42	36	247	378	26	26	51	0	False
42	37	248	378	26	26	51	0	False
42	38	249	378	26	26	51	0	False
42	39	250	378	26	26	51	0	False
42	40	251	378	26	26	45	0	False
42	41	252	378	25	25	29	0	False
42	42	253	378	25	25	30	0	False
42	43	254	378	25	25	30	0	False
42	44	255	378	25	25	30	0	False
42	45	256	378	25	25	30	0	False
42	46	257	378	25	25	30	0	False
42	47	258	378	25	25	30	0	False
42	48	259	378	25	25	30	0	False
42	49	260	378	25	25	30	0	False
42	50	261	378	25	25	30	0	False
42	51	262	378	26	26	47	0	False
42	52	263	378	106	106	56	1	True
42	53	264	378	106	106	56	1	True
42	54	265	378	106	106	56	1	True
42	55	266	378	106	106	56	1	True
42	56	267	378	106	106	56	0	False
42	57	268	378	106	106	56	0	False
42	58	269	378	106	106	56	0	False
42	59	270	378	106	106	56	0	False
42	60	271	378	106	106	56	0	False
42	61	272	378	106	106	56	0	False
42	62	273	378	106	106	56	0	False
42	63	274	378	106	106	56	0	False
42	64	275	378	106	106	56	0	False
42	65	276	378	106	106	57	0	False
43	26	237	379	112	112	53	0	False
43	27	238	379	112	112	53	0	False
43	28	239	379	112	112	53	0	False
43	29	240	379	112	112	53	0	False
43	30	241	379	112	112	53	0	False
43	31	242	379	25	25	48	0	False
43	32	243	379	25	25	48	0	False
43	33	244	379	25	25	48	0	False
43	34	245	379	25	25	48	0	False
43	35	246	379	25	25	48	0	False
43	36	247	379	25	25	48	0	False
43	37	248	379	25	25	48	0	False
43	38	249	379	25	25	48	0	False
43	39	250	379	25	25	48	0	False
43	40	251	379	25	25	48	0	False
43	41	252	379	25	25	29	0	False
43	42	253	379	-1	86	1	0	False
43	43	254	379	-1	86	1	0	False
43	44	255	379	-1	86	1	0	False
43	45	256	379	-1	86	1	0	False
43	46	257	379	-1	86	1	0	False
43	47	258	379	-1	86	1	0	False
43	48	259	379	-1	86	1	1	True
43	50	261	379	61	61	1	0	False
43	51	262	379	61	61	1	1	True
43	52	263	379	61	61	1	1	True
43	53	264	379	61	61	1	1	True
43	54	265	379	61	61	1	1	True
43	55	266	379	61	61	1	1	True
43	56	267	379	61	61	1	0	False
43	57	268	379	54	54	6	0	False
43	58	269	379	54	54	6	0	False
43	59	270	379	54	54	6	1	True
43	60	271	379	54	54	6	1	True
43	61	272	379	106	106	56	1	True
43	62	273	379	106	106	56	1	True
43	63	274	379	106	106	56	1	True
43	64	275	379	106	106	56	1	True
43	65	276	379	106	106	57	1	True
43	66	277	379	106	106	57	1	True
44	26	237	380	112	112	53	0	False
44	27	238	380	112	112	53	0	False
44	28	239	380	112	112	53	0	False
44	29	240	380	112	112	53	0	False
44	30	241	380	112	112	53	0	False
44	32	243	380	76	76	73	0	False
44	33	244	380	76	76	73	0	False
44	34	245	380	76	76	73	0	False
44	35	246	380	76	76	73	0	False
44	36	247	380	84	84	35	0	False
44	37	248	380	84	84	35	0	False
44	38	249	380	84	84	35	0	False
44	39	250	380	84	84	35	0	False
44	40	251	380	26	26	45	0	False
44	41	252	380	25	25	29	0	False
44	42	253	380	-1	86	1	0	False
44	43	254	380	-1	86	1	0	False
44	44	255	380	-1	86	1	0	False
44	45	256	380	-1	86	1	0	False
44	46	257	380	-1	86	1	0	False
44	47	258	380	-1	86	1	1	True
44	48	259	380	-1	86	1	1	True
44	50	261	380	61	61	1	1	True
44	51	262	380	61	61	1	1	True
44	52	263	380	61	61	1	1	True
44	53	264	380	61	61	1	1	True
44	54	265	380	61	61	1	1	True
44	55	266	380	61	61	1	0	False
44	56	267	380	61	61	1	0	False
44	57	268	380	54	54	6	0	False
44	58	269	380	54	54	6	0	False
44	59	270	380	54	54	6	1	True
44	60	271	380	54	54	6	1	True
44	61	272	380	106	106	56	1	True
44	62	273	380	106	106	56	1	True
44	63	274	380	106	106	56	1	True
44	64	275	380	106	106	56	1	True
44	65	276	380	106	106	57	1	True
44	66	277	380	106	106	57	1	True
45	26	237	381	112	112	53	0	False
45	27	238	381	112	112	53	0	False
45	28	239	381	112	112	53	0	False
45	29	240	381	112	112	53	0	False
45	30	241	381	112	112	53	0	False
45	32	243	381	76	76	73	0	False
45	33	244	381	76	76	73	0	False
45	34	245	381	76	76	73	0	False
45	35	246	381	76	76	73	0	False
45	36	247	381	84	84	35	0	False
45	37	248	381	84	84	35	0	False
45	38	249	381	84	84	35	0	False
45	39	250	381	84	84	35	0	False
45	40	251	381	26	26	45	0	False
45	41	252	381	25	25	29	0	False
45	42	253	381	-1	86	1	0	False
45	43	254	381	-1	86	1	0	False
45	44	255	381	-1	86	1	0	False
45	45	256	381	-1	86	1	0	False
45	46	257	381	-1	86	1	1	True
45	47	258	381	-1	86	1	1	True
45	48	259	381	-1	86	1	0	False
45	49	260	381	-1	86	1	0	False
45	50	261	381	61	61	1	1	True
45	51	262	381	61	61	1	1	True
45	52	263	381	61	61	1	1	True
45	53	264	381	61	61	1	1	True
45	54	265	381	61	61	1	1	True
45	55	266	381	61	61	1	0	False
45	56	267	381	61	61	1	0	False
45	57	268	381	54	54	6	0	False
45	58	269	381	54	54	6	0	False
45	59	270	381	54	54	6	1	True
45	60	271	381	54	54	6	1	True
45	61	272	381	106	106	56	1	True
45	62	273	381	106	106	56	1	True
45	63	274	381	106	106	56	1	True
45	64	275	381	106	106	56	1	True
45	65	276	381	106	106	57	1	True
46	26	237	382	65	65	70	0	False
46	27	238	382	65	65	70	0	False
46	28	239	382	65	65	70	0	False
46	29	240	382	65	65	70	0	False
46	30	241	382	65	65	70	0	False
46	31	242	382	65	65	70	0	False
46	32	243	382	76	76	73	0	False
46	33	244	382	76	76	73	0	False
46	34	245	382	76	76	73	0	False
46	35	246	382	76	76	73	0	False
46	36	247	382	84	84	35	0	False
46	37	248	382	84	84	35	0	False
46	38	249	382	84	84	35	0	False
46	39	250	382	84	84	35	0	False
46	40	251	382	26	26	45	0	False
46	41	252	382	25	25	29	0	False
46	42	253	382	-1	86	1	0	False
46	43	254	382	-1	86	1	0	False
46	44	255	382	-1	86	1	0	False
46	45	256	382	-1	86	1	0	False
46	46	257	382	-1	86	1	0	False
46	47	258	382	-1	86	1	0	False
46	48	259	382	-1	86	1	0	False
46	49	260	382	-1	86	1	0	False
46	50	261	382	61	61	1	1	True
46	51	262	382	61	61	1	1	True
46	52	263	382	61	61	1	1	True
46	53	264	382	61	61	1	1	True
46	54	265	382	61	61	1	0	False
46	55	266	382	61	61	1	0	False
46	56	267	382	61	61	1	0	False
46	57	268	382	54	54	6	0	False
46	58	269	382	54	54	6	0	False
46	59	270	382	54	54	6	1	True
46	60	271	382	54	54	6	1	True
46	61	272	382	106	106	56	1	True
46	62	273	382	106	106	56	1	True
46	63	274	382	106	106	56	1	True
46	64	275	382	106	106	56	1	True
46	65	276	382	106	106	57	1	True
46	66	277	382	106	106	57	1	True
47	26	237	383	65	65	70	0	False
47	27	238	383	65	65	70	0	False
47	28	239	383	65	65	70	0	False
47	29	240	383	65	65	70	0	False
47	30	241	383	65	65	70	0	False
47	31	242	383	65	65	70	0	False
47	32	243	383	76	76	73	0	False
47	33	244	383	76	76	73	0	False
47	34	245	383	76	76	73	0	False
47	35	246	383	76	76	73	0	False
47	36	247	383	84	84	35	0	False
47	37	248	383	84	84	35	0	False
47	38	249	383	84	84	35	0	False
47	39	250	383	84	84	35	0	False
47	40	251	383	26	26	45	0	False
47	41	252	383	25	25	29	0	False
47	42	253	383	-1	86	1	0	False
47	43	254	383	-1	86	1	0	False
47	44	255	383	-1	86	1	0	False
47	45	256	383	-1	86	1	0	False
47	46	257	383	-1	86	1	0	False
47	47	258	383	-1	86	1	0	False
47	48	259	383	-1	86	1	0	False
47	49	260	383	-1	86	1	0	False
47	50	261	383	61	61	1	1	True
47	51	262	383	61	61	1	1	True
47	52	263	383	61	61	1	1	True
47	53	264	383	61	61	1	1	True
47	54	265	383	61	61	1	0	False
47	55	266	383	61	61	1	0	False
47	56	267	383	61	61	1	0	False
47	57	268	383	54	54	7	0	False
47	58	269	383	54	54	7	0	False
47	59	270	383	54	54	7	0	False
47	60	271	383	54	54	7	0	False
47	61	272	383	106	106	55	0	False
47	62	273	383	106	106	55	1	True
47	63	274	383	106	106	55	1	True
47	64	275	383	106	106	55	1	True
47	65	276	383	106	106	57	1	True
48	26	237	384	65	65	70	0	False
48	27	238	384	65	65	70	0	False
48	28	239	384	65	65	70	0	False
48	29	240	384	65	65	70	0	False
48	30	241	384	65	65	70	0	False
48	31	242	384	65	65	70	0	False
48	36	247	384	50	50	34	0	False
48	37	248	384	50	50	34	0	False
48	38	249	384	50	50	34	0	False
48	39	250	384	50	50	34	0	False
48	40	251	384	26	26	45	0	False
48	41	252	384	25	25	29	0	False
48	42	253	384	-1	86	1	0	False
48	43	254	384	-1	86	1	0	False
48	44	255	384	-1	86	1	0	False
48	45	256	384	-1	86	1	0	False
48	46	257	384	-1	86	1	0	False
48	47	258	384	-1	86	1	0	False
