# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=1
# keepX=458
# keepY=351
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=<not-available>
# selectionAccepted=False
# selectionFinalOrientation=<not-available>
# finalCandidateId=<not-available>
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=11.193
# afterScanMilliseconds=11.119
# changedLayerCells=248
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-202433-337-session001-p1-n01.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
458	351	123962	logic	32768	268468224
458	351	123962	buildingId	0	1
459	351	123963	logic	32768	268468224
459	351	123963	buildingId	0	1
460	351	123964	logic	32768	268468224
460	351	123964	buildingId	0	1
461	351	123965	logic	32768	268468224
461	351	123965	buildingId	0	1
462	351	123966	logic	32768	268468224
462	351	123966	buildingId	0	1
463	351	123967	logic	32768	268468224
463	351	123967	buildingId	0	1
464	351	123968	logic	32768	268468224
464	351	123968	buildingId	0	1
458	352	124667	logic	32768	268468224
458	352	124667	buildingId	0	1
459	352	124668	logic	32768	268468224
459	352	124668	buildingId	0	1
460	352	124669	logic	32768	268468224
460	352	124669	buildingId	0	1
461	352	124670	logic	32768	268468224
461	352	124670	buildingId	0	1
462	352	124671	logic	32768	268468224
462	352	124671	buildingId	0	1
463	352	124672	logic	32768	268468224
463	352	124672	buildingId	0	1
464	352	124673	logic	32768	268468224
464	352	124673	buildingId	0	1
458	353	125374	logic	32768	268468224
458	353	125374	buildingId	0	1
459	353	125375	logic	32768	268468224
459	353	125375	buildingId	0	1
460	353	125376	logic	32768	268468224
460	353	125376	buildingId	0	1
461	353	125377	logic	32768	268468224
461	353	125377	buildingId	0	1
462	353	125378	logic	32768	268468224
462	353	125378	buildingId	0	1
463	353	125379	logic	32768	268468224
463	353	125379	buildingId	0	1
464	353	125380	logic	32768	268468224
464	353	125380	buildingId	0	1
465	353	125381	logic	0	1282
465	353	125381	buildingId	0	6
465	353	125381	height	8	18
465	353	125381	wallOwner	4	0
466	353	125382	logic	0	1282
466	353	125382	buildingId	0	6
466	353	125382	height	8	18
466	353	125382	wallOwner	4	0
467	353	125383	logic	0	258
467	353	125383	height	8	18
467	353	125383	wallOwner	4	0
468	353	125384	logic	0	1282
468	353	125384	buildingId	0	7
468	353	125384	height	8	18
468	353	125384	wallOwner	4	0
469	353	125385	logic	0	1282
469	353	125385	buildingId	0	7
469	353	125385	height	8	18
469	353	125385	wallOwner	4	0
458	354	126083	logic	32768	268468224
458	354	126083	buildingId	0	1
459	354	126084	logic	32768	268468224
459	354	126084	buildingId	0	1
460	354	126085	logic	32768	268468224
460	354	126085	buildingId	0	1
461	354	126086	logic	32768	268468224
461	354	126086	buildingId	0	1
462	354	126087	logic	32768	268468224
462	354	126087	buildingId	0	1
463	354	126088	logic	32768	268468224
463	354	126088	buildingId	0	1
464	354	126089	logic	32768	268468224
464	354	126089	buildingId	0	1
465	354	126090	logic	0	1282
465	354	126090	buildingId	0	6
465	354	126090	height	8	18
465	354	126090	wallOwner	4	0
466	354	126091	logic	32768	34050
466	354	126091	buildingId	0	6
466	354	126091	height	8	18
466	354	126091	wallOwner	4	0
467	354	126092	logic	32768	33026
467	354	126092	height	8	18
467	354	126092	wallOwner	4	0
468	354	126093	logic	32768	34050
468	354	126093	buildingId	0	7
468	354	126093	height	8	18
468	354	126093	wallOwner	4	0
469	354	126094	logic	0	1282
469	354	126094	buildingId	0	7
469	354	126094	height	8	18
469	354	126094	wallOwner	4	0
458	355	126794	logic	32768	268468224
458	355	126794	buildingId	0	1
459	355	126795	logic	32768	268468224
459	355	126795	buildingId	0	1
460	355	126796	logic	32768	268468224
460	355	126796	buildingId	0	1
461	355	126797	logic	32768	268468224
461	355	126797	buildingId	0	1
462	355	126798	logic	32768	268468224
462	355	126798	buildingId	0	1
463	355	126799	logic	32768	268468224
463	355	126799	buildingId	0	1
464	355	126800	logic	32768	268468224
464	355	126800	buildingId	0	1
465	355	126801	logic	0	258
465	355	126801	height	8	18
465	355	126801	wallOwner	4	0
466	355	126802	logic	32768	33026
466	355	126802	height	8	18
466	355	126802	wallOwner	4	0
467	355	126803	logic	32768	33026
467	355	126803	height	8	18
467	355	126803	wallOwner	4	0
468	355	126804	logic	32768	33026
468	355	126804	height	8	18
468	355	126804	wallOwner	4	0
469	355	126805	logic	0	258
469	355	126805	height	8	18
469	355	126805	wallOwner	4	0
458	356	127507	logic	32768	268468224
458	356	127507	buildingId	0	1
459	356	127508	logic	32768	268468224
459	356	127508	buildingId	0	1
460	356	127509	logic	32768	268468224
460	356	127509	buildingId	0	1
461	356	127510	logic	32768	268468224
461	356	127510	buildingId	0	1
462	356	127511	logic	32768	268468224
462	356	127511	buildingId	0	1
463	356	127512	logic	32768	268468224
463	356	127512	buildingId	0	1
464	356	127513	logic	32768	268468224
464	356	127513	buildingId	0	1
465	356	127514	logic	0	1282
465	356	127514	buildingId	0	8
465	356	127514	height	8	18
465	356	127514	wallOwner	4	0
466	356	127515	logic	32768	34050
466	356	127515	buildingId	0	8
466	356	127515	height	8	18
466	356	127515	wallOwner	4	0
467	356	127516	logic	32768	33026
467	356	127516	height	8	18
467	356	127516	wallOwner	4	0
468	356	127517	logic	32768	34050
468	356	127517	buildingId	0	9
468	356	127517	height	8	18
468	356	127517	wallOwner	4	0
469	356	127518	logic	0	1282
469	356	127518	buildingId	0	9
469	356	127518	height	8	18
469	356	127518	wallOwner	4	0
458	357	128222	logic	32768	268468224
458	357	128222	buildingId	0	1
459	357	128223	logic	32768	268468224
459	357	128223	buildingId	0	1
460	357	128224	logic	32768	268468224
460	357	128224	buildingId	0	1
461	357	128225	logic	32768	268468224
461	357	128225	buildingId	0	1
462	357	128226	logic	32768	268468224
462	357	128226	buildingId	0	1
463	357	128227	logic	32768	268468224
463	357	128227	buildingId	0	1
464	357	128228	logic	32768	268468224
464	357	128228	buildingId	0	1
465	357	128229	logic	0	1282
465	357	128229	buildingId	0	8
465	357	128229	height	8	18
465	357	128229	wallOwner	4	0
466	357	128230	logic	0	1282
466	357	128230	buildingId	0	8
466	357	128230	height	8	18
466	357	128230	wallOwner	4	0
467	357	128231	logic	0	258
467	357	128231	height	8	18
467	357	128231	wallOwner	4	0
468	357	128232	logic	0	1282
468	357	128232	buildingId	0	9
468	357	128232	height	8	18
468	357	128232	wallOwner	4	0
469	357	128233	logic	0	1282
469	357	128233	buildingId	0	9
469	357	128233	height	8	18
469	357	128233	wallOwner	4	0
460	358	128941	logic	32768	33792
460	358	128941	buildingId	0	2
461	358	128942	buildingId	0	3
462	358	128943	logic	32768	33792
462	358	128943	buildingId	0	4
458	359	129658	buildingId	0	5
459	359	129659	buildingId	0	5
460	359	129660	buildingId	0	5
461	359	129661	buildingId	0	5
462	359	129662	buildingId	0	5
463	359	129663	buildingId	0	5
464	359	129664	buildingId	0	5
458	360	130379	buildingId	0	5
459	360	130380	buildingId	0	5
460	360	130381	buildingId	0	5
461	360	130382	buildingId	0	5
462	360	130383	buildingId	0	5
463	360	130384	buildingId	0	5
464	360	130385	buildingId	0	5
458	361	131102	buildingId	0	5
459	361	131103	buildingId	0	5
460	361	131104	buildingId	0	5
461	361	131105	logic	32768	33792
461	361	131105	buildingId	0	5
462	361	131106	buildingId	0	5
463	361	131107	buildingId	0	5
464	361	131108	buildingId	0	5
458	362	131827	buildingId	0	5
459	362	131828	buildingId	0	5
460	362	131829	logic	32768	33792
460	362	131829	buildingId	0	5
461	362	131830	logic	32768	33792
461	362	131830	buildingId	0	5
462	362	131831	logic	32768	33792
462	362	131831	buildingId	0	5
463	362	131832	buildingId	0	5
464	362	131833	buildingId	0	5
458	363	132554	buildingId	0	5
459	363	132555	buildingId	0	5
460	363	132556	buildingId	0	5
461	363	132557	logic	32768	33792
461	363	132557	buildingId	0	5
462	363	132558	buildingId	0	5
463	363	132559	buildingId	0	5
464	363	132560	buildingId	0	5
458	364	133283	buildingId	0	5
459	364	133284	buildingId	0	5
460	364	133285	buildingId	0	5
461	364	133286	buildingId	0	5
462	364	133287	buildingId	0	5
463	364	133288	buildingId	0	5
464	364	133289	buildingId	0	5
458	365	134014	buildingId	0	5
459	365	134015	buildingId	0	5
460	365	134016	buildingId	0	5
461	365	134017	buildingId	0	5
462	365	134018	buildingId	0	5
463	365	134019	buildingId	0	5
464	365	134020	buildingId	0	5
