# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=2
# keepX=244
# keepY=397
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar6.aivjson
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=12.290
# afterScanMilliseconds=16.536
# changedLayerCells=337
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-202433-339-session001-p2-n02.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
236	391	153500	logic2	0	2
244	391	153508	logic2	0	2
245	391	153509	logic2	0	2
246	391	153510	logic2	0	2
247	391	153511	logic2	0	2
235	392	154284	logic2	0	2
245	392	154294	logic2	0	2
246	392	154295	logic2	0	2
247	392	154296	logic2	0	2
234	393	155070	logic2	0	2
246	393	155082	logic2	0	2
247	393	155083	logic2	0	2
233	394	155858	logic2	0	2
247	394	155872	logic2	0	2
248	394	155873	logic2	0	2
232	395	156648	logic2	0	2
248	395	156664	logic2	0	2
249	395	156665	logic2	0	2
231	396	157440	logic2	0	2
249	396	157458	logic2	0	2
250	396	157459	logic2	0	2
230	397	158234	logic2	0	2
236	397	158240	buildingId	0	14
237	397	158241	logic2	0	2
237	397	158241	buildingId	0	14
238	397	158242	buildingId	0	14
239	397	158243	buildingId	0	14
240	397	158244	buildingId	0	14
241	397	158245	buildingId	0	14
242	397	158246	buildingId	0	14
244	397	158248	logic	32768	268468224
244	397	158248	buildingId	0	10
245	397	158249	logic	32768	268468224
245	397	158249	buildingId	0	10
246	397	158250	logic	32768	268468224
246	397	158250	buildingId	0	10
247	397	158251	logic	32768	268468224
247	397	158251	buildingId	0	10
248	397	158252	logic	32768	268468224
248	397	158252	buildingId	0	10
249	397	158253	logic	32768	268468224
249	397	158253	buildingId	0	10
250	397	158254	logic	32768	268468224
250	397	158254	logic2	0	2
250	397	158254	buildingId	0	10
251	397	158255	logic2	0	2
230	398	159031	logic2	0	2
236	398	159037	buildingId	0	14
237	398	159038	buildingId	0	14
