# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=4
# keepX=254
# keepY=386
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.502
# afterScanMilliseconds=9.762
# changedLayerCells=371
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-202511-357-session003-p4-n04.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
267	380	145028	logic2	0	2
268	380	145029	logic2	0	2
256	381	145780	logic	32768	34050
256	381	145780	buildingId	0	33
256	381	145780	height	8	18
256	381	145780	wallOwner	0	3
257	381	145781	logic	32768	34050
257	381	145781	buildingId	0	33
257	381	145781	height	8	18
257	381	145781	wallOwner	0	3
258	381	145782	logic	32768	33026
258	381	145782	height	8	18
258	381	145782	wallOwner	0	3
259	381	145783	logic	32768	34050
259	381	145783	buildingId	0	34
259	381	145783	height	8	18
259	381	145783	wallOwner	0	3
260	381	145784	logic	32768	34050
260	381	145784	buildingId	0	34
260	381	145784	height	8	18
260	381	145784	wallOwner	0	3
267	381	145791	logic2	0	2
268	381	145792	logic2	0	2
269	381	145793	logic2	0	2
256	382	146545	logic	32768	34050
256	382	146545	buildingId	0	33
256	382	146545	height	8	18
256	382	146545	wallOwner	0	3
257	382	146546	logic	32768	34050
257	382	146546	buildingId	0	33
257	382	146546	height	8	18
257	382	146546	wallOwner	0	3
258	382	146547	logic	32768	33026
258	382	146547	height	8	18
258	382	146547	wallOwner	0	3
259	382	146548	logic	32768	34050
259	382	146548	buildingId	0	34
259	382	146548	height	8	18
259	382	146548	wallOwner	0	3
260	382	146549	logic	32768	34050
260	382	146549	buildingId	0	34
260	382	146549	height	8	18
260	382	146549	wallOwner	0	3
267	382	146556	logic2	0	2
268	382	146557	logic2	0	2
269	382	146558	logic2	0	2
270	382	146559	logic2	0	2
256	383	147312	logic	32768	33026
256	383	147312	height	8	18
256	383	147312	wallOwner	0	3
