# capturedAtLocal=2026-09-24T22:12:50.5225984+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# candidateId=0
# aivName=Default 2
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\sentinel2.aivjson
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# orientation=0
# originX=194
# originY=354
# keepX=237
# keepY=397
# evaluatedCells=2228
# nativeBlockedCells=234
# resultGridBlockedCells=234
# validatorCalls=2228
# validatorBlockedCells=234
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
11	47	241	365	144	144	81	0	False
11	48	242	365	144	144	81	0	False
11	49	243	365	144	144	81	0	False
11	50	244	365	144	144	81	0	False
11	51	245	365	144	144	81	0	False
12	47	241	366	144	144	81	0	False
12	48	242	366	144	144	81	0	False
12	49	243	366	144	144	81	0	False
12	50	244	366	144	144	81	0	False
12	51	245	366	144	144	81	0	False
13	35	229	367	25	25	21	0	False
13	36	230	367	25	25	21	0	False
13	37	231	367	25	25	7	0	False
13	38	232	367	25	25	7	0	False
13	39	233	367	25	25	7	0	False
13	40	234	367	25	25	7	0	False
13	41	235	367	25	25	7	0	False
13	42	236	367	25	25	7	0	False
13	43	237	367	25	25	7	0	False
13	44	238	367	25	25	7	0	False
13	45	239	367	25	25	7	0	False
13	46	240	367	25	25	7	0	False
13	47	241	367	144	144	81	0	False
13	48	242	367	144	144	81	0	False
13	49	243	367	144	144	81	0	False
13	50	244	367	144	144	81	0	False
13	51	245	367	144	144	81	0	False
13	52	246	367	25	25	8	0	False
13	53	247	367	25	25	8	0	False
13	54	248	367	25	25	8	0	False
13	55	249	367	25	25	8	0	False
13	56	250	367	25	25	8	0	False
13	57	251	367	25	25	8	0	False
13	58	252	367	25	25	8	0	False
13	59	253	367	25	25	8	0	False
13	60	254	367	25	25	8	0	False
13	61	255	367	25	25	8	0	False
13	62	256	367	25	25	8	0	False
13	63	257	367	25	25	8	0	False
14	35	229	368	25	25	22	0	False
14	36	230	368	25	25	117	0	False
14	37	231	368	25	25	120	0	False
14	38	232	368	25	25	120	0	False
14	39	233	368	25	25	120	0	False
14	40	234	368	25	25	120	0	False
14	41	235	368	25	25	120	0	False
14	42	236	368	25	25	120	0	False
14	43	237	368	25	25	120	0	False
14	44	238	368	25	25	120	0	False
14	45	239	368	25	25	120	0	False
14	46	240	368	25	25	120	0	False
14	47	241	368	144	144	81	0	False
14	48	242	368	144	144	81	0	False
14	49	243	368	144	144	81	0	False
14	50	244	368	144	144	81	0	False
14	51	245	368	144	144	81	0	False
14	52	246	368	25	25	120	0	False
14	53	247	368	25	25	120	0	False
14	54	248	368	25	25	120	0	False
14	55	249	368	25	25	120	0	False
14	56	250	368	25	25	120	0	False
14	57	251	368	25	25	120	0	False
14	58	252	368	25	25	120	0	False
14	59	253	368	25	25	120	0	False
14	60	254	368	25	25	120	0	False
14	61	255	368	25	25	120	0	False
14	62	256	368	25	25	119	0	False
14	63	257	368	25	25	11	0	False
15	36	230	369	25	25	23	0	False
15	37	231	369	25	25	117	0	False
15	47	241	369	144	144	81	0	False
15	48	242	369	144	144	81	0	False
15	49	243	369	144	144	81	0	False
15	50	244	369	144	144	81	0	False
15	51	245	369	144	144	81	0	False
15	61	255	369	25	25	119	0	False
15	62	256	369	25	25	12	0	False
16	37	231	370	25	25	24	0	False
16	38	232	370	25	25	117	0	False
16	60	254	370	25	25	119	0	False
16	61	255	370	25	25	13	0	False
17	37	231	371	25	25	24	0	False
17	38	232	371	25	25	117	0	False
17	60	254	371	25	25	119	0	False
17	61	255	371	25	25	13	0	False
18	38	232	372	25	25	25	0	False
18	39	233	372	25	25	117	0	False
18	44	238	372	61	61	1	0	False
18	45	239	372	61	61	1	0	False
18	46	240	372	61	61	1	0	False
18	47	241	372	61	61	1	0	False
18	48	242	372	61	61	1	0	False
18	49	243	372	61	61	1	0	False
18	50	244	372	61	61	1	0	False
18	59	253	372	25	25	119	0	False
18	60	254	372	25	25	14	0	False
19	38	232	373	25	25	25	0	False
19	39	233	373	25	25	117	0	False
19	44	238	373	61	61	1	0	False
19	45	239	373	61	61	1	0	False
19	46	240	373	61	61	1	0	False
19	47	241	373	61	61	1	0	False
19	48	242	373	61	61	1	0	False
19	49	243	373	61	61	1	0	False
19	50	244	373	61	61	1	0	False
19	59	253	373	25	25	119	0	False
19	60	254	373	25	25	14	0	False
20	39	233	374	25	25	26	0	False
