# capturedAtLocal=2026-09-24T22:12:52.9400433+02:00
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# orientation=4
# originX=215
# originY=374
# keepX=258
# keepY=417
# evaluatedCells=1770
# nativeBlockedCells=1019
# resultGridBlockedCells=1019
# validatorCalls=1770
# validatorBlockedCells=1019
# preValidatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
23	6	221	397	324	324	65	0	False
23	7	222	397	324	324	65	0	False
23	8	223	397	324	324	65	0	False
23	9	224	397	324	324	65	0	False
23	10	225	397	324	324	65	0	False
23	12	227	397	313	313	66	0	False
23	13	228	397	313	313	66	0	False
23	15	230	397	318	318	67	0	False
23	16	231	397	318	318	67	0	False
23	18	233	397	169	169	68	0	False
23	19	234	397	169	169	68	0	False
23	20	235	397	169	169	68	0	False
23	21	236	397	169	169	68	1	True
24	6	221	398	324	324	65	1	True
24	7	222	398	324	324	65	1	True
24	8	223	398	324	324	65	1	True
24	9	224	398	324	324	65	1	True
24	10	225	398	324	324	65	0	False
24	12	227	398	313	313	66	1	True
24	13	228	398	313	313	66	1	True
24	15	230	398	318	318	67	0	False
24	16	231	398	318	318	67	1	True
24	18	233	398	169	169	68	1	True
24	19	234	398	169	169	68	1	True
24	20	235	398	169	169	68	0	False
24	21	236	398	169	169	68	0	False
25	6	221	399	324	324	65	1	True
25	7	222	399	324	324	65	1	True
25	8	223	399	324	324	65	1	True
25	9	224	399	324	324	65	1	True
25	10	225	399	324	324	65	0	False
25	18	233	399	169	169	68	1	True
25	19	234	399	169	169	68	1	True
25	20	235	399	169	169	68	0	False
25	21	236	399	169	169	68	0	False
26	6	221	400	324	324	65	1	True
26	7	222	400	324	324	65	1	True
26	8	223	400	324	324	65	1	True
26	9	224	400	324	324	65	1	True
26	10	225	400	324	324	65	0	False
26	12	227	400	112	112	52	1	True
26	13	228	400	112	112	52	1	True
26	14	229	400	112	112	52	0	False
26	15	230	400	112	112	52	0	False
26	16	231	400	112	112	52	1	True
26	18	233	400	169	169	68	1	True
26	19	234	400	169	169	68	1	True
26	20	235	400	169	169	68	0	False
26	21	236	400	169	169	68	0	False
26	36	251	400	65	65	72	1	True
26	37	252	400	65	65	72	1	True
26	38	253	400	65	65	72	1	True
26	39	254	400	65	65	72	1	True
26	40	255	400	65	65	72	0	False
26	41	256	400	65	65	72	0	False
26	42	257	400	65	65	71	0	False
26	43	258	400	65	65	71	0	False
26	44	259	400	65	65	71	0	False
26	45	260	400	65	65	71	0	False
26	46	261	400	65	65	71	0	False
26	47	262	400	65	65	71	0	False
26	48	263	400	65	65	70	0	False
26	49	264	400	65	65	70	0	False
26	50	265	400	65	65	70	0	False
26	51	266	400	65	65	70	0	False
26	52	267	400	65	65	70	0	False
26	53	268	400	65	65	70	0	False
26	54	269	400	112	112	53	0	False
26	55	270	400	112	112	53	1	True
26	56	271	400	112	112	53	1	True
26	57	272	400	112	112	53	1	True
26	58	273	400	112	112	53	1	True
27	6	221	401	324	324	65	1	True
27	7	222	401	324	324	65	1	True
27	8	223	401	324	324	65	1	True
27	9	224	401	324	324	65	1	True
27	10	225	401	324	324	65	0	False
27	12	227	401	112	112	52	0	False
27	13	228	401	112	112	52	0	False
27	14	229	401	112	112	52	0	False
27	15	230	401	112	112	52	0	False
27	16	231	401	112	112	52	1	True
27	30	245	401	92	92	75	0	False
27	31	246	401	92	92	75	0	False
27	32	247	401	92	92	75	0	False
27	33	248	401	92	92	75	0	False
27	34	249	401	92	92	75	0	False
27	36	251	401	65	65	72	1	True
27	37	252	401	65	65	72	1	True
27	38	253	401	65	65	72	1	True
27	39	254	401	65	65	72	1	True
27	40	255	401	65	65	72	0	False
27	41	256	401	65	65	72	0	False
27	42	257	401	65	65	71	0	False
27	43	258	401	65	65	71	0	False
27	44	259	401	65	65	71	0	False
27	45	260	401	65	65	71	0	False
27	46	261	401	65	65	71	0	False
27	47	262	401	65	65	71	1	True
27	48	263	401	65	65	70	1	True
27	49	264	401	65	65	70	1	True
27	50	265	401	65	65	70	1	True
27	51	266	401	65	65	70	1	True
27	52	267	401	65	65	70	1	True
27	53	268	401	65	65	70	1	True
27	54	269	401	112	112	53	1	True
27	55	270	401	112	112	53	1	True
27	56	271	401	112	112	53	1	True
27	57	272	401	112	112	53	1	True
27	58	273	401	112	112	53	1	True
28	12	227	402	112	112	52	1	True
28	13	228	402	112	112	52	1	True
28	14	229	402	112	112	52	1	True
28	15	230	402	112	112	52	0	False
28	16	231	402	112	112	52	0	False
28	18	233	402	166	166	69	0	False
28	19	234	402	166	166	69	0	False
28	20	235	402	166	166	69	0	False
28	30	245	402	92	92	75	0	False
28	31	246	402	92	92	75	1	True
28	32	247	402	92	92	75	1	True
28	33	248	402	92	92	75	1	True
28	34	249	402	92	92	75	1	True
28	36	251	402	65	65	72	1	True
28	37	252	402	65	65	72	1	True
28	38	253	402	65	65	72	1	True
28	39	254	402	65	65	72	1	True
28	40	255	402	65	65	72	0	False
28	41	256	402	65	65	72	1	True
28	42	257	402	65	65	71	1	True
28	43	258	402	65	65	71	1	True
28	44	259	402	65	65	71	1	True
28	45	260	402	65	65	71	0	False
28	46	261	402	65	65	71	0	False
28	47	262	402	65	65	71	1	True
28	48	263	402	65	65	70	1	True
28	49	264	402	65	65	70	1	True
28	50	265	402	65	65	70	1	True
28	51	266	402	65	65	70	1	True
28	52	267	402	65	65	70	1	True
28	53	268	402	65	65	70	1	True
28	54	269	402	112	112	53	1	True
28	55	270	402	112	112	53	1	True
28	56	271	402	112	112	53	1	True
28	57	272	402	112	112	53	1	True
28	58	273	402	112	112	53	1	True
29	8	223	403	175	175	64	0	False
29	9	224	403	175	175	64	0	False
29	10	225	403	175	175	64	0	False
29	12	227	403	112	112	52	1	True
29	13	228	403	112	112	52	1	True
29	14	229	403	112	112	52	1	True
29	15	230	403	112	112	52	0	False
29	16	231	403	112	112	52	0	False
29	18	233	403	166	166	69	0	False
29	19	234	403	166	166	69	0	False
29	20	235	403	166	166	69	0	False
29	30	245	403	92	92	75	0	False
29	31	246	403	92	92	75	1	True
29	32	247	403	92	92	75	1	True
29	33	248	403	92	92	75	1	True
29	34	249	403	92	92	75	1	True
29	36	251	403	65	65	72	0	False
29	37	252	403	65	65	72	0	False
29	38	253	403	65	65	72	0	False
29	39	254	403	65	65	72	0	False
29	40	255	403	65	65	72	0	False
29	41	256	403	65	65	72	1	True
29	42	257	403	65	65	71	1	True
29	43	258	403	65	65	71	1	True
29	44	259	403	65	65	71	1	True
29	45	260	403	65	65	71	0	False
29	46	261	403	65	65	71	0	False
29	47	262	403	65	65	71	1	True
29	48	263	403	65	65	70	1	True
29	49	264	403	65	65	70	1	True
29	50	265	403	65	65	70	1	True
29	51	266	403	65	65	70	1	True
29	52	267	403	65	65	70	1	True
29	53	268	403	65	65	70	1	True
29	54	269	403	112	112	53	1	True
29	55	270	403	112	112	53	0	False
29	56	271	403	112	112	53	1	True
29	57	272	403	112	112	53	1	True
29	58	273	403	112	112	53	1	True
30	8	223	404	175	175	64	0	False
30	9	224	404	175	175	64	0	False
30	10	225	404	175	175	64	0	False
30	12	227	404	112	112	52	1	True
30	13	228	404	112	112	52	1	True
30	14	229	404	112	112	52	1	True
30	15	230	404	112	112	52	0	False
30	16	231	404	112	112	52	0	False
30	18	233	404	166	166	69	0	False
30	19	234	404	166	166	69	0	False
30	20	235	404	166	166	69	0	False
30	30	245	404	92	92	75	0	False
30	31	246	404	92	92	75	1	True
30	32	247	404	92	92	75	1	True
30	33	248	404	92	92	75	1	True
30	34	249	404	92	92	75	1	True
30	36	251	404	65	65	72	0	False
30	37	252	404	65	65	72	0	False
30	38	253	404	65	65	72	0	False
30	39	254	404	65	65	72	0	False
30	40	255	404	65	65	72	0	False
30	41	256	404	65	65	72	1	True
30	42	257	404	65	65	71	1	True
30	43	258	404	65	65	71	1	True
30	44	259	404	65	65	71	1	True
30	45	260	404	65	65	71	0	False
30	46	261	404	65	65	71	0	False
30	47	262	404	65	65	71	1	True
30	48	263	404	65	65	70	1	True
30	49	264	404	65	65	70	1	True
30	50	265	404	65	65	70	1	True
30	51	266	404	65	65	70	1	True
30	52	267	404	65	65	70	1	True
30	53	268	404	65	65	70	1	True
30	54	269	404	112	112	53	1	True
30	55	270	404	112	112	53	0	False
30	56	271	404	112	112	53	1	True
30	57	272	404	112	112	53	1	True
30	58	273	404	112	112	53	1	True
31	8	223	405	175	175	64	0	False
31	9	224	405	175	175	64	0	False
31	10	225	405	175	175	64	0	False
31	13	228	405	26	26	50	1	True
31	14	229	405	25	25	49	1	True
31	21	236	405	65	65	37	0	False
31	22	237	405	65	65	37	0	False
31	23	238	405	65	65	37	0	False
31	24	239	405	65	65	37	0	False
31	25	240	405	65	65	37	0	False
31	26	241	405	65	65	37	1	True
31	30	245	405	92	92	75	0	False
31	31	246	405	92	92	75	1	True
31	32	247	405	92	92	75	1	True
31	33	248	405	92	92	75	1	True
31	34	249	405	92	92	75	1	True
31	36	251	405	65	65	72	0	False
31	37	252	405	65	65	72	0	False
31	38	253	405	65	65	72	0	False
31	39	254	405	65	65	72	0	False
31	40	255	405	65	65	72	0	False
31	41	256	405	65	65	72	1	True
31	42	257	405	65	65	71	1	True
31	43	258	405	65	65	71	1	True
31	44	259	405	65	65	71	1	True
31	45	260	405	65	65	71	0	False
31	46	261	405	65	65	71	0	False
31	47	262	405	65	65	71	1	True
31	48	263	405	65	65	70	1	True
31	49	264	405	65	65	70	1	True
31	50	265	405	65	65	70	1	True
31	51	266	405	65	65	70	1	True
31	52	267	405	65	65	70	1	True
31	53	268	405	65	65	70	1	True
31	56	271	405	25	25	48	1	True
31	57	272	405	26	26	51	1	True
32	13	228	406	26	26	50	0	False
32	14	229	406	25	25	49	0	False
32	21	236	406	65	65	37	0	False
32	22	237	406	65	65	37	0	False
32	23	238	406	65	65	37	0	False
32	24	239	406	65	65	37	0	False
32	25	240	406	65	65	37	0	False
32	26	241	406	65	65	37	1	True
32	52	267	406	76	76	73	1	True
32	53	268	406	76	76	73	1	True
32	54	269	406	76	76	73	1	True
32	55	270	406	76	76	73	0	False
32	56	271	406	25	25	48	1	True
32	57	272	406	26	26	51	1	True
33	9	224	407	166	166	63	1	True
33	10	225	407	166	166	63	1	True
33	11	226	407	166	166	63	1	True
33	13	228	407	26	26	50	1	True
33	14	229	407	25	25	49	1	True
33	15	230	407	76	76	74	1	True
33	16	231	407	76	76	74	1	True
33	17	232	407	76	76	74	1	True
33	18	233	407	76	76	74	1	True
33	21	236	407	65	65	37	0	False
33	22	237	407	65	65	37	0	False
33	23	238	407	65	65	37	0	False
33	24	239	407	65	65	37	0	False
33	25	240	407	65	65	37	0	False
33	26	241	407	65	65	37	1	True
33	28	243	407	92	92	40	1	True
33	29	244	407	92	92	40	1	True
33	30	245	407	92	92	40	0	False
33	31	246	407	92	92	40	0	False
33	32	247	407	92	92	40	0	False
33	33	248	407	-1	86	17	0	False
33	34	249	407	-1	86	17	0	False
33	35	250	407	-1	86	17	0	False
33	36	251	407	-1	86	17	1	True
33	37	252	407	-1	86	17	1	True
33	38	253	407	-1	86	17	1	True
33	39	254	407	-1	86	17	1	True
33	40	255	407	-1	86	17	1	True
33	41	256	407	-1	86	17	1	True
33	42	257	407	-1	86	17	1	True
33	43	258	407	-1	86	31	0	False
33	44	259	407	-1	86	31	0	False
33	45	260	407	-1	86	31	0	False
33	46	261	407	-1	86	31	0	False
33	47	262	407	-1	86	31	1	True
33	52	267	407	76	76	73	1	True
33	53	268	407	76	76	73	1	True
33	54	269	407	76	76	73	1	True
33	55	270	407	76	76	73	0	False
33	56	271	407	25	25	48	1	True
33	57	272	407	26	26	51	1	True
34	9	224	408	166	166	63	1	True
34	10	225	408	166	166	63	1	True
34	11	226	408	166	166	63	1	True
34	13	228	408	26	26	50	1	True
34	14	229	408	25	25	49	1	True
34	15	230	408	76	76	74	1	True
34	16	231	408	76	76	74	1	True
34	17	232	408	76	76	74	1	True
34	18	233	408	76	76	74	1	True
34	21	236	408	65	65	37	0	False
34	22	237	408	65	65	37	0	False
