# capturedAtLocal=2026-09-24T22:13:11.8414098+02:00
# mapLoadSequence=5
# mapName=<unknown>
# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\sentinel2.aivjson
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# keepX=237
# keepY=397
# captureSequence=2
# playerId=3
# frameCount=134
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=4183
# buildingRecordChanges=44
# beforeCaptureMilliseconds=1033,1
# afterCaptureMilliseconds=1160,4
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T22:13:11.8414098+02:00	2026-09-24T22:13:11.8484288+02:00	18	0	2	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
2	2026-09-24T22:13:11.8570845+02:00	2026-09-24T22:13:11.8650938+02:00	18	1	2	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
3	2026-09-24T22:13:11.8736066+02:00	2026-09-24T22:13:11.8806201+02:00	18	2	2	52	True	1	0	1	144245	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
4	2026-09-24T22:13:11.8896351+02:00	2026-09-24T22:13:11.8976487+02:00	18	3	2	80	False	1	0	1	149615	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
5	2026-09-24T22:13:11.9063078+02:00	2026-09-24T22:13:11.9145714+02:00	18	4	2	77	False	1	0	1	151158	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
6	2026-09-24T22:13:11.9231261+02:00	2026-09-24T22:13:11.9301381+02:00	18	5	2	54	False	1	0	1	162242	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
7	2026-09-24T22:13:11.9385796+02:00	2026-09-24T22:13:11.9466127+02:00	18	6	2	50	False	1	0	1	167766	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
8	2026-09-24T22:13:11.9556252+02:00	2026-09-24T22:13:11.9631318+02:00	18	7	2	25	False	1	0	10	2	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
9	2026-09-24T22:13:11.9722135+02:00	2026-09-24T22:13:11.9797406+02:00	18	8	2	25	False	1	0	12	12	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
10	2026-09-24T22:13:11.9882778+02:00	2026-09-24T22:13:11.9962971+02:00	18	9	2	81	False	1	0	1	180772	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
11	2026-09-24T22:13:12.0043060+02:00	2026-09-24T22:13:12.0123084+02:00	18	10	2	54	False	1	0	1	162222	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
12	2026-09-24T22:13:12.0208284+02:00	2026-09-24T22:13:12.0288403+02:00	18	11	2	25	False	1	0	1	93	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
13	2026-09-24T22:13:12.0380746+02:00	2026-09-24T22:13:12.0456496+02:00	18	12	2	25	False	1	0	1	95	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
14	2026-09-24T22:13:12.0536035+02:00	2026-09-24T22:13:12.0616138+02:00	18	13	2	25	False	1	0	2	98	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
15	2026-09-24T22:13:12.0705715+02:00	2026-09-24T22:13:12.0785812+02:00	18	14	2	25	False	1	0	2	102	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
16	2026-09-24T22:13:12.0866837+02:00	2026-09-24T22:13:12.0946904+02:00	18	15	2	25	False	1	0	3	107	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
17	2026-09-24T22:13:12.1032000+02:00	2026-09-24T22:13:12.1107060+02:00	18	16	2	25	False	1	0	14	124	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
18	2026-09-24T22:13:12.1197164+02:00	2026-09-24T22:13:12.1272231+02:00	18	17	2	50	False	1	0	1	170878	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
19	2026-09-24T22:13:12.1354701+02:00	2026-09-24T22:13:12.1429761+02:00	18	18	2	82	False	1	0	1	167755	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
20	2026-09-24T22:13:12.1519533+02:00	2026-09-24T22:13:12.1599635+02:00	18	19	2	54	False	1	0	1	155065	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
21	2026-09-24T22:13:12.1684810+02:00	2026-09-24T22:13:12.1765355+02:00	18	20	2	79	False	1	0	1	176212	0	1	1	0x7FFAAE2DEDB0	True	100	0	0	100	
22	2026-09-24T22:13:12.1850537+02:00	2026-09-24T22:13:12.1930560+02:00	18	21	2	25	False	1	0	2	0	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
23	2026-09-24T22:13:12.2015740+02:00	2026-09-24T22:13:12.2090805+02:00	18	22	2	25	False	1	0	1	24	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
24	2026-09-24T22:13:12.2180986+02:00	2026-09-24T22:13:12.2256217+02:00	18	23	2	25	False	1	0	1	94	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
25	2026-09-24T22:13:12.2336325+02:00	2026-09-24T22:13:12.2416435+02:00	18	24	2	25	False	1	0	2	96	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
26	2026-09-24T22:13:12.2500686+02:00	2026-09-24T22:13:12.2580675+02:00	18	25	2	25	False	1	0	2	100	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
27	2026-09-24T22:13:12.2670789+02:00	2026-09-24T22:13:12.2746047+02:00	18	26	2	25	False	1	0	3	104	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
28	2026-09-24T22:13:12.2826181+02:00	2026-09-24T22:13:12.2906514+02:00	18	27	2	25	False	1	0	14	110	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
29	2026-09-24T22:13:12.2991561+02:00	2026-09-24T22:13:12.3070564+02:00	18	28	2	54	False	1	0	1	161435	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
30	2026-09-24T22:13:12.3160743+02:00	2026-09-24T22:13:12.3235789+02:00	18	29	2	25	False	1	0	4	246	0	1	1	0x7FFAAE2DEDB0	True	0	25	0	25	
31	2026-09-24T22:13:12.3320929+02:00	2026-09-24T22:13:12.3395625+02:00	18	30	2	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
32	2026-09-24T22:13:12.3480836+02:00	2026-09-24T22:13:12.3560961+02:00	18	31	2	25	False	1	0	1	223	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
33	2026-09-24T22:13:12.3651043+02:00	2026-09-24T22:13:12.3716139+02:00	18	32	2	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
34	2026-09-24T22:13:12.3796258+02:00	2026-09-24T22:13:12.3856434+02:00	18	33	2	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
35	2026-09-24T22:13:12.3946410+02:00	2026-09-24T22:13:12.4020614+02:00	18	34	2	25	False	1	0	2	140	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
36	2026-09-24T22:13:12.4100746+02:00	2026-09-24T22:13:12.4180930+02:00	18	35	2	25	False	1	0	1	656	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
37	2026-09-24T22:13:12.4271084+02:00	2026-09-24T22:13:12.4330669+02:00	18	36	2	54	False	1	0	1	155058	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
38	2026-09-24T22:13:12.4420804+02:00	2026-09-24T22:13:12.4500710+02:00	18	37	2	85	False	1	0	1	167760	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
39	2026-09-24T22:13:12.4580825+02:00	2026-09-24T22:13:12.4665683+02:00	18	38	2	83	False	1	0	1	173947	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
40	2026-09-24T22:13:12.4755818+02:00	2026-09-24T22:13:12.4831029+02:00	18	39	2	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
41	2026-09-24T22:13:12.4921137+02:00	2026-09-24T22:13:12.4991248+02:00	18	40	2	0	False	0	0	0	0	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
42	2026-09-24T22:13:12.5077817+02:00	2026-09-24T22:13:12.5152876+02:00	18	41	2	25	False	1	0	2	653	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
43	2026-09-24T22:13:12.5245565+02:00	2026-09-24T22:13:12.5320747+02:00	18	42	2	25	False	1	0	1	650	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
44	2026-09-24T22:13:12.5404971+02:00	2026-09-24T22:13:12.5485090+02:00	18	43	2	25	False	1	0	3	645	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
45	2026-09-24T22:13:12.5565293+02:00	2026-09-24T22:13:12.5645390+02:00	18	44	2	25	False	1	0	10	327	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
46	2026-09-24T22:13:12.5736644+02:00	2026-09-24T22:13:12.5831816+02:00	18	45	2	95	False	1	0	1	154263	0	1	1	0x7FFAAE2DEDB0	True	36	0	0	36	
47	2026-09-24T22:13:12.5906878+02:00	2026-09-24T22:13:12.6001232+02:00	18	46	2	25	False	1	0	13	233	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
48	2026-09-24T22:13:12.6097088+02:00	2026-09-24T22:13:12.6182155+02:00	18	47	2	25	False	1	0	3	224	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
49	2026-09-24T22:13:12.6277971+02:00	2026-09-24T22:13:12.6363129+02:00	18	48	2	25	False	1	0	2	221	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
50	2026-09-24T22:13:12.6531465+02:00	2026-09-24T22:13:12.6611591+02:00	18	49	2	25	False	1	0	2	219	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
51	2026-09-24T22:13:12.6692599+02:00	2026-09-24T22:13:12.6767709+02:00	18	50	2	25	False	1	0	1	193	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
52	2026-09-24T22:13:12.6852121+02:00	2026-09-24T22:13:12.6932163+02:00	18	51	2	25	False	1	0	2	138	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
53	2026-09-24T22:13:12.7017318+02:00	2026-09-24T22:13:12.7102481+02:00	18	52	2	87	False	1	0	1	176265	0	1	1	0x7FFAAE2DEDB0	True	96	44	4	144	
54	2026-09-24T22:13:12.7187710+02:00	2026-09-24T22:13:12.7267830+02:00	18	53	2	25	False	1	0	28	142	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
55	2026-09-24T22:13:12.7353074+02:00	2026-09-24T22:13:12.7433276+02:00	18	54	2	54	False	1	0	1	155861	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
56	2026-09-24T22:13:12.7518461+02:00	2026-09-24T22:13:12.7588529+02:00	18	55	2	25	False	1	0	1	658	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
57	2026-09-24T22:13:12.7677010+02:00	2026-09-24T22:13:12.7757136+02:00	18	56	2	25	False	1	0	1	657	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
58	2026-09-24T22:13:12.7847399+02:00	2026-09-24T22:13:12.7917450+02:00	18	57	2	25	False	1	0	2	651	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
59	2026-09-24T22:13:12.8007612+02:00	2026-09-24T22:13:12.8082661+02:00	18	58	2	25	False	1	0	2	648	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
60	2026-09-24T22:13:12.8162765+02:00	2026-09-24T22:13:12.8247928+02:00	18	59	2	25	False	1	0	3	337	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
61	2026-09-24T22:13:12.8328068+02:00	2026-09-24T22:13:12.8418196+02:00	18	60	2	25	False	1	0	14	285	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
62	2026-09-24T22:13:12.8498352+02:00	2026-09-24T22:13:12.8578741+02:00	18	61	2	54	False	1	0	1	159032	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
63	2026-09-24T22:13:12.8664197+02:00	2026-09-24T22:13:12.8754353+02:00	18	62	2	25	False	1	0	13	500	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
64	2026-09-24T22:13:12.8832303+02:00	2026-09-24T22:13:12.8907372+02:00	18	63	2	25	False	1	0	3	659	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
65	2026-09-24T22:13:12.8997489+02:00	2026-09-24T22:13:12.9072548+02:00	18	64	2	54	False	1	0	1	159022	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
66	2026-09-24T22:13:12.9152635+02:00	2026-09-24T22:13:12.9237741+02:00	18	65	2	25	False	1	0	2	671	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
67	2026-09-24T22:13:12.9317821+02:00	2026-09-24T22:13:12.9397990+02:00	18	66	2	25	False	1	0	2	783	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
68	2026-09-24T22:13:12.9473057+02:00	2026-09-24T22:13:12.9558240+02:00	18	67	2	25	False	1	0	1	795	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
69	2026-09-24T22:13:12.9643288+02:00	2026-09-24T22:13:12.9720574+02:00	18	68	2	25	False	1	0	2	797	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
70	2026-09-24T22:13:12.9805636+02:00	2026-09-24T22:13:12.9885786+02:00	18	69	2	25	False	1	0	13	513	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
71	2026-09-24T22:13:12.9965939+02:00	2026-09-24T22:13:13.0047661+02:00	18	70	2	25	False	1	0	3	668	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
72	2026-09-24T22:13:13.0132721+02:00	2026-09-24T22:13:13.0209069+02:00	18	71	2	25	False	1	0	2	677	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
73	2026-09-24T22:13:13.0299348+02:00	2026-09-24T22:13:13.0364615+02:00	18	72	2	25	False	1	0	2	793	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
74	2026-09-24T22:13:13.0459789+02:00	2026-09-24T22:13:13.0536674+02:00	18	73	2	25	False	1	0	1	796	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
75	2026-09-24T22:13:13.0615392+02:00	2026-09-24T22:13:13.0695509+02:00	18	74	2	25	False	1	0	2	799	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
76	2026-09-24T22:13:13.0780672+02:00	2026-09-24T22:13:13.0864009+02:00	18	75	2	25	False	1	0	22	821	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
77	2026-09-24T22:13:13.0944134+02:00	2026-09-24T22:13:13.1029250+02:00	18	76	2	146	False	1	0	1	182256	0	1	1	0x7FFAAE2DEDB0	True	49	0	0	49	
78	2026-09-24T22:13:13.1109376+02:00	2026-09-24T22:13:13.1184549+02:00	18	77	2	105	True	1	0	1	187416	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
79	2026-09-24T22:13:13.1289641+02:00	2026-09-24T22:13:13.1364899+02:00	18	78	2	25	False	1	0	10	811	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
80	2026-09-24T22:13:13.1455072+02:00	2026-09-24T22:13:13.1535391+02:00	18	79	2	84	False	1	0	1	164616	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
81	2026-09-24T22:13:13.1615539+02:00	2026-09-24T22:13:13.1695655+02:00	18	80	2	25	False	1	0	10	801	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
82	2026-09-24T22:13:13.1790851+02:00	2026-09-24T22:13:13.1869915+02:00	18	81	2	144	False	1	0	1	133797	0	1	1	0x7FFAAE2DEDB0	True	25	0	0	25	
83	2026-09-24T22:13:13.1950052+02:00	2026-09-24T22:13:13.2031325+02:00	18	82	2	330	False	1	0	1	159027	0	1	1	0x7FFAAE2DEDB0	True	9	0	0	9	
84	2026-09-24T22:13:13.2116399+02:00	2026-09-24T22:13:13.2196518+02:00	18	83	2	106	False	1	0	51	843	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
85	2026-09-24T22:13:13.2281574+02:00	2026-09-24T22:13:13.2366876+02:00	18	84	2	106	False	1	0	51	894	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
86	2026-09-24T22:13:13.2446972+02:00	2026-09-24T22:13:13.2517123+02:00	18	85	2	106	False	1	0	52	731	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
87	2026-09-24T22:13:13.2602425+02:00	2026-09-24T22:13:13.2682604+02:00	18	86	2	106	False	1	0	52	679	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
88	2026-09-24T22:13:13.2765097+02:00	2026-09-24T22:13:13.2831046+02:00	18	87	2	106	False	1	0	82	526	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
89	2026-09-24T22:13:13.2926097+02:00	2026-09-24T22:13:13.2996232+02:00	18	88	2	106	False	1	0	82	418	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
90	2026-09-24T22:13:13.3081279+02:00	2026-09-24T22:13:13.3161939+02:00	18	89	2	76	False	1	0	1	153507	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
91	2026-09-24T22:13:13.3252017+02:00	2026-09-24T22:13:13.3322247+02:00	18	90	2	85	False	1	0	1	170872	0	1	1	0x7FFAAE2DEDB0	True	16	0	0	16	
92	2026-09-24T22:13:13.3412400+02:00	2026-09-24T22:13:13.3492511+02:00	18	91	2	106	False	1	0	78	340	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
93	2026-09-24T22:13:13.3577659+02:00	2026-09-24T22:13:13.3652780+02:00	18	92	2	106	False	1	0	37	608	0	1	0	0x7FFAAE2DEDB0	True	0	0	0	0	
94	2026-09-24T22:13:13.3727942+02:00	2026-09-24T22:13:13.3808074+02:00	18	93	2	25	False	1	0	4	789	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
95	2026-09-24T22:13:13.3898186+02:00	2026-09-24T22:13:13.3969894+02:00	18	94	2	25	False	1	0	2	675	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
96	2026-09-24T22:13:13.4055020+02:00	2026-09-24T22:13:13.4135056+02:00	18	95	2	25	False	1	0	3	665	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
97	2026-09-24T22:13:13.4215293+02:00	2026-09-24T22:13:13.4300361+02:00	18	96	2	25	False	1	0	14	313	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
98	2026-09-24T22:13:13.4383910+02:00	2026-09-24T22:13:13.4458983+02:00	18	97	2	25	False	1	0	14	299	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
99	2026-09-24T22:13:13.4544246+02:00	2026-09-24T22:13:13.4614349+02:00	18	98	2	25	False	1	0	3	662	0	1	1	0x7FFAAE2DEDB0	True	0	0	0	0	
