# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=3
# keepX=238
# keepY=372
# nativeOrientation=0
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
19	before	0	0	0	0	0	0	0	0	0
19	after	1	41	3	189	189	138967	7	238	372
20	before	0	0	0	0	0	0	0	0	0
20	after	1	71	3	190	189	144240	1	240	379
21	before	0	0	0	0	0	0	0	0	0
21	after	1	73	3	191	189	144241	1	241	379
22	before	0	0	0	0	0	0	0	0	0
22	after	1	72	3	192	189	144242	1	242	379
23	before	0	0	0	0	0	0	0	0	0
23	after	1	55	3	193	189	144999	7	238	380
24	before	0	0	0	0	0	0	0	0	0
24	after	1	10	3	194	194	140470	2	245	374
25	before	0	0	0	0	0	0	0	0	0
25	after	1	10	3	195	194	140473	2	248	374
26	before	0	0	0	0	0	0	0	0	0
26	after	1	10	3	196	194	142729	2	245	377
27	before	0	0	0	0	0	0	0	0	0
27	after	1	10	3	197	194	142732	2	248	377
