# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=3
# keepX=238
# keepY=372
# nativeOrientation=0
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\sentinel2.aivjson
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.526
# afterScanMilliseconds=10.058
# changedLayerCells=632
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-221231-477-session003-p3-n03.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
238	366	134527	logic2	0	2
239	366	134528	logic2	0	2
240	366	134529	logic2	0	2
241	366	134530	logic2	0	2
242	366	134531	logic2	0	2
243	366	134532	logic2	0	2
244	366	134533	logic2	0	2
237	367	135261	logic2	0	2
238	367	135262	logic2	0	2
239	367	135263	logic2	0	2
240	367	135264	logic2	0	2
241	367	135265	logic2	0	2
242	367	135266	logic2	0	2
243	367	135267	logic2	0	2
244	367	135268	logic2	0	2
245	367	135269	logic2	0	2
236	368	135997	logic2	0	2
237	368	135998	logic2	0	2
238	368	135999	logic2	0	2
239	368	136000	logic2	0	2
240	368	136001	logic2	0	2
241	368	136002	logic2	0	2
242	368	136003	logic2	0	2
243	368	136004	logic2	0	2
244	368	136005	logic2	0	2
245	368	136006	logic2	0	2
246	368	136007	logic2	0	2
235	369	136735	logic2	0	2
236	369	136736	logic2	0	2
237	369	136737	logic2	0	2
238	369	136738	logic2	0	2
239	369	136739	logic2	0	2
240	369	136740	logic2	0	2
241	369	136741	logic2	0	2
242	369	136742	logic2	0	2
243	369	136743	logic2	0	2
244	369	136744	logic2	0	2
245	369	136745	logic2	0	2
246	369	136746	logic2	0	2
247	369	136747	logic2	0	2
234	370	137475	logic2	0	2
235	370	137476	logic2	0	2
236	370	137477	logic2	0	2
237	370	137478	logic2	0	2
238	370	137479	logic2	0	2
239	370	137480	logic2	0	2
240	370	137481	logic2	0	2
241	370	137482	logic2	0	2
242	370	137483	logic2	0	2
243	370	137484	logic2	0	2
244	370	137485	logic2	0	2
245	370	137486	logic2	0	2
246	370	137487	logic2	0	2
247	370	137488	logic2	0	2
248	370	137489	logic2	0	2
233	371	138217	logic2	0	2
234	371	138218	logic2	0	2
235	371	138219	logic2	0	2
236	371	138220	logic2	0	2
237	371	138221	logic2	0	2
238	371	138222	logic2	0	2
239	371	138223	logic2	0	2
240	371	138224	logic2	0	2
241	371	138225	logic2	0	2
242	371	138226	logic2	0	2
243	371	138227	logic2	0	2
244	371	138228	logic2	0	2
245	371	138229	logic2	0	2
246	371	138230	logic2	0	2
247	371	138231	logic2	0	2
248	371	138232	logic2	0	2
249	371	138233	logic2	0	2
232	372	138961	logic2	0	2
233	372	138962	logic2	0	2
234	372	138963	logic2	0	2
235	372	138964	logic2	0	2
236	372	138965	logic2	0	2
237	372	138966	logic2	0	2
238	372	138967	logic	32768	268468224
238	372	138967	buildingId	0	19
239	372	138968	logic	32768	268468224
239	372	138968	logic2	0	2
239	372	138968	buildingId	0	19
240	372	138969	logic	32768	268468224
240	372	138969	logic2	0	2
240	372	138969	buildingId	0	19
241	372	138970	logic	32768	268468224
241	372	138970	logic2	0	2
241	372	138970	buildingId	0	19
242	372	138971	logic	32768	268468224
242	372	138971	logic2	0	2
242	372	138971	buildingId	0	19
243	372	138972	logic	32768	268468224
243	372	138972	logic2	0	2
243	372	138972	buildingId	0	19
244	372	138973	logic	32768	268468224
244	372	138973	logic2	0	2
244	372	138973	buildingId	0	19
245	372	138974	logic2	0	2
246	372	138975	logic2	0	2
247	372	138976	logic2	0	2
248	372	138977	logic2	0	2
249	372	138978	logic2	0	2
250	372	138979	logic2	0	2
232	373	139708	logic2	0	2
233	373	139709	logic2	0	2
234	373	139710	logic2	0	2
235	373	139711	logic2	0	2
236	373	139712	logic2	0	2
237	373	139713	logic2	0	2
238	373	139714	logic	32768	268468224
238	373	139714	logic2	0	2
238	373	139714	buildingId	0	19
239	373	139715	logic	32768	268468224
239	373	139715	logic2	0	2
239	373	139715	buildingId	0	19
240	373	139716	logic	32768	268468224
240	373	139716	logic2	0	2
240	373	139716	buildingId	0	19
241	373	139717	logic	32768	268468224
241	373	139717	logic2	0	2
241	373	139717	buildingId	0	19
242	373	139718	logic	32768	268468224
242	373	139718	logic2	0	2
242	373	139718	buildingId	0	19
243	373	139719	logic	32768	268468224
243	373	139719	logic2	0	2
243	373	139719	buildingId	0	19
244	373	139720	logic	32768	268468224
244	373	139720	logic2	0	2
244	373	139720	buildingId	0	19
245	373	139721	logic2	0	2
246	373	139722	logic2	0	2
247	373	139723	logic2	0	2
248	373	139724	logic2	0	2
249	373	139725	logic2	0	2
250	373	139726	logic2	0	2
232	374	140457	logic2	0	2
233	374	140458	logic2	0	2
234	374	140459	logic2	0	2
235	374	140460	logic2	0	2
236	374	140461	logic2	0	2
237	374	140462	logic2	0	2
