# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=5
# keepX=265
# keepY=417
# nativeOrientation=6
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
37	before	0	0	0	0	0	0	0	0	0
37	after	1	41	5	209	209	173976	7	265	417
38	before	0	0	0	0	0	0	0	0	0
38	after	1	71	5	210	209	175503	1	264	419
39	before	0	0	0	0	0	0	0	0	0
39	after	1	73	5	211	209	176264	1	264	420
40	before	0	0	0	0	0	0	0	0	0
40	after	1	72	5	212	209	177023	1	264	421
41	before	0	0	0	0	0	0	0	0	0
41	after	1	55	5	213	209	173968	7	257	417
42	before	0	0	0	0	0	0	0	0	0
42	after	1	10	5	214	214	179289	2	265	424
43	before	0	0	0	0	0	0	0	0	0
43	after	1	10	5	215	214	179292	2	268	424
44	before	0	0	0	0	0	0	0	0	0
44	after	1	10	5	216	214	181536	2	265	427
45	before	0	0	0	0	0	0	0	0	0
45	after	1	10	5	217	214	181539	2	268	427
