# mapFile=C:\Users\Serpens66\AppData\LocalLow\Firefly Studios\Stronghold Crusader Definitive Edition\Maps\test AI overbuild eachother.map
# mapFileSha256=d63cd2ff3aeaba80bc3bc173bb615207666f1eaf759ecac573fad0da61979df3
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=4
# keepX=254
# keepY=379
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=0
# selectionAccepted=False
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=4
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=4
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.488
# afterScanMilliseconds=10.008
# changedLayerCells=323
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-221253-451-session004-p4-n04.records.tsv
# newBuildingCells=105
# replacedBuildingCells=12
# clearedBuildingCells=20
# sampledRegionComplete=True
x	y	tileId	layer	before	after
254	379	144254	logic	32768	268468224
254	379	144254	buildingId	0	38
255	379	144255	logic	32768	268468224
255	379	144255	buildingId	0	38
256	379	144256	logic	32768	268468224
256	379	144256	buildingId	0	38
257	379	144257	logic	32768	268468224
257	379	144257	buildingId	0	38
258	379	144258	logic	32768	268468224
258	379	144258	buildingId	0	38
259	379	144259	logic	32768	268468224
259	379	144259	buildingId	0	38
260	379	144260	logic	32768	268468224
260	379	144260	buildingId	0	38
262	379	144262	logic	33792	32768
262	379	144262	buildingId	61	0
263	379	144263	logic	33792	32768
263	379	144263	buildingId	61	0
264	379	144264	logic	33792	32768
264	379	144264	buildingId	61	0
265	379	144265	logic	33792	32768
265	379	144265	buildingId	61	0
254	380	145015	logic	32768	268468224
254	380	145015	buildingId	0	38
255	380	145016	logic	32776	268468224
255	380	145016	buildingId	0	38
255	380	145016	height	4	8
256	380	145017	logic	32768	268468224
256	380	145017	buildingId	0	38
257	380	145018	logic	32768	268468224
257	380	145018	buildingId	0	38
258	380	145019	logic	32768	268468224
258	380	145019	buildingId	0	38
259	380	145020	logic	32768	268468224
259	380	145020	buildingId	0	38
260	380	145021	logic	32776	268468224
260	380	145021	buildingId	0	38
260	380	145021	height	4	8
262	380	145023	logic	33792	32768
262	380	145023	buildingId	61	0
263	380	145024	logic	33792	32768
