# capturedAtLocal=2026-09-24T14:23:33.8854011+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# orientation=6
# originX=375
# originY=476
# keepX=418
# keepY=519
# evaluatedCells=2616
# nativeBlockedCells=639
# resultGridBlockedCells=626
# validatorCalls=2603
# validatorBlockedCells=626
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
7	36	411	483	169	169	66	0	False
7	37	412	483	169	169	66	0	False
7	38	413	483	169	169	66	0	False
7	39	414	483	169	169	66	0	False
8	36	411	484	169	169	66	0	False
8	37	412	484	169	169	66	0	False
8	38	413	484	169	169	66	0	False
8	39	414	484	169	169	66	0	False
8	43	418	484	110	110	143	0	False
8	44	419	484	110	110	143	0	False
8	45	420	484	110	110	143	0	False
9	36	411	485	169	169	66	0	False
9	37	412	485	169	169	66	0	False
9	38	413	485	169	169	66	0	False
9	39	414	485	169	169	66	0	False
9	43	418	485	110	110	143	0	False
9	44	419	485	110	110	143	0	False
9	45	420	485	110	110	143	0	False
10	36	411	486	169	169	66	0	False
10	37	412	486	169	169	66	0	False
10	38	413	486	169	169	66	0	False
10	39	414	486	169	169	66	0	False
10	43	418	486	110	110	143	0	False
10	44	419	486	110	110	143	0	False
10	45	420	486	110	110	143	0	False
11	43	418	487	26	26	162	0	False
11	44	419	487	25	25	142	0	False
11	45	420	487	26	26	163	0	False
11	48	423	487	324	324	198	0	False
11	49	424	487	324	324	198	0	False
11	50	425	487	324	324	198	0	False
11	51	426	487	324	324	198	0	False
11	52	427	487	324	324	198	0	False
12	36	411	488	324	324	64	0	False
12	37	412	488	324	324	64	0	False
12	38	413	488	324	324	64	0	False
12	39	414	488	324	324	64	0	False
12	40	415	488	324	324	64	0	False
12	43	418	488	26	26	162	0	False
12	44	419	488	25	25	142	0	False
12	45	420	488	26	26	163	0	False
12	48	423	488	324	324	198	0	False
12	49	424	488	324	324	198	0	False
12	50	425	488	324	324	198	0	False
12	51	426	488	324	324	198	0	False
12	52	427	488	324	324	198	0	False
13	30	405	489	169	169	65	0	False
13	31	406	489	169	169	65	0	False
13	32	407	489	169	169	65	0	False
13	33	408	489	169	169	65	0	False
13	36	411	489	324	324	64	0	False
13	37	412	489	324	324	64	0	False
13	38	413	489	324	324	64	0	False
13	39	414	489	324	324	64	0	False
13	40	415	489	324	324	64	0	False
13	43	418	489	26	26	162	0	False
13	44	419	489	25	25	142	0	False
13	45	420	489	26	26	163	0	False
13	48	423	489	324	324	198	0	False
13	49	424	489	324	324	198	0	False
13	50	425	489	324	324	198	0	False
13	51	426	489	324	324	198	0	False
13	52	427	489	324	324	198	0	False
14	30	405	490	169	169	65	0	False
14	31	406	490	169	169	65	0	False
14	32	407	490	169	169	65	0	False
14	33	408	490	169	169	65	0	False
14	36	411	490	324	324	64	0	False
14	37	412	490	324	324	64	0	False
14	38	413	490	324	324	64	0	False
14	39	414	490	324	324	64	0	False
14	40	415	490	324	324	64	0	False
14	43	418	490	26	26	162	0	False
14	44	419	490	25	25	142	0	False
14	45	420	490	26	26	163	0	False
14	48	423	490	324	324	198	0	False
14	49	424	490	324	324	198	0	False
14	50	425	490	324	324	198	0	False
14	51	426	490	324	324	198	0	False
14	52	427	490	324	324	198	0	False
15	30	405	491	169	169	65	0	False
15	31	406	491	169	169	65	0	False
15	32	407	491	169	169	65	0	False
15	33	408	491	169	169	65	0	False
15	36	411	491	324	324	64	0	False
15	37	412	491	324	324	64	0	False
15	38	413	491	324	324	64	0	False
15	39	414	491	324	324	64	0	False
15	40	415	491	324	324	64	0	False
15	43	418	491	26	26	162	0	False
15	44	419	491	25	25	142	0	False
15	45	420	491	26	26	163	0	False
15	48	423	491	324	324	198	0	False
15	49	424	491	324	324	198	0	False
15	50	425	491	324	324	198	0	False
15	51	426	491	324	324	198	0	False
15	52	427	491	324	324	198	0	False
15	55	430	491	169	169	204	0	False
15	56	431	491	169	169	204	0	False
15	57	432	491	169	169	204	0	False
15	58	433	491	169	169	204	0	False
16	12	387	492	110	110	131	0	False
16	13	388	492	110	110	131	0	False
16	14	389	492	110	110	131	0	False
16	30	405	492	169	169	65	0	False
16	31	406	492	169	169	65	0	False
16	32	407	492	169	169	65	0	False
16	33	408	492	169	169	65	0	False
16	36	411	492	324	324	64	0	False
16	37	412	492	324	324	64	0	False
