# capturedAtLocal=2026-09-24T14:23:36.0277377+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# candidateId=0
# aivName=Default 5
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# orientation=0
# originX=463
# originY=309
# keepX=506
# keepY=352
# evaluatedCells=2077
# nativeBlockedCells=483
# resultGridBlockedCells=257
# validatorCalls=1851
# validatorBlockedCells=257
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
12	20	483	321	26	26	118	1	True
12	21	484	321	26	26	118	0	False
12	22	485	321	26	26	118	0	False
12	23	486	321	26	26	118	0	False
12	24	487	321	26	26	118	0	False
12	25	488	321	26	26	118	0	False
12	26	489	321	26	26	118	0	False
12	27	490	321	26	26	117	0	False
13	20	483	322	26	26	119	0	False
13	21	484	322	113	113	39	0	False
13	22	485	322	113	113	39	0	False
13	23	486	322	113	113	39	0	False
13	24	487	322	113	113	39	0	False
13	25	488	322	113	113	39	0	False
13	26	489	322	113	113	39	0	False
13	27	490	322	26	26	117	0	False
14	20	483	323	26	26	119	0	False
14	21	484	323	113	113	39	0	False
14	22	485	323	113	113	39	0	False
14	23	486	323	113	113	39	0	False
14	24	487	323	113	113	39	0	False
14	25	488	323	113	113	39	0	False
14	26	489	323	113	113	39	0	False
14	27	490	323	26	26	104	0	False
14	28	491	323	26	26	104	0	False
14	29	492	323	26	26	104	0	False
14	30	493	323	26	26	104	0	False
14	31	494	323	26	26	104	0	False
14	32	495	323	26	26	104	0	False
14	33	496	323	26	26	104	0	False
14	34	497	323	26	26	104	0	False
14	35	498	323	26	26	104	0	False
14	36	499	323	26	26	104	0	False
14	37	500	323	26	26	104	0	False
14	38	501	323	26	26	105	0	False
15	20	483	324	26	26	119	0	False
15	21	484	324	113	113	39	0	False
15	22	485	324	113	113	39	0	False
15	23	486	324	113	113	39	0	False
15	24	487	324	113	113	39	0	False
15	25	488	324	113	113	39	0	False
15	26	489	324	113	113	39	0	False
15	27	490	324	25	25	71	0	False
15	28	491	324	25	25	71	0	False
15	29	492	324	25	25	71	0	False
15	30	493	324	25	25	71	0	False
15	31	494	324	25	25	71	0	False
15	32	495	324	25	25	71	0	False
15	33	496	324	25	25	71	0	False
15	34	497	324	25	25	71	0	False
15	35	498	324	25	25	71	0	False
15	36	499	324	25	25	71	0	False
15	37	500	324	25	25	70	0	False
15	38	501	324	26	26	105	0	False
16	20	483	325	26	26	119	0	False
16	21	484	325	113	113	39	0	False
16	22	485	325	113	113	39	0	False
16	23	486	325	113	113	39	0	False
16	24	487	325	113	113	39	0	False
16	25	488	325	113	113	39	0	False
16	26	489	325	113	113	39	0	False
16	27	490	325	25	25	38	0	False
16	28	491	325	25	25	38	0	False
16	29	492	325	25	25	38	0	False
16	30	493	325	25	25	38	0	False
16	31	494	325	25	25	38	0	False
16	32	495	325	25	25	38	0	False
16	33	496	325	25	25	38	0	False
16	34	497	325	25	25	38	0	False
16	35	498	325	25	25	38	0	False
16	36	499	325	25	25	38	0	False
16	37	500	325	25	25	70	0	False
16	38	501	325	26	26	105	0	False
17	20	483	326	26	26	119	0	False
17	21	484	326	113	113	39	0	False
17	22	485	326	113	113	39	0	False
17	23	486	326	113	113	39	0	False
17	24	487	326	113	113	39	0	False
17	25	488	326	113	113	39	0	False
17	26	489	326	113	113	39	0	False
17	28	491	326	82	82	14	0	False
17	29	492	326	82	82	14	0	False
17	30	493	326	82	82	14	0	False
17	31	494	326	82	82	14	0	False
17	32	495	326	82	82	86	0	False
17	33	496	326	82	82	86	0	False
