# capturedAtLocal=2026-09-24T14:23:21.3665369+02:00
# mapLoadSequence=1
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar6.aivjson
# aivJsonSha256=1d86b141261297706ad65f60d870a3ae30a8c0da05b6b3b1d4d923c702cb11ad
# keepX=330
# keepY=333
# captureSequence=1
# playerId=2
# frameCount=292
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=3
# layerChanges=3842
# buildingRecordChanges=222
# beforeCaptureMilliseconds=2280,6
# afterCaptureMilliseconds=2856,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T14:23:21.3665369+02:00	2026-09-24T14:23:21.3765835+02:00	1	0	1	0	False	0	0	0	0	0	1	0	0x7FFAB29AEDB0	True	0	0	0	0	
2	2026-09-24T14:23:21.3870990+02:00	2026-09-24T14:23:21.3930991+02:00	1	1	1	0	False	0	0	0	0	0	1	0	0x7FFAB29AEDB0	True	0	0	0	0	
3	2026-09-24T14:23:21.4021176+02:00	2026-09-24T14:23:21.4160361+02:00	1	2	1	52	True	1	0	1	116213	0	1	0	0x7FFAB29AEDB0	True	0	0	0	0	
4	2026-09-24T14:23:21.4255465+02:00	2026-09-24T14:23:21.4325466+02:00	1	3	1	52	True	1	0	1	119653	0	1	0	0x7FFAB29AEDB0	True	0	0	0	0	
5	2026-09-24T14:23:21.4425642+02:00	2026-09-24T14:23:21.4530842+02:00	1	4	1	80	False	1	0	1	120341	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
6	2026-09-24T14:23:21.4631118+02:00	2026-09-24T14:23:21.4731329+02:00	1	5	1	54	False	1	0	1	108181	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
7	2026-09-24T14:23:21.4826561+02:00	2026-09-24T14:23:21.4896737+02:00	1	6	1	54	False	1	0	1	108177	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
8	2026-09-24T14:23:21.4986950+02:00	2026-09-24T14:23:21.5056314+02:00	1	7	1	54	False	1	0	1	105565	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
9	2026-09-24T14:23:21.5161754+02:00	2026-09-24T14:23:21.5231749+02:00	1	8	1	54	False	1	0	1	105561	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
10	2026-09-24T14:23:21.5321956+02:00	2026-09-24T14:23:21.5407165+02:00	1	9	1	54	False	1	0	1	108173	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
11	2026-09-24T14:23:21.5502224+02:00	2026-09-24T14:23:21.5577840+02:00	1	10	1	54	False	1	0	1	116907	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
12	2026-09-24T14:23:21.5671545+02:00	2026-09-24T14:23:21.5746571+02:00	1	11	1	54	False	1	0	1	119659	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
13	2026-09-24T14:23:21.5850411+02:00	2026-09-24T14:23:21.5920428+02:00	1	12	1	54	False	1	0	1	101050	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
14	2026-09-24T14:23:21.6020571+02:00	2026-09-24T14:23:21.6100211+02:00	1	13	1	54	False	1	0	1	101046	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
15	2026-09-24T14:23:21.6195277+02:00	2026-09-24T14:23:21.6275420+02:00	1	14	1	54	False	1	0	1	128803	0	1	1	0x7FFAB29AEDB0	True	16	0	0	16	
