# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=6
# keepX=488
# keepY=397
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.604
# afterScanMilliseconds=9.729
# changedLayerCells=376
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
480	391	153744	logic2	0	2
488	391	153752	logic2	0	2
489	391	153753	logic2	0	2
490	391	153754	logic2	0	2
491	391	153755	logic2	0	2
492	391	153756	logic2	0	2
493	391	153757	logic2	0	2
494	391	153758	logic2	0	2
479	392	154528	logic2	0	2
489	392	154538	logic2	0	2
490	392	154539	logic2	0	2
491	392	154540	logic2	0	2
492	392	154541	logic2	0	2
493	392	154542	logic2	0	2
494	392	154543	logic2	0	2
478	393	155314	logic2	0	2
490	393	155326	logic2	0	2
491	393	155327	logic2	0	2
492	393	155328	logic2	0	2
493	393	155329	logic2	0	2
494	393	155330	logic2	0	2
495	393	155331	logic2	0	2
477	394	156102	logic2	0	2
491	394	156116	logic2	0	2
492	394	156117	logic2	0	2
493	394	156118	logic2	0	2
494	394	156119	logic2	0	2
495	394	156120	logic2	0	2
496	394	156121	logic2	0	2
476	395	156892	logic2	0	2
492	395	156908	logic2	0	2
493	395	156909	logic2	0	2
494	395	156910	logic2	0	2
495	395	156911	logic2	0	2
496	395	156912	logic2	0	2
497	395	156913	logic2	0	2
498	395	156914	logic2	0	2
475	396	157684	logic2	0	2
493	396	157702	logic2	0	2
494	396	157703	logic2	0	2
495	396	157704	logic2	0	2
496	396	157705	logic2	0	2
497	396	157706	logic2	0	2
498	396	157707	logic2	0	2
499	396	157708	logic2	0	2
474	397	158478	logic2	0	2
475	397	158479	logic2	0	2
480	397	158484	buildingId	0	610
481	397	158485	buildingId	0	610
482	397	158486	buildingId	0	610
483	397	158487	buildingId	0	610
484	397	158488	buildingId	0	610
485	397	158489	buildingId	0	610
486	397	158490	buildingId	0	610
488	397	158492	logic	32768	268468224
488	397	158492	buildingId	0	606
489	397	158493	logic	32768	268468224
489	397	158493	buildingId	0	606
490	397	158494	logic	32768	268468224
490	397	158494	buildingId	0	606
491	397	158495	logic	32768	268468224
491	397	158495	buildingId	0	606
492	397	158496	logic	32768	268468224
492	397	158496	buildingId	0	606
493	397	158497	logic	32768	268468224
493	397	158497	buildingId	0	606
494	397	158498	logic	32768	268468224
494	397	158498	logic2	0	2
494	397	158498	buildingId	0	606
495	397	158499	logic2	0	2
496	397	158500	logic2	0	2
497	397	158501	logic2	0	2
498	397	158502	logic2	0	2
499	397	158503	logic2	0	2
500	397	158504	logic2	0	2
474	398	159275	logic2	0	2
475	398	159276	logic2	0	2
480	398	159281	buildingId	0	610
481	398	159282	buildingId	0	610
482	398	159283	buildingId	0	610
483	398	159284	buildingId	0	610
484	398	159285	buildingId	0	610
485	398	159286	buildingId	0	610
486	398	159287	buildingId	0	610
488	398	159289	logic	32768	268468224
488	398	159289	buildingId	0	606
489	398	159290	logic	32768	268468224
489	398	159290	buildingId	0	606
490	398	159291	logic	32768	268468224
490	398	159291	buildingId	0	606
491	398	159292	logic	32768	268468224
491	398	159292	buildingId	0	606
492	398	159293	logic	32768	268468224
492	398	159293	buildingId	0	606
493	398	159294	logic	32768	268468224
493	398	159294	buildingId	0	606
494	398	159295	logic	32768	268468224
494	398	159295	logic2	0	2
494	398	159295	buildingId	0	606
495	398	159296	logic2	0	2
496	398	159297	logic2	0	2
497	398	159298	logic2	0	2
498	398	159299	logic2	0	2
499	398	159300	logic2	0	2
500	398	159301	logic2	0	2
474	399	160074	logic2	0	2
475	399	160075	logic2	0	2
480	399	160080	buildingId	0	610
481	399	160081	buildingId	0	610
482	399	160082	buildingId	0	610
483	399	160083	logic	32768	33792
483	399	160083	buildingId	0	610
484	399	160084	buildingId	0	610
485	399	160085	buildingId	0	610
486	399	160086	buildingId	0	610
487	399	160087	logic	32768	33792
487	399	160087	buildingId	0	607
488	399	160088	logic	0	268435456
488	399	160088	buildingId	0	606
489	399	160089	logic	0	268435456
489	399	160089	buildingId	0	606
490	399	160090	logic	0	268435456
490	399	160090	buildingId	0	606
491	399	160091	logic	0	268435456
491	399	160091	buildingId	0	606
492	399	160092	logic	0	268435456
492	399	160092	buildingId	0	606
493	399	160093	logic	32768	268468224
493	399	160093	buildingId	0	606
494	399	160094	logic	32768	268468224
494	399	160094	logic2	0	2
494	399	160094	buildingId	0	606
495	399	160095	logic2	0	2
496	399	160096	logic2	0	2
497	399	160097	logic2	0	2
498	399	160098	logic2	0	2
499	399	160099	logic2	0	2
500	399	160100	logic2	0	2
474	400	160874	logic2	0	2
480	400	160880	buildingId	0	610
481	400	160881	buildingId	0	610
482	400	160882	logic	32768	33792
482	400	160882	buildingId	0	610
483	400	160883	logic	32768	33792
483	400	160883	buildingId	0	610
484	400	160884	logic	32768	33792
484	400	160884	buildingId	0	610
485	400	160885	buildingId	0	610
486	400	160886	buildingId	0	610
487	400	160887	buildingId	0	608
488	400	160888	logic	0	268435456
488	400	160888	buildingId	0	606
489	400	160889	logic	32768	268468224
489	400	160889	buildingId	0	606
490	400	160890	logic	32768	268468224
490	400	160890	buildingId	0	606
491	400	160891	logic	32768	268468224
491	400	160891	buildingId	0	606
492	400	160892	logic	0	268435456
492	400	160892	buildingId	0	606
493	400	160893	logic	32768	268468224
493	400	160893	buildingId	0	606
494	400	160894	logic	32768	268468224
494	400	160894	logic2	0	2
494	400	160894	buildingId	0	606
495	400	160895	logic2	0	2
496	400	160896	logic2	0	2
497	400	160897	logic2	0	2
498	400	160898	logic2	0	2
499	400	160899	logic2	0	2
500	400	160900	logic2	0	2
474	401	161673	logic2	0	2
480	401	161679	buildingId	0	610
481	401	161680	buildingId	0	610
482	401	161681	buildingId	0	610
483	401	161682	logic	32768	33792
483	401	161682	buildingId	0	610
484	401	161683	buildingId	0	610
485	401	161684	buildingId	0	610
486	401	161685	buildingId	0	610
487	401	161686	logic	32768	33792
487	401	161686	buildingId	0	609
488	401	161687	logic	0	268435456
488	401	161687	buildingId	0	606
489	401	161688	logic	32768	268468224
489	401	161688	buildingId	0	606
490	401	161689	logic	32768	268468224
490	401	161689	buildingId	0	606
491	401	161690	logic	32768	268468224
491	401	161690	buildingId	0	606
492	401	161691	logic	0	268435456
492	401	161691	buildingId	0	606
493	401	161692	logic	32768	268468224
493	401	161692	buildingId	0	606
494	401	161693	logic	32768	268468224
494	401	161693	logic2	0	2
494	401	161693	buildingId	0	606
495	401	161694	logic2	0	2
496	401	161695	logic2	0	2
497	401	161696	logic2	0	2
498	401	161697	logic2	0	2
499	401	161698	logic2	0	2
500	401	161699	logic2	0	2
474	402	162470	logic2	0	2
480	402	162476	buildingId	0	610
481	402	162477	buildingId	0	610
482	402	162478	buildingId	0	610
483	402	162479	buildingId	0	610
484	402	162480	buildingId	0	610
485	402	162481	buildingId	0	610
486	402	162482	buildingId	0	610
488	402	162484	logic	0	268435456
488	402	162484	buildingId	0	606
489	402	162485	logic	32768	268468224
489	402	162485	buildingId	0	606
490	402	162486	logic	32768	268468224
490	402	162486	buildingId	0	606
491	402	162487	logic	32768	268468224
491	402	162487	buildingId	0	606
492	402	162488	logic	0	268435456
492	402	162488	buildingId	0	606
493	402	162489	logic	32768	268468224
493	402	162489	buildingId	0	606
494	402	162490	logic	32768	268468224
494	402	162490	logic2	0	2
494	402	162490	buildingId	0	606
495	402	162491	logic2	0	2
496	402	162492	logic2	0	2
497	402	162493	logic2	0	2
498	402	162494	logic2	0	2
499	402	162495	logic2	0	2
500	402	162496	logic2	0	2
474	403	163265	logic2	0	2
475	403	163266	logic2	0	2
480	403	163271	buildingId	0	610
481	403	163272	buildingId	0	610
482	403	163273	buildingId	0	610
483	403	163274	buildingId	0	610
484	403	163275	buildingId	0	610
485	403	163276	buildingId	0	610
486	403	163277	buildingId	0	610
488	403	163279	logic	0	268435456
488	403	163279	buildingId	0	606
489	403	163280	logic	0	268435456
489	403	163280	buildingId	0	606
490	403	163281	logic	0	268435456
490	403	163281	buildingId	0	606
491	403	163282	logic	0	268435456
491	403	163282	buildingId	0	606
492	403	163283	logic	0	268435456
492	403	163283	buildingId	0	606
493	403	163284	logic	32768	268468224
493	403	163284	buildingId	0	606
494	403	163285	logic	32768	268468224
494	403	163285	logic2	0	2
494	403	163285	buildingId	0	606
495	403	163286	logic2	0	2
496	403	163287	logic2	0	2
497	403	163288	logic2	0	2
498	403	163289	logic2	0	2
499	403	163290	logic2	0	2
500	403	163291	logic2	0	2
475	404	164059	logic2	0	2
488	404	164072	logic	32768	34050
488	404	164072	buildingId	0	611
488	404	164072	height	8	18
488	404	164072	wallOwner	0	5
489	404	164073	logic	32768	34050
489	404	164073	buildingId	0	611
489	404	164073	height	8	18
489	404	164073	wallOwner	0	5
490	404	164074	logic	32768	33026
490	404	164074	height	8	18
490	404	164074	wallOwner	0	5
491	404	164075	logic	32768	34050
491	404	164075	buildingId	0	612
491	404	164075	height	8	18
491	404	164075	wallOwner	0	5
492	404	164076	logic	32768	34050
492	404	164076	buildingId	0	612
492	404	164076	height	8	18
492	404	164076	wallOwner	0	5
493	404	164077	logic2	0	2
494	404	164078	logic2	0	2
495	404	164079	logic2	0	2
496	404	164080	logic2	0	2
497	404	164081	logic2	0	2
498	404	164082	logic2	0	2
499	404	164083	logic2	0	2
488	405	164863	logic	32768	34050
488	405	164863	buildingId	0	611
488	405	164863	height	8	18
488	405	164863	wallOwner	0	5
489	405	164864	logic	32768	34050
489	405	164864	buildingId	0	611
489	405	164864	height	8	18
489	405	164864	wallOwner	0	5
490	405	164865	logic	32768	33026
490	405	164865	height	8	18
490	405	164865	wallOwner	0	5
491	405	164866	logic	32768	34050
491	405	164866	buildingId	0	612
491	405	164866	height	8	18
491	405	164866	wallOwner	0	5
492	405	164867	logic	32768	34050
492	405	164867	buildingId	0	612
492	405	164867	height	8	18
492	405	164867	wallOwner	0	5
494	405	164869	logic2	0	2
495	405	164870	logic2	0	2
496	405	164871	logic2	0	2
497	405	164872	logic2	0	2
498	405	164873	logic2	0	2
488	406	165652	logic	32768	33026
488	406	165652	height	8	18
488	406	165652	wallOwner	0	5
489	406	165653	logic	32768	33026
489	406	165653	height	8	18
489	406	165653	wallOwner	0	5
490	406	165654	logic	32768	33026
490	406	165654	height	8	18
490	406	165654	wallOwner	0	5
491	406	165655	logic	32768	33026
491	406	165655	height	8	18
491	406	165655	wallOwner	0	5
492	406	165656	logic	32768	33026
492	406	165656	height	8	18
492	406	165656	wallOwner	0	5
494	406	165658	logic2	0	2
495	406	165659	logic2	0	2
496	406	165660	logic2	0	2
497	406	165661	logic2	0	2
488	407	166439	logic	32768	34050
488	407	166439	buildingId	0	613
488	407	166439	height	8	18
488	407	166439	wallOwner	0	5
489	407	166440	logic	32768	34050
489	407	166440	buildingId	0	613
489	407	166440	height	8	18
489	407	166440	wallOwner	0	5
490	407	166441	logic	32768	33026
490	407	166441	height	8	18
490	407	166441	wallOwner	0	5
491	407	166442	logic	32768	34050
491	407	166442	buildingId	0	614
491	407	166442	height	8	18
491	407	166442	wallOwner	0	5
492	407	166443	logic	32768	34050
492	407	166443	buildingId	0	614
492	407	166443	height	8	18
492	407	166443	wallOwner	0	5
494	407	166445	logic2	0	2
495	407	166446	logic2	0	2
496	407	166447	logic2	0	2
488	408	167224	logic	32768	34050
488	408	167224	buildingId	0	613
488	408	167224	height	8	18
488	408	167224	wallOwner	0	5
489	408	167225	logic	32768	34050
489	408	167225	buildingId	0	613
489	408	167225	height	8	18
489	408	167225	wallOwner	0	5
490	408	167226	logic	32768	33026
490	408	167226	height	8	18
490	408	167226	wallOwner	0	5
491	408	167227	logic	32768	34050
491	408	167227	buildingId	0	614
491	408	167227	height	8	18
491	408	167227	wallOwner	0	5
492	408	167228	logic	32768	34050
492	408	167228	buildingId	0	614
492	408	167228	height	8	18
492	408	167228	wallOwner	0	5
494	408	167230	logic2	0	2
495	408	167231	logic2	0	2
494	409	168013	logic2	0	2
