# capturedAtLocal=2026-09-24T17:23:41.5816630+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=5
# candidateId=0
# aivName=Default 8
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir8.aivjson
# aivJsonSha256=c0287e57c640f05a602bd38bf49f5ee8db1101cdcdf965f8628caee49e43b7d5
# orientation=0
# originX=375
# originY=476
# keepX=418
# keepY=519
# evaluatedCells=1856
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=1856
# validatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
21	42	417	497	313	313	115	0	False
21	43	418	497	313	313	115	0	False
21	49	424	497	313	313	113	0	False
21	50	425	497	313	313	113	0	False
22	37	412	498	169	169	106	0	False
22	38	413	498	169	169	106	0	False
22	39	414	498	169	169	106	0	False
22	40	415	498	169	169	106	0	False
22	42	417	498	313	313	115	0	False
22	43	418	498	313	313	115	0	False
22	49	424	498	313	313	113	0	False
22	50	425	498	313	313	113	0	False
22	58	433	498	313	313	112	0	False
22	59	434	498	313	313	112	0	False
23	33	408	499	166	166	110	0	False
23	34	409	499	166	166	110	0	False
23	35	410	499	166	166	110	0	False
23	37	412	499	169	169	106	0	False
23	38	413	499	169	169	106	0	False
23	39	414	499	169	169	106	0	False
23	40	415	499	169	169	106	0	False
23	58	433	499	313	313	112	0	False
23	59	434	499	313	313	112	0	False
23	62	437	499	166	166	111	0	False
23	63	438	499	166	166	111	0	False
23	64	439	499	166	166	111	0	False
24	28	403	500	313	313	117	0	False
24	29	404	500	313	313	117	0	False
24	31	406	500	313	313	116	0	False
24	32	407	500	313	313	116	0	False
24	33	408	500	166	166	110	0	False
24	34	409	500	166	166	110	0	False
24	35	410	500	166	166	110	0	False
24	37	412	500	169	169	106	0	False
24	38	413	500	169	169	106	0	False
24	39	414	500	169	169	106	0	False
24	40	415	500	169	169	106	0	False
24	45	420	500	166	166	108	0	False
24	46	421	500	166	166	108	0	False
24	47	422	500	166	166	108	0	False
24	53	428	500	166	166	107	0	False
24	54	429	500	166	166	107	0	False
24	55	430	500	166	166	107	0	False
24	62	437	500	166	166	111	0	False
24	63	438	500	166	166	111	0	False
24	64	439	500	166	166	111	0	False
25	28	403	501	313	313	117	0	False
25	29	404	501	313	313	117	0	False
25	31	406	501	313	313	116	0	False
25	32	407	501	313	313	116	0	False
25	33	408	501	166	166	110	0	False
25	34	409	501	166	166	110	0	False
25	35	410	501	166	166	110	0	False
25	37	412	501	169	169	106	0	False
25	38	413	501	169	169	106	0	False
25	39	414	501	169	169	106	0	False
25	40	415	501	169	169	106	0	False
25	45	420	501	166	166	108	0	False
25	46	421	501	166	166	108	0	False
25	47	422	501	166	166	108	0	False
25	53	428	501	166	166	107	0	False
25	54	429	501	166	166	107	0	False
25	55	430	501	166	166	107	0	False
25	56	431	501	169	169	105	0	False
25	57	432	501	169	169	105	0	False
25	58	433	501	169	169	105	0	False
25	59	434	501	169	169	105	0	False
25	62	437	501	166	166	111	0	False
25	63	438	501	166	166	111	0	False
25	64	439	501	166	166	111	0	False
26	45	420	502	166	166	108	0	False
26	46	421	502	166	166	108	0	False
26	47	422	502	166	166	108	0	False
26	51	426	502	313	313	114	0	False
26	52	427	502	313	313	114	0	False
26	53	428	502	166	166	107	0	False
26	54	429	502	166	166	107	0	False
26	55	430	502	166	166	107	0	False
26	56	431	502	169	169	105	0	False
26	57	432	502	169	169	105	0	False
26	58	433	502	169	169	105	0	False
26	59	434	502	169	169	105	0	False
26	60	435	502	324	324	104	0	False
26	61	436	502	324	324	104	0	False
26	62	437	502	324	324	104	0	False
26	63	438	502	324	324	104	0	False
26	64	439	502	324	324	104	0	False
27	26	401	503	110	110	102	0	False
27	27	402	503	110	110	102	0	False
27	28	403	503	110	110	102	0	False
27	34	409	503	324	324	103	0	False
27	35	410	503	324	324	103	0	False
27	36	411	503	324	324	103	0	False
27	37	412	503	324	324	103	0	False
27	38	413	503	324	324	103	0	False
27	41	416	503	166	166	109	0	False
27	42	417	503	166	166	109	0	False
27	43	418	503	166	166	109	0	False
27	51	426	503	313	313	114	0	False
27	52	427	503	313	313	114	0	False
27	56	431	503	169	169	105	0	False
27	57	432	503	169	169	105	0	False
27	58	433	503	169	169	105	0	False
27	59	434	503	169	169	105	0	False
27	60	435	503	324	324	104	0	False
27	61	436	503	324	324	104	0	False
27	62	437	503	324	324	104	0	False
27	63	438	503	324	324	104	0	False
27	64	439	503	324	324	104	0	False
27	69	444	503	110	110	101	0	False
27	70	445	503	110	110	101	0	False
27	71	446	503	110	110	101	0	False
28	26	401	504	110	110	102	0	False
28	27	402	504	110	110	102	0	False
28	28	403	504	110	110	102	0	False
28	29	404	504	26	26	118	0	False
28	34	409	504	324	324	103	0	False
28	35	410	504	324	324	103	0	False
28	36	411	504	324	324	103	0	False
28	37	412	504	324	324	103	0	False
28	38	413	504	324	324	103	0	False
28	41	416	504	166	166	109	0	False
28	42	417	504	166	166	109	0	False
28	43	418	504	166	166	109	0	False
28	46	421	504	114	114	29	0	False
28	47	422	504	114	114	29	0	False
28	48	423	504	114	114	29	0	False
28	49	424	504	114	114	29	0	False
28	50	425	504	114	114	29	0	False
28	51	426	504	114	114	29	0	False
28	56	431	504	169	169	105	0	False
28	57	432	504	169	169	105	0	False
28	58	433	504	169	169	105	0	False
28	59	434	504	169	169	105	0	False
28	60	435	504	324	324	104	0	False
28	61	436	504	324	324	104	0	False
28	62	437	504	324	324	104	0	False
28	63	438	504	324	324	104	0	False
28	64	439	504	324	324	104	0	False
28	68	443	504	26	26	123	0	False
28	69	444	504	110	110	101	0	False
28	70	445	504	110	110	101	0	False
28	71	446	504	110	110	101	0	False
29	22	397	505	54	54	145	0	False
29	23	398	505	54	54	145	0	False
29	24	399	505	54	54	145	0	False
29	25	400	505	54	54	145	0	False
29	26	401	505	110	110	102	0	False
29	27	402	505	110	110	102	0	False
29	28	403	505	110	110	102	0	False
29	29	404	505	25	25	89	0	False
29	30	405	505	26	26	118	0	False
29	34	409	505	324	324	103	0	False
29	35	410	505	324	324	103	0	False
29	36	411	505	324	324	103	0	False
29	37	412	505	324	324	103	0	False
29	38	413	505	324	324	103	0	False
29	41	416	505	166	166	109	0	False
29	42	417	505	166	166	109	0	False
29	43	418	505	166	166	109	0	False
29	46	421	505	114	114	29	0	False
29	47	422	505	114	114	29	0	False
29	48	423	505	114	114	29	0	False
29	49	424	505	114	114	29	0	False
29	50	425	505	114	114	29	0	False
29	51	426	505	114	114	29	0	False
29	60	435	505	324	324	104	0	False
29	61	436	505	324	324	104	0	False
29	62	437	505	324	324	104	0	False
29	63	438	505	324	324	104	0	False
29	64	439	505	324	324	104	0	False
29	67	442	505	26	26	123	0	False
29	68	443	505	25	25	86	0	False
29	69	444	505	110	110	101	0	False
29	70	445	505	110	110	101	0	False
29	71	446	505	110	110	101	0	False
29	72	447	505	54	54	144	0	False
29	73	448	505	54	54	144	0	False
29	74	449	505	54	54	144	0	False
29	75	450	505	54	54	144	0	False
30	22	397	506	54	54	145	0	False
30	23	398	506	54	54	145	0	False
30	24	399	506	54	54	145	0	False
30	25	400	506	54	54	145	0	False
30	27	402	506	26	26	127	0	False
30	28	403	506	25	25	90	0	False
30	29	404	506	25	25	88	0	False
30	30	405	506	25	25	89	0	False
30	31	406	506	26	26	118	0	False
30	34	409	506	324	324	103	0	False
30	35	410	506	324	324	103	0	False
30	36	411	506	324	324	103	0	False
30	37	412	506	324	324	103	0	False
30	38	413	506	324	324	103	0	False
30	42	417	506	26	26	119	0	False
30	43	418	506	26	26	120	0	False
30	44	419	506	26	26	120	0	False
30	45	420	506	26	26	120	0	False
30	46	421	506	114	114	29	0	False
30	47	422	506	114	114	29	0	False
30	48	423	506	114	114	29	0	False
30	49	424	506	114	114	29	0	False
30	50	425	506	114	114	29	0	False
30	51	426	506	114	114	29	0	False
30	52	427	506	26	26	121	0	False
30	53	428	506	26	26	121	0	False
30	54	429	506	26	26	121	0	False
30	55	430	506	26	26	121	0	False
30	60	435	506	324	324	104	0	False
30	61	436	506	324	324	104	0	False
30	62	437	506	324	324	104	0	False
30	63	438	506	324	324	104	0	False
30	64	439	506	324	324	104	0	False
30	66	441	506	26	26	123	0	False
30	67	442	506	25	25	86	0	False
30	68	443	506	25	25	85	0	False
30	69	444	506	25	25	87	0	False
30	70	445	506	26	26	124	0	False
30	72	447	506	54	54	144	0	False
30	73	448	506	54	54	144	0	False
30	74	449	506	54	54	144	0	False
30	75	450	506	54	54	144	0	False
31	22	397	507	54	54	145	0	False
31	23	398	507	54	54	145	0	False
31	24	399	507	54	54	145	0	False
31	25	400	507	54	54	145	0	False
31	28	403	507	26	26	127	0	False
31	29	404	507	25	25	90	0	False
31	30	405	507	25	25	88	0	False
31	31	406	507	25	25	89	0	False
31	32	407	507	26	26	118	0	False
31	34	409	507	324	324	103	0	False
31	35	410	507	324	324	103	0	False
31	36	411	507	324	324	103	0	False
31	37	412	507	324	324	103	0	False
31	38	413	507	324	324	103	0	False
31	41	416	507	26	26	119	0	False
31	42	417	507	25	25	55	0	False
31	43	418	507	25	25	56	0	False
31	44	419	507	25	25	56	0	False
31	45	420	507	25	25	56	0	False
31	46	421	507	114	114	29	0	False
31	47	422	507	114	114	29	0	False
31	48	423	507	114	114	29	0	False
31	49	424	507	114	114	29	0	False
31	50	425	507	114	114	29	0	False
31	51	426	507	114	114	29	0	False
31	52	427	507	25	25	45	0	False
31	53	428	507	25	25	45	0	False
31	54	429	507	25	25	45	0	False
31	55	430	507	25	25	45	0	False
31	56	431	507	26	26	122	0	False
31	65	440	507	26	26	123	0	False
31	66	441	507	25	25	86	0	False
31	67	442	507	25	25	85	0	False
31	68	443	507	25	25	87	0	False
31	69	444	507	26	26	124	0	False
31	72	447	507	54	54	144	0	False
31	73	448	507	54	54	144	0	False
31	74	449	507	54	54	144	0	False
31	75	450	507	54	54	144	0	False
32	22	397	508	54	54	145	0	False
32	23	398	508	54	54	145	0	False
32	24	399	508	54	54	145	0	False
32	25	400	508	54	54	145	0	False
32	29	404	508	26	26	127	0	False
32	30	405	508	25	25	90	0	False
32	31	406	508	25	25	88	0	False
32	32	407	508	25	25	89	0	False
32	33	408	508	26	26	118	0	False
32	40	415	508	26	26	119	0	False
32	41	416	508	25	25	55	0	False
32	42	417	508	25	25	36	0	False
32	43	418	508	25	25	36	0	False
32	44	419	508	25	25	36	0	False
32	45	420	508	25	25	36	0	False
32	46	421	508	114	114	29	0	False
32	47	422	508	114	114	29	0	False
32	48	423	508	114	114	29	0	False
32	49	424	508	114	114	29	0	False
32	50	425	508	114	114	29	0	False
32	51	426	508	114	114	29	0	False
32	52	427	508	25	25	33	0	False
32	53	428	508	25	25	33	0	False
32	54	429	508	25	25	33	0	False
32	55	430	508	25	25	33	0	False
32	56	431	508	25	25	46	0	False
32	57	432	508	26	26	122	0	False
32	64	439	508	26	26	123	0	False
32	65	440	508	25	25	86	0	False
32	66	441	508	25	25	85	0	False
32	67	442	508	25	25	87	0	False
32	68	443	508	26	26	124	0	False
32	72	447	508	54	54	144	0	False
32	73	448	508	54	54	144	0	False
32	74	449	508	54	54	144	0	False
32	75	450	508	54	54	144	0	False
33	30	405	509	26	26	127	0	False
33	31	406	509	25	25	90	0	False
33	32	407	509	25	25	88	0	False
33	33	408	509	25	25	89	0	False
33	34	409	509	26	26	118	0	False
33	39	414	509	26	26	119	0	False
33	40	415	509	25	25	55	0	False
33	41	416	509	25	25	37	0	False
33	46	421	509	114	114	29	0	False
33	47	422	509	114	114	29	0	False
33	48	423	509	114	114	29	0	False
33	49	424	509	114	114	29	0	False
33	50	425	509	114	114	29	0	False
33	51	426	509	114	114	29	0	False
33	52	427	509	313	313	67	0	False
33	53	428	509	313	313	67	0	False
33	56	431	509	25	25	34	0	False
33	57	432	509	25	25	46	0	False
33	58	433	509	26	26	122	0	False
33	63	438	509	26	26	123	0	False
33	64	439	509	25	25	86	0	False
33	65	440	509	25	25	85	0	False
33	66	441	509	25	25	87	0	False
33	67	442	509	26	26	124	0	False
34	20	395	510	86	86	16	0	False
34	21	396	510	86	86	16	0	False
34	22	397	510	86	86	16	0	False
34	23	398	510	86	86	16	0	False
34	24	399	510	86	86	16	0	False
34	25	400	510	-1	86	16	0	False
34	26	401	510	-1	86	16	0	False
34	27	402	510	-1	86	16	0	False
34	28	403	510	-1	86	16	0	False
34	29	404	510	-1	86	16	0	False
34	31	406	510	26	26	127	0	False
34	32	407	510	25	25	90	0	False
34	33	408	510	25	25	88	0	False
34	34	409	510	25	25	89	0	False
34	35	410	510	26	26	118	0	False
34	38	413	510	26	26	119	0	False
34	39	414	510	25	25	55	0	False
34	40	415	510	25	25	37	0	False
34	43	418	510	313	313	68	0	False
34	44	419	510	313	313	68	0	False
34	45	420	510	77	77	6	0	False
34	46	421	510	77	77	6	0	False
34	47	422	510	77	77	6	0	False
34	48	423	510	77	77	6	0	False
34	49	424	510	77	77	6	0	False
34	52	427	510	313	313	67	0	False
34	53	428	510	313	313	67	0	False
34	54	429	510	318	318	76	0	False
34	55	430	510	318	318	76	0	False
34	57	432	510	25	25	34	0	False
34	58	433	510	25	25	46	0	False
34	59	434	510	26	26	122	0	False
34	62	437	510	26	26	123	0	False
34	63	438	510	25	25	86	0	False
34	64	439	510	25	25	85	0	False
34	65	440	510	25	25	87	0	False
34	66	441	510	26	26	124	0	False
34	69	444	510	87	87	26	0	False
34	70	445	510	87	87	26	0	False
34	71	446	510	87	87	26	0	False
34	72	447	510	87	87	26	0	False
34	73	448	510	87	87	26	0	False
34	74	449	510	-1	86	26	0	False
34	75	450	510	-1	86	26	0	False
34	76	451	510	-1	86	26	0	False
34	77	452	510	-1	86	26	0	False
34	78	453	510	-1	86	26	0	False
35	20	395	511	86	86	16	0	False
35	21	396	511	86	86	16	0	False
35	22	397	511	86	86	16	0	False
35	23	398	511	86	86	16	0	False
35	24	399	511	86	86	16	0	False
35	25	400	511	-1	86	16	0	False
35	26	401	511	-1	86	16	0	False
35	27	402	511	-1	86	16	0	False
35	28	403	511	-1	86	16	0	False
35	29	404	511	-1	86	16	0	False
