# capturedAtLocal=2026-09-24T17:24:17.6087934+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=6
# candidateId=0
# aivName=Default 6
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot6.aivjson
# aivJsonSha256=caf8ad68fd46638d53f249849eb8a6b13c314b3a886f0bf9377607666d263694
# orientation=2
# originX=438
# originY=354
# keepX=481
# keepY=397
# evaluatedCells=2480
# nativeBlockedCells=0
# resultGridBlockedCells=0
# validatorCalls=2480
# validatorBlockedCells=0
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
17	62	500	371	54	54	69	0	False
17	63	501	371	54	54	69	0	False
17	64	502	371	54	54	69	0	False
17	65	503	371	54	54	69	0	False
17	66	504	371	54	54	60	0	False
17	67	505	371	54	54	60	0	False
17	68	506	371	54	54	60	0	False
17	69	507	371	54	54	60	0	False
18	53	491	372	54	54	24	0	False
18	54	492	372	54	54	24	0	False
18	55	493	372	54	54	24	0	False
18	56	494	372	54	54	24	0	False
18	62	500	372	54	54	69	0	False
18	63	501	372	54	54	69	0	False
18	64	502	372	54	54	69	0	False
18	65	503	372	54	54	69	0	False
18	66	504	372	54	54	60	0	False
18	67	505	372	54	54	60	0	False
18	68	506	372	54	54	60	0	False
18	69	507	372	54	54	60	0	False
18	71	509	372	54	54	59	0	False
18	72	510	372	54	54	59	0	False
18	73	511	372	54	54	59	0	False
18	74	512	372	54	54	59	0	False
19	42	480	373	99	99	145	0	False
19	43	481	373	99	99	145	0	False
19	44	482	373	99	99	145	0	False
19	53	491	373	54	54	24	0	False
19	54	492	373	54	54	24	0	False
19	55	493	373	54	54	24	0	False
19	56	494	373	54	54	24	0	False
19	58	496	373	99	99	152	0	False
19	59	497	373	99	99	152	0	False
19	60	498	373	99	99	152	0	False
19	62	500	373	54	54	69	0	False
19	63	501	373	54	54	69	0	False
19	64	502	373	54	54	69	0	False
19	65	503	373	54	54	69	0	False
19	66	504	373	54	54	60	0	False
19	67	505	373	54	54	60	0	False
19	68	506	373	54	54	60	0	False
19	69	507	373	54	54	60	0	False
19	71	509	373	54	54	59	0	False
19	72	510	373	54	54	59	0	False
19	73	511	373	54	54	59	0	False
19	74	512	373	54	54	59	0	False
20	36	474	374	99	99	145	0	False
20	37	475	374	99	99	145	0	False
20	38	476	374	99	99	145	0	False
20	39	477	374	99	99	145	0	False
20	40	478	374	99	99	145	0	False
20	41	479	374	99	99	145	0	False
20	42	480	374	99	99	145	0	False
20	43	481	374	99	99	145	0	False
20	44	482	374	99	99	145	0	False
20	45	483	374	99	99	145	0	False
20	46	484	374	99	99	145	0	False
20	47	485	374	99	99	145	0	False
20	48	486	374	99	99	145	0	False
20	49	487	374	99	99	145	0	False
20	50	488	374	99	99	145	0	False
20	51	489	374	99	99	145	0	False
20	53	491	374	54	54	24	0	False
20	54	492	374	54	54	24	0	False
20	55	493	374	54	54	24	0	False
20	56	494	374	54	54	24	0	False
20	62	500	374	54	54	69	0	False
20	63	501	374	54	54	69	0	False
20	64	502	374	54	54	69	0	False
20	65	503	374	54	54	69	0	False
20	66	504	374	54	54	60	0	False
20	67	505	374	54	54	60	0	False
20	68	506	374	54	54	60	0	False
20	69	507	374	54	54	60	0	False
20	71	509	374	54	54	59	0	False
20	72	510	374	54	54	59	0	False
20	73	511	374	54	54	59	0	False
20	74	512	374	54	54	59	0	False
21	35	473	375	99	99	145	0	False
21	36	474	375	113	113	109	0	False
21	37	475	375	113	113	109	0	False
21	38	476	375	113	113	109	0	False
21	39	477	375	113	113	109	0	False
21	40	478	375	113	113	109	0	False
21	41	479	375	113	113	109	0	False
21	42	480	375	99	99	145	0	False
21	43	481	375	99	99	145	0	False
21	44	482	375	99	99	145	0	False
21	45	483	375	113	113	108	0	False
21	46	484	375	113	113	108	0	False
21	47	485	375	113	113	108	0	False
21	48	486	375	113	113	108	0	False
21	49	487	375	113	113	108	0	False
21	50	488	375	113	113	108	0	False
21	51	489	375	99	99	145	0	False
21	53	491	375	54	54	24	0	False
21	54	492	375	54	54	24	0	False
21	55	493	375	54	54	24	0	False
21	56	494	375	54	54	24	0	False
21	71	509	375	54	54	59	0	False
21	72	510	375	54	54	59	0	False
21	73	511	375	54	54	59	0	False
21	74	512	375	54	54	59	0	False
22	36	474	376	113	113	109	0	False
22	37	475	376	113	113	109	0	False
22	38	476	376	113	113	109	0	False
22	39	477	376	113	113	109	0	False
22	40	478	376	113	113	109	0	False
22	41	479	376	113	113	109	0	False
22	45	483	376	113	113	108	0	False
22	46	484	376	113	113	108	0	False
22	47	485	376	113	113	108	0	False
22	48	486	376	113	113	108	0	False
22	49	487	376	113	113	108	0	False
22	50	488	376	113	113	108	0	False
22	62	500	376	106	106	98	0	False
22	63	501	376	106	106	70	0	False
22	64	502	376	106	106	70	0	False
22	65	503	376	106	106	98	0	False
22	66	504	376	106	106	98	0	False
22	67	505	376	106	106	98	0	False
23	33	471	377	25	25	140	0	False
23	34	472	377	25	25	140	0	False
23	35	473	377	25	25	140	0	False
23	36	474	377	113	113	109	0	False
23	37	475	377	113	113	109	0	False
23	38	476	377	113	113	109	0	False
23	39	477	377	113	113	109	0	False
23	40	478	377	113	113	109	0	False
23	41	479	377	113	113	109	0	False
23	42	480	377	25	25	141	0	False
23	43	481	377	25	25	141	0	False
23	44	482	377	25	25	141	0	False
23	45	483	377	113	113	108	0	False
23	46	484	377	113	113	108	0	False
23	47	485	377	113	113	108	0	False
23	48	486	377	113	113	108	0	False
23	49	487	377	113	113	108	0	False
23	50	488	377	113	113	108	0	False
23	51	489	377	25	25	86	0	False
23	52	490	377	25	25	86	0	False
23	53	491	377	25	25	86	0	False
23	54	492	377	25	25	86	0	False
23	55	493	377	25	25	86	0	False
23	56	494	377	25	25	86	0	False
23	57	495	377	25	25	86	0	False
23	58	496	377	25	25	86	0	False
23	59	497	377	25	25	86	0	False
23	60	498	377	25	25	87	0	False
23	61	499	377	25	25	125	0	False
23	62	500	377	25	25	130	0	False
23	63	501	377	106	106	70	0	False
23	64	502	377	106	106	70	0	False
23	65	503	377	106	106	70	0	False
23	66	504	377	106	106	70	0	False
23	67	505	377	106	106	98	0	False
23	68	506	377	106	106	98	0	False
23	69	507	377	106	106	98	0	False
23	70	508	377	106	106	98	0	False
23	71	509	377	106	106	98	0	False
23	72	510	377	106	106	98	0	False
23	73	511	377	106	106	98	0	False
24	30	468	378	99	99	154	0	False
24	31	469	378	99	99	153	0	False
24	33	471	378	25	25	136	0	False
24	34	472	378	25	25	137	0	False
24	35	473	378	25	25	137	0	False
24	36	474	378	113	113	109	0	False
24	37	475	378	113	113	109	0	False
24	38	476	378	113	113	109	0	False
24	39	477	378	113	113	109	0	False
24	40	478	378	113	113	109	0	False
24	41	479	378	113	113	109	0	False
24	42	480	378	25	25	138	0	False
24	43	481	378	25	25	138	0	False
24	44	482	378	25	25	138	0	False
24	45	483	378	113	113	108	0	False
24	46	484	378	113	113	108	0	False
24	47	485	378	113	113	108	0	False
24	48	486	378	113	113	108	0	False
24	49	487	378	113	113	108	0	False
24	50	488	378	113	113	108	0	False
24	51	489	378	25	25	23	0	False
24	52	490	378	96	96	104	0	False
24	53	491	378	96	96	104	0	False
24	54	492	378	96	96	104	0	False
24	55	493	378	96	96	104	0	False
24	56	494	378	96	96	104	0	False
24	57	495	378	96	96	104	0	False
24	58	496	378	96	96	104	0	False
24	59	497	378	96	96	104	0	False
24	60	498	378	96	96	104	0	False
24	61	499	378	25	25	125	0	False
24	62	500	378	25	25	130	0	False
24	63	501	378	106	106	70	0	False
24	64	502	378	106	106	70	0	False
24	65	503	378	106	106	70	0	False
24	66	504	378	106	106	70	0	False
24	67	505	378	106	106	70	0	False
24	68	506	378	106	106	70	0	False
24	69	507	378	106	106	70	0	False
24	70	508	378	106	106	70	0	False
24	71	509	378	106	106	70	0	False
24	72	510	378	106	106	70	0	False
24	73	511	378	106	106	98	0	False
25	31	469	379	99	99	153	0	False
25	33	471	379	25	25	136	0	False
25	34	472	379	25	25	127	0	False
25	35	473	379	25	25	127	0	False
25	36	474	379	113	113	109	0	False
25	37	475	379	113	113	109	0	False
25	38	476	379	113	113	109	0	False
25	39	477	379	113	113	109	0	False
25	40	478	379	113	113	109	0	False
25	41	479	379	113	113	109	0	False
25	42	480	379	25	25	126	0	False
25	43	481	379	25	25	126	0	False
25	44	482	379	25	25	126	0	False
25	45	483	379	113	113	108	0	False
25	46	484	379	113	113	108	0	False
25	47	485	379	113	113	108	0	False
25	48	486	379	113	113	108	0	False
25	49	487	379	113	113	108	0	False
25	50	488	379	113	113	108	0	False
25	51	489	379	25	25	23	0	False
25	52	490	379	96	96	104	0	False
25	53	491	379	96	96	104	0	False
25	54	492	379	96	96	104	0	False
25	55	493	379	96	96	104	0	False
25	56	494	379	96	96	104	0	False
25	57	495	379	96	96	104	0	False
25	58	496	379	96	96	104	0	False
25	59	497	379	96	96	104	0	False
25	60	498	379	96	96	104	0	False
25	61	499	379	25	25	125	0	False
25	62	500	379	25	25	130	0	False
25	67	505	379	106	106	70	0	False
25	68	506	379	106	106	70	0	False
25	69	507	379	106	106	70	0	False
25	70	508	379	106	106	70	0	False
25	71	509	379	106	106	70	0	False
25	72	510	379	106	106	70	0	False
25	73	511	379	106	106	70	0	False
25	74	512	379	106	106	98	0	False
25	76	514	379	99	99	146	0	False
26	31	469	380	99	99	153	0	False
26	33	471	380	25	25	136	0	False
26	34	472	380	25	25	119	0	False
26	35	473	380	25	25	114	0	False
26	36	474	380	113	113	109	0	False
26	37	475	380	113	113	109	0	False
26	38	476	380	113	113	109	0	False
26	39	477	380	113	113	109	0	False
26	40	478	380	113	113	109	0	False
26	41	479	380	113	113	109	0	False
26	42	480	380	25	25	120	0	False
26	43	481	380	25	25	120	0	False
26	44	482	380	25	25	120	0	False
26	45	483	380	113	113	108	0	False
26	46	484	380	113	113	108	0	False
26	47	485	380	113	113	108	0	False
26	48	486	380	113	113	108	0	False
26	49	487	380	113	113	108	0	False
26	50	488	380	113	113	108	0	False
26	51	489	380	25	25	23	0	False
26	52	490	380	96	96	104	0	False
26	53	491	380	96	96	104	0	False
26	54	492	380	96	96	104	0	False
26	55	493	380	96	96	104	0	False
26	56	494	380	96	96	104	0	False
26	57	495	380	96	96	104	0	False
26	58	496	380	96	96	104	0	False
26	59	497	380	96	96	104	0	False
26	60	498	380	96	96	104	0	False
26	61	499	380	25	25	125	0	False
26	62	500	380	25	25	130	0	False
26	63	501	380	88	88	97	0	False
26	64	502	380	88	88	97	0	False
26	65	503	380	88	88	97	0	False
26	66	504	380	88	88	97	0	False
26	67	505	380	88	88	97	0	False
26	68	506	380	-1	86	97	0	False
26	69	507	380	-1	86	97	0	False
26	70	508	380	-1	86	97	0	False
26	71	509	380	-1	86	97	0	False
26	72	510	380	-1	86	97	0	False
26	73	511	380	106	106	70	0	False
26	74	512	380	106	106	98	0	False
26	75	513	380	106	106	98	0	False
26	76	514	380	99	99	146	0	False
26	77	515	380	99	99	146	0	False
27	33	471	381	25	25	136	0	False
27	34	472	381	25	25	119	0	False
27	35	473	381	25	25	25	0	False
27	36	474	381	25	25	25	0	False
27	37	475	381	25	25	25	0	False
27	38	476	381	25	25	25	0	False
27	39	477	381	25	25	25	0	False
27	40	478	381	25	25	25	0	False
27	41	479	381	25	25	25	0	False
27	42	480	381	25	25	25	0	False
27	43	481	381	25	25	25	0	False
27	44	482	381	25	25	25	0	False
27	45	483	381	25	25	22	0	False
27	46	484	381	25	25	22	0	False
27	47	485	381	25	25	22	0	False
27	48	486	381	25	25	22	0	False
27	49	487	381	25	25	22	0	False
27	50	488	381	25	25	22	0	False
27	51	489	381	25	25	23	0	False
27	52	490	381	96	96	104	0	False
27	53	491	381	96	96	104	0	False
27	54	492	381	96	96	104	0	False
27	55	493	381	96	96	104	0	False
27	56	494	381	96	96	104	0	False
27	57	495	381	96	96	104	0	False
27	58	496	381	96	96	104	0	False
27	59	497	381	96	96	104	0	False
27	60	498	381	96	96	104	0	False
27	61	499	381	25	25	85	0	False
27	62	500	381	25	25	130	0	False
27	63	501	381	88	88	97	0	False
27	64	502	381	88	88	97	0	False
27	65	503	381	88	88	97	0	False
27	66	504	381	88	88	97	0	False
27	67	505	381	88	88	97	0	False
27	68	506	381	-1	86	97	0	False
27	69	507	381	-1	86	97	0	False
27	70	508	381	-1	86	97	0	False
27	71	509	381	-1	86	97	0	False
27	72	510	381	-1	86	97	0	False
27	73	511	381	106	106	70	0	False
27	74	512	381	106	106	70	0	False
27	75	513	381	106	106	98	0	False
27	76	514	381	106	106	98	0	False
27	77	515	381	99	99	146	0	False
28	30	468	382	176	176	30	0	False
28	31	469	382	176	176	30	0	False
28	33	471	382	25	25	136	0	False
28	34	472	382	25	25	114	0	False
28	35	473	382	25	25	28	0	False
28	36	474	382	96	96	124	0	False
28	37	475	382	96	96	124	0	False
28	38	476	382	96	96	124	0	False
28	39	477	382	96	96	124	0	False
28	40	478	382	96	96	124	0	False
28	41	479	382	96	96	124	0	False
28	42	480	382	96	96	124	0	False
28	43	481	382	96	96	124	0	False
28	44	482	382	96	96	124	0	False
28	45	483	382	25	25	21	0	False
28	46	484	382	25	25	21	0	False
28	47	485	382	25	25	21	0	False
28	48	486	382	25	25	21	0	False
28	49	487	382	25	25	21	0	False
28	50	488	382	25	25	21	0	False
28	51	489	382	25	25	23	0	False
28	52	490	382	96	96	104	0	False
28	53	491	382	96	96	104	0	False
28	54	492	382	96	96	104	0	False
28	55	493	382	96	96	104	0	False
28	56	494	382	96	96	104	0	False
28	57	495	382	96	96	104	0	False
28	58	496	382	96	96	104	0	False
28	59	497	382	96	96	104	0	False
28	60	498	382	96	96	104	0	False
28	61	499	382	25	25	21	0	False
28	62	500	382	25	25	139	0	False
28	63	501	382	88	88	97	0	False
28	64	502	382	88	88	97	0	False
28	65	503	382	88	88	97	0	False
28	66	504	382	88	88	97	0	False
28	67	505	382	88	88	97	0	False
28	68	506	382	-1	86	97	0	False
28	69	507	382	-1	86	97	0	False
28	70	508	382	-1	86	97	0	False
28	71	509	382	-1	86	97	0	False
28	72	510	382	-1	86	97	0	False
28	73	511	382	106	106	70	0	False
28	74	512	382	106	106	70	0	False
28	75	513	382	106	106	70	0	False
28	76	514	382	106	106	98	0	False
28	77	515	382	99	99	146	0	False
28	78	516	382	99	99	146	0	False
29	30	468	383	176	176	30	0	False
29	31	469	383	176	176	30	0	False
29	33	471	383	25	25	136	0	False
29	34	472	383	25	25	114	0	False
29	35	473	383	25	25	28	0	False
29	36	474	383	96	96	124	0	False
29	37	475	383	96	96	124	0	False
29	38	476	383	96	96	124	0	False
29	39	477	383	96	96	124	0	False
29	40	478	383	96	96	124	0	False
29	41	479	383	96	96	124	0	False
29	42	480	383	96	96	124	0	False
29	43	481	383	96	96	124	0	False
29	44	482	383	96	96	124	0	False
29	47	485	383	185	185	36	0	False
29	48	486	383	184	184	37	0	False
29	49	487	383	183	183	38	0	False
29	50	488	383	182	182	39	0	False
29	51	489	383	181	181	40	0	False
29	52	490	383	96	96	104	0	False
29	53	491	383	96	96	104	0	False
29	54	492	383	96	96	104	0	False
29	55	493	383	96	96	104	0	False
29	56	494	383	96	96	104	0	False
29	57	495	383	96	96	104	0	False
29	58	496	383	96	96	104	0	False
29	59	497	383	96	96	104	0	False
29	60	498	383	96	96	104	0	False
29	61	499	383	25	25	49	0	False
29	62	500	383	25	25	139	0	False
29	63	501	383	88	88	97	0	False
29	64	502	383	88	88	97	0	False
29	65	503	383	88	88	97	0	False
29	66	504	383	88	88	97	0	False
29	67	505	383	88	88	97	0	False
29	68	506	383	-1	86	97	0	False
29	69	507	383	-1	86	97	0	False
29	70	508	383	-1	86	97	0	False
29	71	509	383	-1	86	97	0	False
29	72	510	383	-1	86	97	0	False
29	74	512	383	106	106	70	0	False
29	75	513	383	106	106	70	0	False
29	76	514	383	106	106	70	0	False
29	77	515	383	106	106	98	0	False
29	78	516	383	99	99	146	0	False
29	79	517	383	99	99	146	0	False
30	33	471	384	25	25	136	0	False
30	34	472	384	25	25	114	0	False
30	35	473	384	25	25	28	0	False
30	36	474	384	96	96	124	0	False
30	37	475	384	96	96	124	0	False
30	38	476	384	96	96	124	0	False
30	39	477	384	96	96	124	0	False
30	40	478	384	96	96	124	0	False
30	41	479	384	96	96	124	0	False
30	42	480	384	96	96	124	0	False
30	43	481	384	96	96	124	0	False
30	44	482	384	96	96	124	0	False
30	46	484	384	81	81	61	0	False
30	47	485	384	81	81	61	0	False
30	48	486	384	81	81	61	0	False
30	49	487	384	81	81	61	0	False
30	52	490	384	96	96	104	0	False
30	53	491	384	96	96	104	0	False
30	54	492	384	96	96	104	0	False
30	55	493	384	96	96	104	0	False
30	56	494	384	96	96	104	0	False
30	57	495	384	96	96	104	0	False
30	58	496	384	96	96	104	0	False
30	59	497	384	96	96	104	0	False
30	60	498	384	96	96	104	0	False
30	61	499	384	25	25	49	0	False
30	62	500	384	25	25	129	0	False
