# capturedAtLocal=2026-09-24T17:25:09.6511733+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 2
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir2.aivjson
# aivJsonSha256=e2060511fc8f869e5d7541f8e1cac46da9b9278636459f18a36d58a88a9cbbd4
# orientation=4
# originX=375
# originY=476
# keepX=418
# keepY=519
# evaluatedCells=2235
# nativeBlockedCells=349
# resultGridBlockedCells=275
# validatorCalls=2161
# validatorBlockedCells=275
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
29	42	417	505	146	146	42	0	False
29	43	418	505	146	146	42	0	False
29	44	419	505	146	146	42	0	False
29	45	420	505	146	146	42	0	False
29	46	421	505	146	146	42	0	False
29	47	422	505	146	146	42	0	False
29	48	423	505	146	146	42	0	False
29	53	428	505	146	146	40	0	False
29	54	429	505	146	146	40	0	False
29	55	430	505	146	146	40	0	False
29	56	431	505	146	146	40	0	False
29	57	432	505	146	146	40	0	False
29	58	433	505	146	146	40	0	False
29	59	434	505	146	146	40	0	False
30	24	399	506	110	110	118	0	False
30	25	400	506	110	110	118	0	False
30	26	401	506	110	110	118	0	False
30	42	417	506	146	146	42	0	False
30	43	418	506	146	146	42	0	False
30	44	419	506	146	146	42	0	False
30	45	420	506	146	146	42	0	False
30	46	421	506	146	146	42	0	False
30	47	422	506	146	146	42	0	False
30	48	423	506	146	146	42	0	False
30	53	428	506	146	146	40	0	False
30	54	429	506	146	146	40	0	False
30	55	430	506	146	146	40	0	False
30	56	431	506	146	146	40	0	False
30	57	432	506	146	146	40	0	False
30	58	433	506	146	146	40	0	False
30	59	434	506	146	146	40	0	False
30	75	450	506	110	110	114	0	False
30	76	451	506	110	110	114	0	False
30	77	452	506	110	110	114	0	False
31	24	399	507	110	110	118	0	False
31	25	400	507	110	110	118	0	False
31	26	401	507	110	110	118	0	False
31	27	402	507	26	26	171	0	False
31	33	408	507	54	54	14	0	False
31	34	409	507	54	54	14	0	False
31	35	410	507	54	54	14	0	False
31	36	411	507	54	54	14	0	False
31	42	417	507	146	146	42	0	False
31	43	418	507	146	146	42	0	False
31	44	419	507	146	146	42	0	False
31	45	420	507	146	146	42	0	False
31	46	421	507	146	146	42	0	False
31	47	422	507	146	146	42	0	False
31	48	423	507	146	146	42	0	False
31	53	428	507	146	146	40	0	False
31	54	429	507	146	146	40	0	False
31	55	430	507	146	146	40	0	False
31	56	431	507	146	146	40	0	False
31	57	432	507	146	146	40	0	False
31	58	433	507	146	146	40	0	False
31	59	434	507	146	146	40	0	False
31	66	441	507	54	54	13	0	False
31	67	442	507	54	54	13	0	False
31	68	443	507	54	54	13	0	False
31	69	444	507	54	54	13	0	False
31	74	449	507	26	26	138	0	False
31	75	450	507	110	110	114	0	False
31	76	451	507	110	110	114	0	False
31	77	452	507	110	110	114	0	False
32	24	399	508	110	110	118	0	False
32	25	400	508	110	110	118	0	False
32	26	401	508	110	110	118	0	False
32	27	402	508	25	25	117	0	False
32	28	403	508	26	26	171	0	False
32	33	408	508	54	54	14	0	False
32	34	409	508	54	54	14	0	False
32	35	410	508	54	54	14	0	False
32	36	411	508	54	54	14	0	False
32	40	415	508	26	26	172	0	False
32	41	416	508	26	26	173	0	False
32	42	417	508	146	146	42	0	False
32	43	418	508	146	146	42	0	False
32	44	419	508	146	146	42	0	False
32	45	420	508	146	146	42	0	False
32	46	421	508	146	146	42	0	False
32	47	422	508	146	146	42	0	False
32	48	423	508	146	146	42	0	False
32	49	424	508	26	26	174	0	False
32	50	425	508	26	26	174	0	False
32	51	426	508	26	26	174	0	False
32	52	427	508	26	26	174	0	False
32	53	428	508	146	146	40	0	False
32	54	429	508	146	146	40	0	False
32	55	430	508	146	146	40	0	False
32	56	431	508	146	146	40	0	False
32	57	432	508	146	146	40	0	False
32	58	433	508	146	146	40	0	False
32	59	434	508	146	146	40	0	False
32	60	435	508	26	26	140	0	False
32	61	436	508	26	26	139	0	False
32	66	441	508	54	54	13	0	False
32	67	442	508	54	54	13	0	False
32	68	443	508	54	54	13	0	False
32	69	444	508	54	54	13	0	False
32	73	448	508	26	26	138	0	False
32	74	449	508	25	25	113	0	False
32	75	450	508	110	110	114	0	False
32	76	451	508	110	110	114	0	False
32	77	452	508	110	110	114	0	False
33	25	400	509	26	26	170	0	False
33	26	401	509	25	25	116	0	False
33	27	402	509	25	25	115	0	False
33	28	403	509	25	25	117	0	False
33	29	404	509	26	26	171	0	False
33	33	408	509	54	54	14	1	True
33	34	409	509	54	54	14	0	False
33	35	410	509	54	54	14	0	False
33	36	411	509	54	54	14	0	False
33	39	414	509	26	26	172	0	False
33	40	415	509	25	25	75	0	False
33	41	416	509	25	25	76	0	False
33	42	417	509	146	146	42	0	False
33	43	418	509	146	146	42	0	False
33	44	419	509	146	146	42	0	False
33	45	420	509	146	146	42	0	False
33	46	421	509	146	146	42	0	False
