# capturedAtLocal=2026-09-24T17:26:15.6599287+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel1.aivjson
# aivJsonSha256=2965e5952a8b14dd373d05084628ded036ecc933fd2f39b5e4c6cd4df62b7c9d
# orientation=0
# originX=463
# originY=309
# keepX=506
# keepY=352
# evaluatedCells=2249
# nativeBlockedCells=273
# resultGridBlockedCells=273
# validatorCalls=2249
# validatorBlockedCells=273
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
24	17	480	333	26	26	98	0	False
24	18	481	333	26	26	98	0	False
24	19	482	333	26	26	98	0	False
24	20	483	333	26	26	98	0	False
24	21	484	333	26	26	98	0	False
24	22	485	333	26	26	98	0	False
24	23	486	333	26	26	98	0	False
24	24	487	333	26	26	98	0	False
24	25	488	333	26	26	98	0	False
24	26	489	333	26	26	98	0	False
24	27	490	333	26	26	98	0	False
24	28	491	333	26	26	98	0	False
24	29	492	333	26	26	98	0	False
24	30	493	333	26	26	98	0	False
24	31	494	333	26	26	98	0	False
24	32	495	333	26	26	98	0	False
24	33	496	333	26	26	98	0	False
24	34	497	333	26	26	98	0	False
24	35	498	333	26	26	98	0	False
24	36	499	333	26	26	98	0	False
24	37	500	333	26	26	98	0	False
24	38	501	333	26	26	98	0	False
24	39	502	333	26	26	98	0	False
24	40	503	333	26	26	98	0	False
24	41	504	333	26	26	98	0	False
24	42	505	333	26	26	100	0	False
25	17	480	334	26	26	97	0	False
25	18	481	334	25	25	91	0	False
25	19	482	334	25	25	91	0	False
25	20	483	334	25	25	91	0	False
25	21	484	334	25	25	91	0	False
25	22	485	334	25	25	91	0	False
25	23	486	334	25	25	91	0	False
25	24	487	334	25	25	91	0	False
25	25	488	334	25	25	91	0	False
25	26	489	334	25	25	91	0	False
25	27	490	334	25	25	91	0	False
25	28	491	334	25	25	91	0	False
25	29	492	334	25	25	91	0	False
25	30	493	334	25	25	91	0	False
25	31	494	334	25	25	91	0	False
25	32	495	334	25	25	91	0	False
25	33	496	334	25	25	91	0	False
25	34	497	334	25	25	91	0	False
25	35	498	334	25	25	91	0	False
25	36	499	334	25	25	91	0	False
25	37	500	334	25	25	91	0	False
25	38	501	334	25	25	91	0	False
25	39	502	334	25	25	91	0	False
25	40	503	334	25	25	91	0	False
25	41	504	334	25	25	92	0	False
25	42	505	334	26	26	100	0	False
26	17	480	335	26	26	97	0	False
26	18	481	335	25	25	89	0	False
26	19	482	335	25	25	71	0	False
26	20	483	335	25	25	71	0	False
26	21	484	335	25	25	71	0	False
26	22	485	335	25	25	71	0	False
26	23	486	335	25	25	71	0	False
26	24	487	335	25	25	71	0	False
26	25	488	335	25	25	71	0	False
26	26	489	335	25	25	71	0	False
26	27	490	335	25	25	71	0	False
26	28	491	335	25	25	71	0	False
26	29	492	335	25	25	71	0	False
26	30	493	335	25	25	71	0	False
26	31	494	335	25	25	71	0	False
26	32	495	335	25	25	71	0	False
26	33	496	335	25	25	71	0	False
26	34	497	335	25	25	71	0	False
26	35	498	335	25	25	71	0	False
26	36	499	335	25	25	71	0	False
26	37	500	335	25	25	71	0	False
26	38	501	335	25	25	71	0	False
26	39	502	335	25	25	71	0	False
26	40	503	335	25	25	71	0	False
26	41	504	335	25	25	92	0	False
26	42	505	335	26	26	100	0	False
27	17	480	336	26	26	97	0	False
27	18	481	336	25	25	89	0	False
27	19	482	336	25	25	70	0	False
27	20	483	336	25	25	7	0	False
27	21	484	336	25	25	8	0	False
27	22	485	336	25	25	8	0	False
27	23	486	336	25	25	8	0	False
