# capturedAtLocal=2026-09-24T17:26:17.8699597+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=8
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad7.aivjson
# aivJsonSha256=48f6c0603de610ce1c27493352e3b83d1ff506672799da92709aa7ee2becaf14
# orientation=6
# originX=492
# originY=353
# keepX=535
# keepY=396
# evaluatedCells=608
# nativeBlockedCells=26
# resultGridBlockedCells=26
# validatorCalls=608
# validatorBlockedCells=26
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
30	63	555	383	46	46	27	0	False
30	64	556	383	98	98	59	0	False
30	66	558	383	98	98	51	0	False
30	67	559	383	46	46	36	0	False
31	63	555	384	46	46	27	0	False
31	65	557	384	98	98	50	0	False
31	67	559	384	46	46	36	0	False
32	63	555	385	46	46	27	0	False
32	64	556	385	98	98	49	0	False
32	66	558	385	98	98	60	0	False
32	67	559	385	46	46	36	0	False
33	63	555	386	46	46	27	0	False
33	65	557	386	98	98	48	0	False
33	67	559	386	46	46	36	0	False
34	63	555	387	46	46	27	0	False
34	64	556	387	98	98	61	0	False
34	66	558	387	98	98	47	0	False
34	67	559	387	46	46	36	0	False
35	63	555	388	46	46	27	0	False
35	65	557	388	98	98	46	0	False
35	67	559	388	46	46	36	0	False
36	37	529	389	46	46	29	1	True
36	38	530	389	46	46	35	1	True
36	39	531	389	46	46	12	1	True
36	40	532	389	46	46	12	1	True
36	41	533	389	46	46	12	1	True
36	42	534	389	46	46	12	1	True
36	43	535	389	46	46	12	1	True
36	44	536	389	46	46	12	1	True
36	45	537	389	46	46	12	1	True
36	46	538	389	46	46	12	0	False
36	47	539	389	46	46	12	0	False
36	48	540	389	46	46	12	0	False
36	49	541	389	46	46	12	0	False
36	50	542	389	46	46	12	0	False
36	51	543	389	46	46	12	0	False
36	52	544	389	46	46	12	0	False
36	53	545	389	46	46	12	0	False
36	54	546	389	46	46	12	0	False
36	55	547	389	46	46	9	0	False
36	56	548	389	46	46	9	0	False
36	57	549	389	46	46	9	0	False
36	58	550	389	46	46	9	0	False
36	59	551	389	46	46	9	0	False
36	60	552	389	46	46	9	0	False
36	61	553	389	46	46	26	0	False
36	62	554	389	46	46	27	0	False
36	63	555	389	98	98	70	0	False
36	64	556	389	98	98	69	0	False
36	66	558	389	98	98	68	0	False
36	67	559	389	98	98	71	0	False
36	68	560	389	46	46	10	0	False
37	37	529	390	46	46	29	1	True
37	38	530	390	183	183	39	1	True
