# capturedAtLocal=2026-09-24T17:24:22.6297715+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad7.aivjson
# aivJsonSha256=48f6c0603de610ce1c27493352e3b83d1ff506672799da92709aa7ee2becaf14
# keepX=535
# keepY=396
# captureSequence=7
# playerId=8
# frameCount=115
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=893
# buildingRecordChanges=75
# beforeCaptureMilliseconds=885,1
# afterCaptureMilliseconds=1133,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T17:24:22.6297715+02:00	2026-09-24T17:24:22.6372795+02:00	42	0	7	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
2	2026-09-24T17:24:22.6463244+02:00	2026-09-24T17:24:22.6543388+02:00	42	1	7	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
3	2026-09-24T17:24:22.6643540+02:00	2026-09-24T17:24:22.6713829+02:00	42	2	7	80	False	1	0	1	159335	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
4	2026-09-24T17:24:22.6813951+02:00	2026-09-24T17:24:22.6897327+02:00	42	3	7	52	True	1	0	1	158547	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
5	2026-09-24T17:24:22.7012781+02:00	2026-09-24T17:24:22.7092865+02:00	42	4	7	79	False	1	0	1	168046	0	1	0	0x7FFAB49AEDB0	True	0	49	0	49	
6	2026-09-24T17:24:22.7183057+02:00	2026-09-24T17:24:22.7263154+02:00	42	5	7	77	False	1	0	1	157758	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
7	2026-09-24T17:24:22.7358260+02:00	2026-09-24T17:24:22.7438400+02:00	42	6	7	54	False	1	0	1	153802	0	1	0	0x7FFAB49AEDB0	True	0	36	0	36	
8	2026-09-24T17:24:22.7533633+02:00	2026-09-24T17:24:22.7618731+02:00	42	7	7	54	False	1	0	1	153807	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
9	2026-09-24T17:24:22.7744663+02:00	2026-09-24T17:24:22.7831706+02:00	42	8	7	46	False	1	0	6	44	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
10	2026-09-24T17:24:22.7991960+02:00	2026-09-24T17:24:22.8067040+02:00	42	9	7	46	False	1	0	6	81	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
11	2026-09-24T17:24:22.8165858+02:00	2026-09-24T17:24:22.8236003+02:00	42	10	7	46	False	1	0	4	51	0	1	1	0x7FFAB49AEDB0	True	0	9	0	9	
12	2026-09-24T17:24:22.8336472+02:00	2026-09-24T17:24:22.8416521+02:00	42	11	7	46	False	1	0	17	0	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
13	2026-09-24T17:24:22.8506685+02:00	2026-09-24T17:24:22.8591836+02:00	42	12	7	46	False	1	0	16	87	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
14	2026-09-24T17:24:22.8692214+02:00	2026-09-24T17:24:22.8769015+02:00	42	13	7	54	False	1	0	1	153812	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
15	2026-09-24T17:24:22.8864105+02:00	2026-09-24T17:24:22.8945023+02:00	42	14	7	46	False	1	0	15	17	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
16	2026-09-24T17:24:22.9045227+02:00	2026-09-24T17:24:22.9118014+02:00	42	15	7	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
17	2026-09-24T17:24:22.9218221+02:00	2026-09-24T17:24:22.9298419+02:00	42	16	7	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
18	2026-09-24T17:24:22.9393517+02:00	2026-09-24T17:24:22.9468611+02:00	42	17	7	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
19	2026-09-24T17:24:22.9568785+02:00	2026-09-24T17:24:22.9646339+02:00	42	18	7	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
