# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=8
# keepX=424
# keepY=668
# nativeOrientation=0
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad7.aivjson
# aivJsonSha256=48f6c0603de610ce1c27493352e3b83d1ff506672799da92709aa7ee2becaf14
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=9.156
# afterScanMilliseconds=11.923
# changedLayerCells=266
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
423	667	303134	logic2	4	2
424	668	303400	logic	32768	268468224
424	668	303400	buildingId	0	66
425	668	303401	logic	32768	268468224
425	668	303401	buildingId	0	66
426	668	303402	logic	32768	268468224
426	668	303402	buildingId	0	66
427	668	303403	logic	32768	268468224
427	668	303403	buildingId	0	66
428	668	303404	logic	32768	268468224
428	668	303404	buildingId	0	66
429	668	303405	logic	0	268435456
429	668	303405	buildingId	0	66
430	668	303406	logic	0	268435456
430	668	303406	buildingId	0	66
436	668	303412	logic2	4	2
424	669	303663	logic	32768	268468224
424	669	303663	buildingId	0	66
425	669	303664	logic	32768	268468224
425	669	303664	buildingId	0	66
426	669	303665	logic	32768	268468224
426	669	303665	buildingId	0	66
427	669	303666	logic	32768	268468224
427	669	303666	buildingId	0	66
428	669	303667	logic	32768	268468224
428	669	303667	buildingId	0	66
429	669	303668	logic	0	268435456
429	669	303668	buildingId	0	66
430	669	303669	logic	0	268435456
430	669	303669	buildingId	0	66
436	669	303675	logic2	4	2
424	670	303924	logic	32768	268468224
424	670	303924	buildingId	0	66
425	670	303925	logic	32768	268468224
425	670	303925	buildingId	0	66
426	670	303926	logic	32768	268468224
426	670	303926	buildingId	0	66
427	670	303927	logic	32768	268468224
427	670	303927	buildingId	0	66
428	670	303928	logic	32768	268468224
428	670	303928	buildingId	0	66
429	670	303929	logic	0	268435456
429	670	303929	buildingId	0	66
430	670	303930	logic	0	268435456
430	670	303930	buildingId	0	66
431	670	303931	logic	32768	34050
431	670	303931	buildingId	0	71
431	670	303931	height	80	90
432	670	303932	logic	32768	34050
432	670	303932	buildingId	0	71
432	670	303932	height	80	90
433	670	303933	logic	32768	33026
433	670	303933	height	80	90
434	670	303934	logic	0	1282
434	670	303934	buildingId	0	72
434	670	303934	height	80	90
435	670	303935	logic	0	1282
435	670	303935	buildingId	0	72
435	670	303935	height	80	90
435	670	303935	wallOwner	0	7
436	670	303936	logic2	4	2
424	671	304183	logic	32768	268468224
424	671	304183	buildingId	0	66
425	671	304184	logic	32768	268468224
425	671	304184	buildingId	0	66
426	671	304185	logic	32768	268468224
426	671	304185	buildingId	0	66
427	671	304186	logic	32768	268468224
427	671	304186	buildingId	0	66
428	671	304187	logic	32768	268468224
428	671	304187	buildingId	0	66
429	671	304188	logic	0	268435456
429	671	304188	buildingId	0	66
430	671	304189	logic	0	268435456
430	671	304189	buildingId	0	66
431	671	304190	logic	32768	34050
431	671	304190	buildingId	0	71
431	671	304190	height	80	90
432	671	304191	logic	32768	34050
432	671	304191	buildingId	0	71
432	671	304191	height	80	90
433	671	304192	logic	32768	33026
433	671	304192	height	80	90
434	671	304193	logic	0	1282
434	671	304193	buildingId	0	72
434	671	304193	height	80	90
435	671	304194	logic	0	1282
435	671	304194	buildingId	0	72
435	671	304194	height	80	90
435	671	304194	wallOwner	0	7
436	671	304195	logic2	4	2
424	672	304440	logic	32768	268468224
424	672	304440	buildingId	0	66
425	672	304441	logic	32768	268468224
425	672	304441	buildingId	0	66
