# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=4
# keepX=532
# keepY=281
# nativeOrientation=4
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=4
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=0
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=0
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.329
# afterScanMilliseconds=9.722
# changedLayerCells=437
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
532	267	71956	logic2	0	2
533	267	71957	logic2	0	2
534	267	71958	logic2	0	2
535	267	71959	logic2	0	2
536	267	71960	logic2	0	2
537	267	71961	logic2	0	2
538	267	71962	logic2	0	2
532	268	72493	logic2	0	2
533	268	72494	logic2	0	2
534	268	72495	logic2	0	2
535	268	72496	logic2	0	2
536	268	72497	logic2	0	2
537	268	72498	logic2	0	2
538	268	72499	logic2	0	2
539	268	72500	logic2	0	2
533	269	73033	logic2	0	2
534	269	73034	logic2	0	2
535	269	73035	logic2	0	2
536	269	73036	logic2	0	2
537	269	73037	logic2	0	2
538	269	73038	logic2	0	2
539	269	73039	logic2	0	2
540	269	73040	logic2	0	2
534	270	73575	logic2	0	2
535	270	73576	logic2	0	2
536	270	73577	logic2	0	2
537	270	73578	logic2	0	2
538	270	73579	logic2	0	2
539	270	73580	logic2	0	2
540	270	73581	logic2	0	2
541	270	73582	logic2	0	2
535	271	74119	logic2	0	2
536	271	74120	logic2	0	2
537	271	74121	logic2	0	2
538	271	74122	logic2	0	2
539	271	74123	logic2	0	2
540	271	74124	logic2	0	2
541	271	74125	logic2	0	2
542	271	74126	logic2	0	2
536	272	74665	logic2	0	2
537	272	74666	logic2	0	2
538	272	74667	logic2	0	2
539	272	74668	logic2	0	2
540	272	74669	logic2	0	2
541	272	74670	logic2	0	2
542	272	74671	logic2	0	2
543	272	74672	logic2	0	2
532	273	75208	buildingId	0	34
533	273	75209	buildingId	0	34
