# capturedAtLocal=2026-09-24T17:20:04.3988234+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nizar1.aivjson
# aivJsonSha256=428f5c5d375a65600eb61e1b283af6cd2f5c2b1a53aecf03f5fdfe0702c5f9d5
# keepX=241
# keepY=274
# captureSequence=1
# playerId=2
# frameCount=335
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=7851
# buildingRecordChanges=238
# beforeCaptureMilliseconds=2462,6
# afterCaptureMilliseconds=3142,2
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T17:20:04.3988234+02:00	2026-09-24T17:20:04.4083316+02:00	8	0	1	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
2	2026-09-24T17:20:04.4200517+02:00	2026-09-24T17:20:04.4275627+02:00	8	1	1	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
3	2026-09-24T17:20:04.4370490+02:00	2026-09-24T17:20:04.4445562+02:00	8	2	1	52	True	1	0	1	79367	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
4	2026-09-24T17:20:04.4540624+02:00	2026-09-24T17:20:04.4610623+02:00	8	3	1	52	True	1	0	1	79362	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
5	2026-09-24T17:20:04.4715699+02:00	2026-09-24T17:20:04.4790763+02:00	8	4	1	80	False	1	0	1	72740	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
6	2026-09-24T17:20:04.4895880+02:00	2026-09-24T17:20:04.4970497+02:00	8	5	1	54	False	1	0	1	66399	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
7	2026-09-24T17:20:04.5065583+02:00	2026-09-24T17:20:04.5150305+02:00	8	6	1	54	False	1	0	1	68479	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
8	2026-09-24T17:20:04.5240188+02:00	2026-09-24T17:20:04.5325213+02:00	8	7	1	54	False	1	0	1	66395	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
9	2026-09-24T17:20:04.5410307+02:00	2026-09-24T17:20:04.5495383+02:00	8	8	1	54	False	1	0	1	68475	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
10	2026-09-24T17:20:04.5590424+02:00	2026-09-24T17:20:04.5665516+02:00	8	9	1	54	False	1	0	1	90453	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
