# capturedAtLocal=2026-09-24T17:20:10.0551292+02:00
# mapLoadSequence=2
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\wolf8.aivjson
# aivJsonSha256=0e59ca19225bfa86472a4b2a939ac8c97a1d6301e0fcc00b36cb998dd36eedd2
# keepX=254
# keepY=580
# captureSequence=2
# playerId=3
# frameCount=337
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=1
# layerChanges=3543
# buildingRecordChanges=295
# beforeCaptureMilliseconds=2432,6
# afterCaptureMilliseconds=3116,1
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T17:20:10.0551292+02:00	2026-09-24T17:20:10.0611298+02:00	9	0	2	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
2	2026-09-24T17:20:10.0706368+02:00	2026-09-24T17:20:10.0776468+02:00	9	1	2	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
3	2026-09-24T17:20:10.0871271+02:00	2026-09-24T17:20:10.0936327+02:00	9	2	2	52	True	1	0	1	275292	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
4	2026-09-24T17:20:10.1026333+02:00	2026-09-24T17:20:10.1091393+02:00	9	3	2	80	False	1	0	1	278212	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
5	2026-09-24T17:20:10.1216449+02:00	2026-09-24T17:20:10.1291505+02:00	9	4	2	81	False	1	0	1	276127	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
6	2026-09-24T17:20:10.1456685+02:00	2026-09-24T17:20:10.1541737+02:00	9	5	2	87	False	1	0	1	272271	0	1	1	0x7FFAB49AEDB0	True	100	0	0	100	
7	2026-09-24T17:20:10.1636809+02:00	2026-09-24T17:20:10.1701875+02:00	9	6	2	86	False	1	0	1	272234	0	1	1	0x7FFAB49AEDB0	True	100	0	0	100	
8	2026-09-24T17:20:10.1791998+02:00	2026-09-24T17:20:10.1867071+02:00	9	7	2	54	False	1	0	1	281456	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
9	2026-09-24T17:20:10.1952139+02:00	2026-09-24T17:20:10.2027157+02:00	9	8	2	54	False	1	0	1	283024	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
10	2026-09-24T17:20:10.2117195+02:00	2026-09-24T17:20:10.2191334+02:00	9	9	2	54	False	1	0	1	281460	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
11	2026-09-24T17:20:10.2276388+02:00	2026-09-24T17:20:10.2356349+02:00	9	10	2	54	False	1	0	1	283011	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
12	2026-09-24T17:20:10.2441297+02:00	2026-09-24T17:20:10.2511295+02:00	9	11	2	54	False	1	0	1	283015	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
13	2026-09-24T17:20:10.2606371+02:00	2026-09-24T17:20:10.2681410+02:00	9	12	2	54	False	1	0	1	281447	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
14	2026-09-24T17:20:10.2771554+02:00	2026-09-24T17:20:10.2846666+02:00	9	13	2	54	False	1	0	1	281443	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
15	2026-09-24T17:20:10.2926670+02:00	2026-09-24T17:20:10.3011316+02:00	9	14	2	54	False	1	0	1	281439	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
16	2026-09-24T17:20:10.3096392+02:00	2026-09-24T17:20:10.3171316+02:00	9	15	2	54	False	1	0	1	283028	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
17	2026-09-24T17:20:10.3266407+02:00	2026-09-24T17:20:10.3336585+02:00	9	16	2	54	False	1	0	1	283007	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
18	2026-09-24T17:20:10.3426586+02:00	2026-09-24T17:20:10.3501306+02:00	9	17	2	330	False	1	0	1	271823	0	1	1	0x7FFAB49AEDB0	True	9	0	0	9	
19	2026-09-24T17:20:10.3596370+02:00	2026-09-24T17:20:10.3661433+02:00	9	18	2	77	False	1	0	1	271807	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
20	2026-09-24T17:20:10.3756506+02:00	2026-09-24T17:20:10.3826607+02:00	9	19	2	76	False	1	0	1	277813	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
21	2026-09-24T17:20:10.3916646+02:00	2026-09-24T17:20:10.4001727+02:00	9	20	2	330	False	1	0	1	278627	0	1	1	0x7FFAB49AEDB0	True	9	0	0	9	
22	2026-09-24T17:20:10.4081946+02:00	2026-09-24T17:20:10.4147011+02:00	9	21	2	144	False	1	0	1	278630	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
23	2026-09-24T17:20:10.4242091+02:00	2026-09-24T17:20:10.4312145+02:00	9	22	2	25	False	1	0	8	652	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
24	2026-09-24T17:20:10.4407267+02:00	2026-09-24T17:20:10.4482336+02:00	9	23	2	25	False	1	0	8	644	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
25	2026-09-24T17:20:10.4567431+02:00	2026-09-24T17:20:10.4642516+02:00	9	24	2	25	False	1	0	20	545	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
26	2026-09-24T17:20:10.4737654+02:00	2026-09-24T17:20:10.4812746+02:00	9	25	2	25	False	1	0	20	584	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
27	2026-09-24T17:20:10.4907825+02:00	2026-09-24T17:20:10.4981381+02:00	9	26	2	25	False	1	0	19	565	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
28	2026-09-24T17:20:10.5076456+02:00	2026-09-24T17:20:10.5151492+02:00	9	27	2	25	False	1	0	3	498	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
29	2026-09-24T17:20:10.5236552+02:00	2026-09-24T17:20:10.5316553+02:00	9	28	2	25	False	1	0	4	476	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
30	2026-09-24T17:20:10.5406651+02:00	2026-09-24T17:20:10.5481698+02:00	9	29	2	25	False	1	0	4	501	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
31	2026-09-24T17:20:10.5576756+02:00	2026-09-24T17:20:10.5647366+02:00	9	30	2	25	False	1	0	5	391	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
32	2026-09-24T17:20:10.5740738+02:00	2026-09-24T17:20:10.5815793+02:00	9	31	2	25	False	1	0	5	505	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
33	2026-09-24T17:20:10.5900861+02:00	2026-09-24T17:20:10.5981382+02:00	9	32	2	92	False	1	0	1	284547	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
34	2026-09-24T17:20:10.6076446+02:00	2026-09-24T17:20:10.6151505+02:00	9	33	2	113	False	1	0	1	267310	0	1	1	0x7FFAB49AEDB0	True	36	0	0	36	
35	2026-09-24T17:20:10.6236574+02:00	2026-09-24T17:20:10.6306574+02:00	9	34	2	25	False	1	0	3	489	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
36	2026-09-24T17:20:10.6396771+02:00	2026-09-24T17:20:10.6471828+02:00	9	35	2	25	False	1	0	4	472	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
37	2026-09-24T17:20:10.6566926+02:00	2026-09-24T17:20:10.6642013+02:00	9	36	2	25	False	1	0	4	485	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
38	2026-09-24T17:20:10.6737069+02:00	2026-09-24T17:20:10.6809709+02:00	9	37	2	25	False	1	0	5	374	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
39	2026-09-24T17:20:10.6900167+02:00	2026-09-24T17:20:10.6975239+02:00	9	38	2	25	False	1	0	5	480	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
40	2026-09-24T17:20:10.7070289+02:00	2026-09-24T17:20:10.7145347+02:00	9	39	2	113	False	1	0	1	267277	0	1	1	0x7FFAB49AEDB0	True	36	0	0	36	
41	2026-09-24T17:20:10.7230378+02:00	2026-09-24T17:20:10.7310419+02:00	9	40	2	106	False	1	0	76	396	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
42	2026-09-24T17:20:10.7400653+02:00	2026-09-24T17:20:10.7475724+02:00	9	41	2	88	False	1	0	1	276571	0	1	1	0x7FFAB49AEDB0	True	50	0	0	50	
43	2026-09-24T17:20:10.7570798+02:00	2026-09-24T17:20:10.7645866+02:00	9	42	2	180	False	1	0	1	276534	0	1	1	0x7FFAB49AEDB0	True	32	0	0	32	
44	2026-09-24T17:20:10.7730890+02:00	2026-09-24T17:20:10.7805998+02:00	9	43	2	95	False	1	0	1	276538	0	1	1	0x7FFAB49AEDB0	True	36	0	0	36	
45	2026-09-24T17:20:10.7901066+02:00	2026-09-24T17:20:10.7976133+02:00	9	44	2	83	False	1	0	1	281465	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
46	2026-09-24T17:20:10.8071192+02:00	2026-09-24T17:20:10.8146253+02:00	9	45	2	84	False	1	0	1	283033	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
47	2026-09-24T17:20:10.8231297+02:00	2026-09-24T17:20:10.8311312+02:00	9	46	2	85	False	1	0	1	279431	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
48	2026-09-24T17:20:10.8396376+02:00	2026-09-24T17:20:10.8471415+02:00	9	47	2	50	False	1	0	1	281429	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
49	2026-09-24T17:20:10.8566484+02:00	2026-09-24T17:20:10.8641537+02:00	9	48	2	82	False	1	0	1	282997	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
50	2026-09-24T17:20:10.8736612+02:00	2026-09-24T17:20:10.8811659+02:00	9	49	2	177	False	1	0	1	281452	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
51	2026-09-24T17:20:10.8906729+02:00	2026-09-24T17:20:10.8971781+02:00	9	50	2	177	False	1	0	1	282631	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
52	2026-09-24T17:20:10.9066859+02:00	2026-09-24T17:20:10.9141921+02:00	9	51	2	177	False	1	0	1	283792	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
53	2026-09-24T17:20:10.9227012+02:00	2026-09-24T17:20:10.9292063+02:00	9	52	2	176	False	1	0	1	267285	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
54	2026-09-24T17:20:10.9372159+02:00	2026-09-24T17:20:10.9447257+02:00	9	53	2	176	False	1	0	1	267306	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
55	2026-09-24T17:20:10.9532300+02:00	2026-09-24T17:20:10.9602316+02:00	9	54	2	176	False	1	0	1	267304	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
56	2026-09-24T17:20:10.9697376+02:00	2026-09-24T17:20:10.9762433+02:00	9	55	2	176	False	1	0	1	267287	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
57	2026-09-24T17:20:10.9852576+02:00	2026-09-24T17:20:10.9927605+02:00	9	56	2	176	False	1	0	1	267302	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
58	2026-09-24T17:20:11.0017648+02:00	2026-09-24T17:20:11.0092713+02:00	9	57	2	176	False	1	0	1	267289	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
59	2026-09-24T17:20:11.0187768+02:00	2026-09-24T17:20:11.0252830+02:00	9	58	2	176	False	1	0	1	267300	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
60	2026-09-24T17:20:11.0347918+02:00	2026-09-24T17:20:11.0417899+02:00	9	59	2	176	False	1	0	1	267291	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
61	2026-09-24T17:20:11.0512964+02:00	2026-09-24T17:20:11.0578042+02:00	9	60	2	176	False	1	0	1	267298	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
62	2026-09-24T17:20:11.0671400+02:00	2026-09-24T17:20:11.0746435+02:00	9	61	2	176	False	1	0	1	267293	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
63	2026-09-24T17:20:11.0835299+02:00	2026-09-24T17:20:11.0915313+02:00	9	62	2	92	False	1	0	1	273992	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
64	2026-09-24T17:20:11.1000395+02:00	2026-09-24T17:20:11.1081405+02:00	9	63	2	26	False	1	0	6	385	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
65	2026-09-24T17:20:11.1166452+02:00	2026-09-24T17:20:11.1237942+02:00	9	64	2	26	False	1	0	6	379	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
66	2026-09-24T17:20:11.1333034+02:00	2026-09-24T17:20:11.1403102+02:00	9	65	2	26	False	1	0	3	492	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
67	2026-09-24T17:20:11.1498166+02:00	2026-09-24T17:20:11.1563228+02:00	9	66	2	26	False	1	0	3	495	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
68	2026-09-24T17:20:11.1658299+02:00	2026-09-24T17:20:11.1728302+02:00	9	67	2	26	False	1	0	17	525	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
69	2026-09-24T17:20:11.1818434+02:00	2026-09-24T17:20:11.1883048+02:00	9	68	2	26	False	1	0	6	510	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
70	2026-09-24T17:20:11.1978112+02:00	2026-09-24T17:20:11.2043166+02:00	9	69	2	26	False	1	0	3	522	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
71	2026-09-24T17:20:11.2128201+02:00	2026-09-24T17:20:11.2198243+02:00	9	70	2	26	False	1	0	6	516	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
72	2026-09-24T17:20:11.2293290+02:00	2026-09-24T17:20:11.2363441+02:00	9	71	2	26	False	1	0	3	542	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
73	2026-09-24T17:20:11.2448525+02:00	2026-09-24T17:20:11.2528522+02:00	9	72	2	26	False	1	0	20	624	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
74	2026-09-24T17:20:11.2613064+02:00	2026-09-24T17:20:11.2698156+02:00	9	73	2	26	False	1	0	20	604	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
75	2026-09-24T17:20:11.2788317+02:00	2026-09-24T17:20:11.2863167+02:00	9	74	2	330	False	1	0	1	284943	0	1	1	0x7FFAB49AEDB0	True	9	0	0	9	
76	2026-09-24T17:20:11.2948241+02:00	2026-09-24T17:20:11.3018237+02:00	9	75	2	26	False	1	0	8	660	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
77	2026-09-24T17:20:11.3113300+02:00	2026-09-24T17:20:11.3188364+02:00	9	76	2	26	False	1	0	8	668	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
78	2026-09-24T17:20:11.3271454+02:00	2026-09-24T17:20:11.3341596+02:00	9	77	2	83	False	1	0	1	281434	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
79	2026-09-24T17:20:11.3436716+02:00	2026-09-24T17:20:11.3506714+02:00	9	78	2	92	False	1	0	1	277779	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
80	2026-09-24T17:20:11.3600830+02:00	2026-09-24T17:20:11.3663686+02:00	9	79	2	84	False	1	0	1	283002	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
81	2026-09-24T17:20:11.3758762+02:00	2026-09-24T17:20:11.3828857+02:00	9	80	2	50	False	1	0	1	281470	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
82	2026-09-24T17:20:11.3918896+02:00	2026-09-24T17:20:11.3983960+02:00	9	81	2	82	False	1	0	1	283038	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
83	2026-09-24T17:20:11.4079034+02:00	2026-09-24T17:20:11.4141120+02:00	9	82	2	85	False	1	0	1	276996	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
84	2026-09-24T17:20:11.4256177+02:00	2026-09-24T17:20:11.4316177+02:00	9	83	2	85	False	1	0	1	278652	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
85	2026-09-24T17:20:11.4416337+02:00	2026-09-24T17:20:11.4481394+02:00	9	84	2	98	False	1	0	1	280660	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
86	2026-09-24T17:20:11.4566473+02:00	2026-09-24T17:20:11.4641439+02:00	9	85	2	98	False	1	0	1	280659	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
87	2026-09-24T17:20:11.4736505+02:00	2026-09-24T17:20:11.4811574+02:00	9	86	2	98	False	1	0	1	280658	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
88	2026-09-24T17:20:11.4926644+02:00	2026-09-24T17:20:11.5001560+02:00	9	87	2	98	False	1	0	1	280657	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
89	2026-09-24T17:20:11.5186985+02:00	2026-09-24T17:20:11.5252047+02:00	9	88	2	98	False	1	0	1	280656	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
90	2026-09-24T17:20:11.5337116+02:00	2026-09-24T17:20:11.5392181+02:00	9	89	2	98	False	1	0	1	280654	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
91	2026-09-24T17:20:11.5487248+02:00	2026-09-24T17:20:11.5552300+02:00	9	90	2	98	False	1	0	1	280655	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
92	2026-09-24T17:20:11.5647380+02:00	2026-09-24T17:20:11.5707378+02:00	9	91	2	98	False	1	0	1	280653	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
93	2026-09-24T17:20:11.5797489+02:00	2026-09-24T17:20:11.5872560+02:00	9	92	2	98	False	1	0	1	281052	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
94	2026-09-24T17:20:11.5957617+02:00	2026-09-24T17:20:11.6027615+02:00	9	93	2	98	False	1	0	1	281053	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
95	2026-09-24T17:20:11.6111503+02:00	2026-09-24T17:20:11.6196558+02:00	9	94	2	98	False	1	0	1	281054	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
96	2026-09-24T17:20:11.6281619+02:00	2026-09-24T17:20:11.6361741+02:00	9	95	2	98	False	1	0	1	281055	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
97	2026-09-24T17:20:11.6446846+02:00	2026-09-24T17:20:11.6526841+02:00	9	96	2	98	False	1	0	1	281056	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
98	2026-09-24T17:20:11.6618167+02:00	2026-09-24T17:20:11.6683228+02:00	9	97	2	98	False	1	0	1	281057	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
99	2026-09-24T17:20:11.6768291+02:00	2026-09-24T17:20:11.6848425+02:00	9	98	2	98	False	1	0	1	281059	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
100	2026-09-24T17:20:11.6942373+02:00	2026-09-24T17:20:11.7012371+02:00	9	99	2	98	False	1	0	1	281058	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
101	2026-09-24T17:20:11.7103629+02:00	2026-09-24T17:20:11.7168690+02:00	9	100	2	98	False	1	0	1	281060	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
102	2026-09-24T17:20:11.7263743+02:00	2026-09-24T17:20:11.7338799+02:00	9	101	2	98	False	1	0	1	280661	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
103	2026-09-24T17:20:11.7428891+02:00	2026-09-24T17:20:11.7498927+02:00	9	102	2	98	False	1	0	1	266845	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
104	2026-09-24T17:20:11.7593992+02:00	2026-09-24T17:20:11.7669064+02:00	9	103	2	98	False	1	0	1	266846	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
105	2026-09-24T17:20:11.7754116+02:00	2026-09-24T17:20:11.7829181+02:00	9	104	2	98	False	1	0	1	266847	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
106	2026-09-24T17:20:11.7914238+02:00	2026-09-24T17:20:11.7989313+02:00	9	105	2	98	False	1	0	1	266848	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
107	2026-09-24T17:20:11.8084366+02:00	2026-09-24T17:20:11.8149446+02:00	9	106	2	98	False	1	0	1	266849	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
108	2026-09-24T17:20:11.8244494+02:00	2026-09-24T17:20:11.8314495+02:00	9	107	2	98	False	1	0	1	266851	0	1	1	0x7FFAB49AEDB0	True	1	0	0	1	
