# capturedAtLocal=2026-09-24T17:23:15.5667560+02:00
# mapLoadSequence=4
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Crater Lake.map
# mapFileSha256=c5d9906aa37ed96ec1cf9b3eb0c7f6fb5b3e1d8063167fe22337e69c153bb887
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=1
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir7.aivjson
# aivJsonSha256=ab15bd187a73c6091461d7d9fa282ad5a22dc4df42b43c46793aa2686616918b
# keepX=406
# keepY=121
# captureSequence=4
# playerId=5
# frameCount=157
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=3481
# buildingRecordChanges=60
# beforeCaptureMilliseconds=1218,1
# afterCaptureMilliseconds=1585,7
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T17:23:15.5667560+02:00	2026-09-24T17:23:15.5747686+02:00	25	0	4	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
2	2026-09-24T17:23:15.5837795+02:00	2026-09-24T17:23:15.5923008+02:00	25	1	4	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
3	2026-09-24T17:23:15.6028077+02:00	2026-09-24T17:23:15.6093141+02:00	25	2	4	52	True	1	0	1	15384	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
4	2026-09-24T17:23:15.6198212+02:00	2026-09-24T17:23:15.6283384+02:00	25	3	4	52	True	1	0	1	14169	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
5	2026-09-24T17:23:15.6378473+02:00	2026-09-24T17:23:15.6463693+02:00	25	4	4	80	False	1	0	1	18509	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
6	2026-09-24T17:23:15.6553817+02:00	2026-09-24T17:23:15.6633959+02:00	25	5	4	80	False	1	0	1	18513	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
7	2026-09-24T17:23:15.6744107+02:00	2026-09-24T17:23:15.6804191+02:00	25	6	4	77	False	1	0	1	13243	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
8	2026-09-24T17:23:15.6914826+02:00	2026-09-24T17:23:15.6994803+02:00	25	7	4	54	False	1	0	1	14626	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
9	2026-09-24T17:23:15.7089959+02:00	2026-09-24T17:23:15.7175033+02:00	25	8	4	54	False	1	0	1	13679	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
10	2026-09-24T17:23:15.7280200+02:00	2026-09-24T17:23:15.7355262+02:00	25	9	4	54	False	1	0	1	11662	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
11	2026-09-24T17:23:15.7460961+02:00	2026-09-24T17:23:15.7536115+02:00	25	10	4	54	False	1	0	1	11239	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
12	2026-09-24T17:23:15.7626246+02:00	2026-09-24T17:23:15.7716384+02:00	25	11	4	54	False	1	0	1	11906	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
13	2026-09-24T17:23:15.7811572+02:00	2026-09-24T17:23:15.7891715+02:00	25	12	4	54	False	1	0	1	11257	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
14	2026-09-24T17:23:15.7996777+02:00	2026-09-24T17:23:15.8076959+02:00	25	13	4	54	False	1	0	1	19894	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
15	2026-09-24T17:23:15.8172008+02:00	2026-09-24T17:23:15.8252151+02:00	25	14	4	54	False	1	0	1	20181	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
16	2026-09-24T17:23:15.8352271+02:00	2026-09-24T17:23:15.8438199+02:00	25	15	4	54	False	1	0	1	20186	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
17	2026-09-24T17:23:15.8534150+02:00	2026-09-24T17:23:15.8614277+02:00	25	16	4	86	False	1	0	1	21650	0	1	1	0x7FFAB49AEDB0	True	100	0	0	100	
18	2026-09-24T17:23:15.8719501+02:00	2026-09-24T17:23:15.8794977+02:00	25	17	4	81	False	1	0	1	17188	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
19	2026-09-24T17:23:15.8900366+02:00	2026-09-24T17:23:15.8975519+02:00	25	18	4	50	False	1	0	1	18252	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
20	2026-09-24T17:23:15.9076921+02:00	2026-09-24T17:23:15.9161985+02:00	25	19	4	87	False	1	0	1	20435	0	1	1	0x7FFAB49AEDB0	True	100	0	0	100	
21	2026-09-24T17:23:15.9262128+02:00	2026-09-24T17:23:15.9337462+02:00	25	20	4	88	False	1	0	1	17408	0	1	1	0x7FFAB49AEDB0	True	50	0	0	50	
22	2026-09-24T17:23:15.9447643+02:00	2026-09-24T17:23:15.9517790+02:00	25	21	4	74	False	1	0	1	18234	0	1	1	0x7FFAB49AEDB0	True	9	0	0	9	
23	2026-09-24T17:23:15.9624477+02:00	2026-09-24T17:23:15.9704563+02:00	25	22	4	75	False	1	0	1	15879	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
24	2026-09-24T17:23:15.9806931+02:00	2026-09-24T17:23:15.9887108+02:00	25	23	4	75	False	1	0	1	15875	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
25	2026-09-24T17:23:15.9997293+02:00	2026-09-24T17:23:16.0072453+02:00	25	24	4	75	False	1	0	1	15871	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
26	2026-09-24T17:23:16.0167782+02:00	2026-09-24T17:23:16.0246134+02:00	25	25	4	75	False	1	0	1	14887	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
27	2026-09-24T17:23:16.0346220+02:00	2026-09-24T17:23:16.0426558+02:00	25	26	4	75	False	1	0	1	14883	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
28	2026-09-24T17:23:16.0531624+02:00	2026-09-24T17:23:16.0608214+02:00	25	27	4	76	False	1	0	1	14662	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
29	2026-09-24T17:23:16.0708342+02:00	2026-09-24T17:23:16.0793455+02:00	25	28	4	92	False	1	0	1	19602	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
30	2026-09-24T17:23:16.0888687+02:00	2026-09-24T17:23:16.0973837+02:00	25	29	4	342	False	1	0	1	19598	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
31	2026-09-24T17:23:16.1068909+02:00	2026-09-24T17:23:16.1154874+02:00	25	30	4	25	False	1	0	5	389	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
32	2026-09-24T17:23:16.1255006+02:00	2026-09-24T17:23:16.1330063+02:00	25	31	4	25	False	1	0	10	288	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
33	2026-09-24T17:23:16.1430344+02:00	2026-09-24T17:23:16.1515429+02:00	25	32	4	25	False	1	0	6	220	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
34	2026-09-24T17:23:16.1615620+02:00	2026-09-24T17:23:16.1695625+02:00	25	33	4	25	False	1	0	5	394	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
35	2026-09-24T17:23:16.1790810+02:00	2026-09-24T17:23:16.1876043+02:00	25	34	4	25	False	1	0	12	246	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
36	2026-09-24T17:23:16.1981382+02:00	2026-09-24T17:23:16.2056446+02:00	25	35	4	25	False	1	0	5	226	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
37	2026-09-24T17:23:16.2161590+02:00	2026-09-24T17:23:16.2231719+02:00	25	36	4	25	False	1	0	7	173	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
38	2026-09-24T17:23:16.2336817+02:00	2026-09-24T17:23:16.2416953+02:00	25	37	4	25	False	1	0	10	141	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
39	2026-09-24T17:23:16.2522136+02:00	2026-09-24T17:23:16.2587216+02:00	25	38	4	25	False	1	0	4	137	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
40	2026-09-24T17:23:16.2697387+02:00	2026-09-24T17:23:16.2773782+02:00	25	39	4	25	False	1	0	6	131	0	1	1	0x7FFAB49AEDB0	True	0	0	0	0	
