# capturedAtLocal=2026-09-24T17:24:13.0888206+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal2.aivjson
# aivJsonSha256=08dafe266d71fcd88f105ebca4e0ea76b7c938430010d816e77f50fb8fae60b0
# keepX=377
# keepY=515
# captureSequence=3
# playerId=4
# frameCount=108
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=3612
# buildingRecordChanges=50
# beforeCaptureMilliseconds=816,1
# afterCaptureMilliseconds=1066,1
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T17:24:13.0888206+02:00	2026-09-24T17:24:13.0963294+02:00	38	0	3	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
2	2026-09-24T17:24:13.1063425+02:00	2026-09-24T17:24:13.1138649+02:00	38	1	3	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
3	2026-09-24T17:24:13.1233710+02:00	2026-09-24T17:24:13.1313855+02:00	38	2	3	80	False	1	0	1	240104	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
4	2026-09-24T17:24:13.1409011+02:00	2026-09-24T17:24:13.1484375+02:00	38	3	3	77	False	1	0	1	240108	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
5	2026-09-24T17:24:13.1589538+02:00	2026-09-24T17:24:13.1659671+02:00	38	4	3	52	True	1	0	1	240700	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
6	2026-09-24T17:24:13.1764894+02:00	2026-09-24T17:24:13.1834988+02:00	38	5	3	52	True	1	0	1	240705	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
7	2026-09-24T17:24:13.1930082+02:00	2026-09-24T17:24:13.2010150+02:00	38	6	3	54	False	1	0	1	249997	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
8	2026-09-24T17:24:13.2100415+02:00	2026-09-24T17:24:13.2185657+02:00	38	7	3	54	False	1	0	1	250048	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
9	2026-09-24T17:24:13.2275783+02:00	2026-09-24T17:24:13.2351379+02:00	38	8	3	54	False	1	0	1	252160	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
10	2026-09-24T17:24:13.2446560+02:00	2026-09-24T17:24:13.2521609+02:00	38	9	3	54	False	1	0	1	252109	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
