# capturedAtLocal=2026-09-24T17:26:48.6078801+02:00
# mapLoadSequence=10
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=1
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir7.aivjson
# aivJsonSha256=ab15bd187a73c6091461d7d9fa282ad5a22dc4df42b43c46793aa2686616918b
# keepX=418
# keepY=519
# captureSequence=4
# playerId=5
# frameCount=157
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=2824
# buildingRecordChanges=50
# beforeCaptureMilliseconds=1136,7
# afterCaptureMilliseconds=1417,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T17:26:48.6078801+02:00	2026-09-24T17:26:48.6143873+02:00	67	0	4	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
2	2026-09-24T17:26:48.6239048+02:00	2026-09-24T17:26:48.6304101+02:00	67	1	4	0	False	0	0	0	0	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
3	2026-09-24T17:26:48.6399148+02:00	2026-09-24T17:26:48.6464194+02:00	67	2	4	52	True	1	0	1	245749	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
4	2026-09-24T17:26:48.6554350+02:00	2026-09-24T17:26:48.6636133+02:00	67	3	4	52	True	1	0	1	248464	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
5	2026-09-24T17:26:48.6718530+02:00	2026-09-24T17:26:48.6797432+02:00	67	4	4	80	False	1	0	1	239596	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
6	2026-09-24T17:26:48.6877447+02:00	2026-09-24T17:26:48.6959803+02:00	67	5	4	80	False	1	0	1	239592	0	1	0	0x7FFAB49AEDB0	True	0	0	0	0	
7	2026-09-24T17:26:48.7045868+02:00	2026-09-24T17:26:48.7126101+02:00	67	6	4	77	False	1	0	1	250590	0	1	1	0x7FFAB49AEDB0	True	25	0	0	25	
8	2026-09-24T17:26:48.7211162+02:00	2026-09-24T17:26:48.7286238+02:00	67	7	4	54	False	1	0	1	247949	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
9	2026-09-24T17:26:48.7371296+02:00	2026-09-24T17:26:48.7451454+02:00	67	8	4	54	False	1	0	1	250088	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
10	2026-09-24T17:26:48.7541780+02:00	2026-09-24T17:26:48.7611942+02:00	67	9	4	54	False	1	0	1	254787	0	1	1	0x7FFAB49AEDB0	True	16	0	0	16	
