# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=8
# keepX=536
# keepY=402
# nativeOrientation=2
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\nomad7.aivjson
# aivJsonSha256=48f6c0603de610ce1c27493352e3b83d1ff506672799da92709aa7ee2becaf14
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=22
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=1
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=22
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.560
# afterScanMilliseconds=9.756
# changedLayerCells=366
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
548	396	157757	logic2	0	2
549	396	157758	logic2	0	2
550	396	157759	logic2	0	2
538	397	158542	logic	32768	34050
538	397	158542	buildingId	0	69
538	397	158542	height	8	18
538	397	158542	wallOwner	0	7
539	397	158543	logic	32768	34050
539	397	158543	buildingId	0	69
539	397	158543	height	8	18
539	397	158543	wallOwner	0	7
540	397	158544	logic	32768	33026
540	397	158544	height	8	18
540	397	158544	wallOwner	0	7
541	397	158545	logic	32768	34050
541	397	158545	buildingId	0	70
541	397	158545	height	8	18
541	397	158545	wallOwner	0	7
542	397	158546	logic	32768	34050
542	397	158546	buildingId	0	70
542	397	158546	height	8	18
542	397	158546	wallOwner	0	7
548	397	158552	logic2	0	2
549	397	158553	logic2	0	2
550	397	158554	logic2	0	2
551	397	158555	logic2	0	2
538	398	159339	logic	32768	34050
538	398	159339	buildingId	0	69
538	398	159339	height	8	18
538	398	159339	wallOwner	0	7
539	398	159340	logic	32768	34050
539	398	159340	buildingId	0	69
539	398	159340	height	8	18
539	398	159340	wallOwner	0	7
540	398	159341	logic	32768	33026
540	398	159341	height	8	18
540	398	159341	wallOwner	0	7
541	398	159342	logic	32768	34050
541	398	159342	buildingId	0	70
541	398	159342	height	8	18
541	398	159342	wallOwner	0	7
542	398	159343	logic	0	1282
542	398	159343	buildingId	0	70
542	398	159343	height	8	18
548	398	159349	logic2	0	2
549	398	159350	logic2	0	2
550	398	159351	logic2	0	2
551	398	159352	logic2	0	2
