# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Craggy Cliffs.map
# mapFileSha256=c46b71c941ea299d1ca82c4f9649601e41f80517f05885ecdda39deee5e4ef25
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=1
# keepX=264
# keepY=401
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=<not-available>
# selectionAccepted=False
# selectionFinalOrientation=<not-available>
# finalCandidateId=<not-available>
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=22
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=22
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.410
# afterScanMilliseconds=9.797
# changedLayerCells=231
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
258	401	161457	logic2	8	2
264	401	161463	logic	32768	268468224
264	401	161463	buildingId	0	1
265	401	161464	logic	32768	268468224
265	401	161464	buildingId	0	1
266	401	161465	logic	32768	268468224
266	401	161465	buildingId	0	1
267	401	161466	logic	32768	268468224
267	401	161466	buildingId	0	1
268	401	161467	logic	32768	268468224
268	401	161467	buildingId	0	1
269	401	161468	logic	32768	268468224
269	401	161468	buildingId	0	1
270	401	161469	logic	32768	268468224
270	401	161469	buildingId	0	1
258	402	162254	logic2	8	2
264	402	162260	logic	32768	268468224
264	402	162260	buildingId	0	1
265	402	162261	logic	32768	268468224
265	402	162261	buildingId	0	1
266	402	162262	logic	32768	268468224
266	402	162262	buildingId	0	1
267	402	162263	logic	32768	268468224
267	402	162263	buildingId	0	1
268	402	162264	logic	32768	268468224
268	402	162264	buildingId	0	1
269	402	162265	logic	32768	268468224
269	402	162265	buildingId	0	1
270	402	162266	logic	0	268435456
270	402	162266	buildingId	0	1
258	403	163049	logic2	8	2
264	403	163055	logic	32768	268468224
264	403	163055	buildingId	0	1
265	403	163056	logic	32768	268468224
265	403	163056	buildingId	0	1
266	403	163057	logic	32768	268468224
266	403	163057	buildingId	0	1
267	403	163058	logic	32768	268468224
267	403	163058	buildingId	0	1
268	403	163059	logic	32768	268468224
268	403	163059	buildingId	0	1
269	403	163060	logic	32768	268468224
269	403	163060	buildingId	0	1
270	403	163061	logic	0	268435456
270	403	163061	buildingId	0	1
271	403	163062	logic	0	1282
271	403	163062	buildingId	0	6
271	403	163062	height	130	140
272	403	163063	logic	0	1282
272	403	163063	buildingId	0	6
272	403	163063	height	130	140
273	403	163064	logic	0	258
273	403	163064	height	130	140
274	403	163065	logic	0	1282
274	403	163065	buildingId	0	7
274	403	163065	height	130	140
275	403	163066	logic	0	1282
275	403	163066	buildingId	0	7
275	403	163066	height	130	140
258	404	163842	logic2	8	2
264	404	163848	logic	32768	268468224
264	404	163848	buildingId	0	1
265	404	163849	logic	32768	268468224
265	404	163849	buildingId	0	1
266	404	163850	logic	32768	268468224
266	404	163850	buildingId	0	1
267	404	163851	logic	32768	268468224
267	404	163851	buildingId	0	1
268	404	163852	logic	32768	268468224
268	404	163852	buildingId	0	1
269	404	163853	logic	32768	268468224
269	404	163853	buildingId	0	1
270	404	163854	logic	0	268435456
270	404	163854	buildingId	0	1
271	404	163855	logic	0	1282
271	404	163855	buildingId	0	6
271	404	163855	height	130	140
272	404	163856	logic	32768	34050
272	404	163856	buildingId	0	6
272	404	163856	height	130	140
273	404	163857	logic	32768	33026
273	404	163857	height	130	140
274	404	163858	logic	32768	34050
274	404	163858	buildingId	0	7
274	404	163858	height	130	140
275	404	163859	logic	0	1282
275	404	163859	buildingId	0	7
275	404	163859	height	130	140
258	405	164633	logic2	8	2
264	405	164639	logic	32768	268468224
264	405	164639	buildingId	0	1
265	405	164640	logic	32768	268468224
265	405	164640	buildingId	0	1
266	405	164641	logic	32768	268468224
266	405	164641	buildingId	0	1
267	405	164642	logic	32768	268468224
267	405	164642	buildingId	0	1
268	405	164643	logic	32768	268468224
268	405	164643	buildingId	0	1
269	405	164644	logic	32768	268468224
269	405	164644	buildingId	0	1
270	405	164645	logic	0	268435456
270	405	164645	buildingId	0	1
271	405	164646	logic	0	258
271	405	164646	height	130	140
272	405	164647	logic	32768	33026
272	405	164647	height	130	140
273	405	164648	logic	32768	33026
273	405	164648	height	130	140
274	405	164649	logic	32768	33026
274	405	164649	height	130	140
275	405	164650	logic	0	258
275	405	164650	height	130	140
258	406	165422	logic2	8	2
264	406	165428	logic	32768	268468224
264	406	165428	buildingId	0	1
265	406	165429	logic	32768	268468224
265	406	165429	buildingId	0	1
266	406	165430	logic	32768	268468224
266	406	165430	buildingId	0	1
267	406	165431	logic	32768	268468224
267	406	165431	buildingId	0	1
268	406	165432	logic	32768	268468224
268	406	165432	buildingId	0	1
269	406	165433	logic	32768	268468224
269	406	165433	buildingId	0	1
270	406	165434	logic	0	268435456
270	406	165434	buildingId	0	1
271	406	165435	logic	0	1282
271	406	165435	buildingId	0	8
271	406	165435	height	130	140
272	406	165436	logic	32768	34050
272	406	165436	buildingId	0	8
272	406	165436	height	130	140
273	406	165437	logic	32768	33026
273	406	165437	height	130	140
274	406	165438	logic	32768	34050
274	406	165438	buildingId	0	9
274	406	165438	height	130	140
275	406	165439	logic	0	1282
275	406	165439	buildingId	0	9
275	406	165439	height	130	140
258	407	166209	logic2	8	2
264	407	166215	logic	32768	268468224
264	407	166215	buildingId	0	1
265	407	166216	logic	32768	268468224
265	407	166216	buildingId	0	1
266	407	166217	logic	32768	268468224
266	407	166217	buildingId	0	1
267	407	166218	logic	32768	268468224
267	407	166218	buildingId	0	1
268	407	166219	logic	32768	268468224
268	407	166219	buildingId	0	1
269	407	166220	logic	32768	268468224
269	407	166220	buildingId	0	1
270	407	166221	logic	0	268435456
270	407	166221	buildingId	0	1
271	407	166222	logic	0	1282
271	407	166222	buildingId	0	8
271	407	166222	height	130	140
272	407	166223	logic	0	1282
272	407	166223	buildingId	0	8
272	407	166223	height	130	140
273	407	166224	logic	0	258
273	407	166224	height	130	140
274	407	166225	logic	0	1282
274	407	166225	buildingId	0	9
274	407	166225	height	130	140
275	407	166226	logic	0	1282
275	407	166226	buildingId	0	9
275	407	166226	height	130	140
266	408	167002	logic	32768	33792
266	408	167002	buildingId	0	2
267	408	167003	buildingId	0	3
268	408	167004	logic	32768	33792
268	408	167004	buildingId	0	4
264	409	167783	buildingId	0	5
265	409	167784	buildingId	0	5
266	409	167785	buildingId	0	5
267	409	167786	buildingId	0	5
