# capturedAtLocal=2026-09-24T23:02:22.0888809+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=6
# candidateId=0
# aivName=Default 1
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# orientation=0
# originX=445
# originY=278
# keepX=488
# keepY=321
# evaluatedCells=2616
# nativeBlockedCells=130
# resultGridBlockedCells=28
# validatorCalls=2514
# validatorBlockedCells=28
# preValidatorBlockedCells=102
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
17	46	491	295	110	110	139	0	False
17	47	492	295	110	110	139	0	False
17	48	493	295	110	110	139	0	False
18	46	491	296	110	110	139	0	False
18	47	492	296	110	110	139	1	True
18	48	493	296	110	110	139	0	False
19	46	491	297	110	110	139	0	False
19	47	492	297	110	110	139	0	False
19	48	493	297	110	110	139	0	False
20	46	491	298	26	26	190	0	False
20	47	492	298	25	25	138	0	False
20	48	493	298	26	26	191	0	False
21	46	491	299	26	26	190	0	False
21	47	492	299	25	25	138	1	True
21	48	493	299	26	26	191	0	False
22	46	491	300	26	26	190	0	False
22	47	492	300	25	25	138	0	False
22	48	493	300	26	26	191	0	False
23	46	491	301	26	26	190	0	False
23	47	492	301	25	25	138	0	False
23	48	493	301	26	26	191	0	False
24	16	461	302	110	110	101	0	False
24	17	462	302	110	110	101	0	False
24	18	463	302	110	110	101	0	False
24	46	491	302	26	26	190	0	False
24	47	492	302	25	25	138	0	False
24	48	493	302	26	26	191	0	False
25	16	461	303	110	110	101	0	False
25	17	462	303	110	110	101	0	False
25	18	463	303	110	110	101	0	False
25	19	464	303	26	26	185	0	False
25	46	491	303	26	26	190	0	False
25	47	492	303	25	25	138	0	False
25	48	493	303	26	26	191	0	False
25	76	521	303	110	110	95	0	False
25	77	522	303	110	110	95	0	False
25	78	523	303	110	110	95	0	False
26	16	461	304	110	110	101	0	False
26	17	462	304	110	110	101	0	False
26	18	463	304	110	110	101	0	False
26	19	464	304	25	25	97	0	False
26	20	465	304	26	26	185	0	False
26	46	491	304	26	26	190	0	False
26	47	492	304	25	25	138	0	False
26	48	493	304	26	26	191	0	False
26	75	520	304	26	26	177	0	False
26	76	521	304	110	110	95	0	False
26	77	522	304	110	110	95	0	False
26	78	523	304	110	110	95	0	False
27	17	462	305	26	26	184	0	False
27	18	463	305	25	25	99	0	False
27	19	464	305	25	25	96	0	False
27	20	465	305	25	25	97	0	False
27	21	466	305	26	26	185	0	False
27	36	481	305	114	114	39	0	False
27	37	482	305	114	114	39	0	False
27	38	483	305	114	114	39	0	False
27	39	484	305	114	114	39	0	False
27	40	485	305	114	114	39	0	False
27	41	486	305	114	114	39	0	False
27	46	491	305	26	26	190	0	False
27	47	492	305	25	25	138	0	False
27	48	493	305	26	26	191	0	False
27	52	497	305	114	114	37	0	False
27	53	498	305	114	114	37	0	False
27	54	499	305	114	114	37	0	False
27	55	500	305	114	114	37	0	False
27	56	501	305	114	114	37	0	False
27	57	502	305	114	114	37	0	False
27	74	519	305	26	26	177	0	False
27	75	520	305	25	25	91	0	False
27	76	521	305	110	110	95	0	False
27	77	522	305	110	110	95	0	False
27	78	523	305	110	110	95	0	False
28	18	463	306	26	26	184	0	False
28	19	464	306	25	25	99	0	False
28	20	465	306	25	25	96	0	False
28	21	466	306	25	25	97	0	False
28	22	467	306	26	26	185	0	False
28	34	479	306	26	26	188	0	False
28	35	480	306	26	26	188	0	False
28	36	481	306	114	114	39	0	False
28	37	482	306	114	114	39	0	False
28	38	483	306	114	114	39	0	False
28	39	484	306	114	114	39	0	False
28	40	485	306	114	114	39	0	False
28	41	486	306	114	114	39	0	False
28	42	487	306	26	26	189	0	False
28	43	488	306	26	26	189	0	False
28	44	489	306	26	26	189	0	False
28	45	490	306	26	26	189	0	False
28	46	491	306	26	26	189	0	False
28	47	492	306	25	25	138	0	False
28	48	493	306	26	26	191	0	False
28	49	494	306	26	26	192	0	False
28	50	495	306	26	26	192	0	False
28	51	496	306	26	26	192	0	False
28	52	497	306	114	114	37	0	False
28	53	498	306	114	114	37	0	False
28	54	499	306	114	114	37	0	False
28	55	500	306	114	114	37	0	False
28	56	501	306	114	114	37	0	False
28	57	502	306	114	114	37	0	False
28	58	503	306	26	26	180	0	False
28	59	504	306	26	26	179	0	False
28	73	518	306	26	26	177	0	False
28	74	519	306	25	25	91	0	False
28	75	520	306	25	25	90	0	False
28	76	521	306	25	25	93	0	False
28	77	522	306	26	26	176	0	False
29	19	464	307	26	26	184	0	False
29	20	465	307	25	25	99	0	False
29	21	466	307	25	25	96	0	False
29	22	467	307	25	25	97	0	False
29	23	468	307	26	26	185	0	False
29	33	478	307	26	26	187	0	False
29	34	479	307	25	25	84	0	False
29	35	480	307	25	25	83	0	False
29	36	481	307	114	114	39	0	False
29	37	482	307	114	114	39	0	False
29	38	483	307	114	114	39	0	False
29	39	484	307	114	114	39	0	False
29	40	485	307	114	114	39	0	False
29	41	486	307	114	114	39	0	False
29	42	487	307	25	25	82	0	False
29	43	488	307	25	25	82	0	False
29	44	489	307	25	25	82	0	False
29	45	490	307	25	25	82	0	False
29	46	491	307	25	25	82	0	False
29	47	492	307	25	25	82	0	False
29	48	493	307	25	25	82	0	False
29	49	494	307	25	25	82	0	False
29	50	495	307	25	25	82	0	False
29	51	496	307	25	25	82	0	False
29	52	497	307	114	114	37	0	False
29	53	498	307	114	114	37	0	False
29	54	499	307	114	114	37	0	False
29	55	500	307	114	114	37	0	False
29	56	501	307	114	114	37	0	False
29	57	502	307	114	114	37	0	False
29	58	503	307	25	25	81	0	False
29	59	504	307	25	25	80	0	False
29	60	505	307	26	26	179	0	False
29	72	517	307	26	26	177	0	False
29	73	518	307	25	25	91	0	False
