# capturedAtLocal=2026-09-24T23:02:41.0275447+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=0
# playerId=7
# candidateId=0
# aivName=Default 2
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# orientation=2
# originX=409
# originY=452
# keepX=452
# keepY=495
# evaluatedCells=2870
# nativeBlockedCells=388
# resultGridBlockedCells=244
# validatorCalls=2726
# validatorBlockedCells=244
# preValidatorBlockedCells=144
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
9	42	451	461	99	99	102	1	True
10	39	448	462	99	99	102	1	True
10	41	450	462	99	99	102	1	True
10	42	451	462	99	99	102	1	True
11	37	446	463	99	99	102	1	True
11	38	447	463	99	99	102	1	True
11	39	448	463	99	99	102	1	True
11	40	449	463	99	99	102	1	True
11	41	450	463	99	99	102	1	True
11	42	451	463	99	99	102	1	True
11	43	452	463	99	99	102	1	True
11	44	453	463	99	99	102	1	True
12	37	446	464	99	99	102	1	True
12	44	453	464	99	99	102	1	True
12	45	454	464	99	99	102	1	True
12	46	455	464	99	99	102	1	True
13	37	446	465	99	99	102	1	True
13	38	447	465	113	113	50	1	True
13	39	448	465	113	113	50	1	True
13	40	449	465	113	113	50	1	True
13	41	450	465	113	113	50	1	True
13	42	451	465	113	113	50	1	True
13	43	452	465	113	113	50	1	True
13	45	454	465	99	99	102	1	True
14	35	444	466	99	99	102	1	True
14	36	445	466	99	99	102	1	True
14	37	446	466	99	99	102	1	True
14	38	447	466	113	113	50	1	True
14	39	448	466	113	113	50	1	True
14	40	449	466	113	113	50	1	True
14	41	450	466	113	113	50	1	True
14	42	451	466	113	113	50	1	True
14	43	452	466	113	113	50	1	True
14	46	455	466	99	99	102	1	True
15	24	433	467	99	99	101	1	True
15	25	434	467	99	99	101	1	True
15	35	444	467	99	99	102	1	True
15	38	447	467	113	113	50	1	True
15	39	448	467	113	113	50	1	True
15	40	449	467	113	113	50	1	True
15	41	450	467	113	113	50	1	True
15	42	451	467	113	113	50	1	True
15	43	452	467	113	113	50	1	True
15	46	455	467	99	99	102	0	False
15	67	476	467	99	99	103	1	True
16	22	431	468	99	99	101	1	True
16	23	432	468	99	99	101	1	True
16	24	433	468	99	99	101	1	True
16	38	447	468	113	113	50	1	True
16	39	448	468	113	113	50	1	True
16	40	449	468	113	113	50	1	True
16	41	450	468	113	113	50	0	False
16	42	451	468	113	113	50	1	True
16	43	452	468	113	113	50	1	True
16	44	453	468	106	106	111	1	True
16	45	454	468	106	106	111	0	False
16	46	455	468	106	106	111	0	False
16	47	456	468	106	106	111	0	False
16	48	457	468	106	106	111	0	False
16	61	470	468	99	99	103	1	True
16	62	471	468	99	99	103	1	True
16	67	476	468	99	99	103	1	True
16	68	477	468	99	99	103	1	True
17	21	430	469	99	99	101	1	True
17	22	431	469	99	99	101	1	True
17	24	433	469	25	25	114	1	True
17	25	434	469	25	25	114	1	True
17	26	435	469	25	25	114	1	True
17	27	436	469	25	25	114	1	True
17	28	437	469	25	25	114	1	True
17	29	438	469	25	25	114	1	True
17	30	439	469	25	25	114	0	False
17	31	440	469	25	25	114	0	False
17	32	441	469	25	25	114	0	False
17	33	442	469	25	25	114	0	False
17	34	443	469	25	25	114	0	False
17	35	444	469	25	25	114	0	False
17	36	445	469	25	25	114	0	False
17	37	446	469	25	25	114	1	True
17	38	447	469	113	113	50	1	True
17	39	448	469	113	113	50	0	False
17	40	449	469	113	113	50	0	False
17	41	450	469	113	113	50	0	False
17	42	451	469	113	113	50	0	False
17	43	452	469	113	113	50	1	True
17	44	453	469	106	106	111	1	True
17	45	454	469	106	106	111	0	False
17	46	455	469	106	106	111	0	False
17	47	456	469	106	106	111	0	False
17	48	457	469	106	106	111	0	False
