# capturedAtLocal=2026-09-24T23:03:22.1242646+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# candidateId=0
# aivName=Default 2
# aivJson=AIV/SK_WOLF_1.aivjson
# aivJsonSha256=<not-available>
# orientation=4
# originX=360
# originY=477
# keepX=403
# keepY=520
# evaluatedCells=4759
# nativeBlockedCells=980
# resultGridBlockedCells=881
# validatorCalls=4660
# validatorBlockedCells=881
# preValidatorBlockedCells=99
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
1	35	395	478	99	99	275	1	True
1	38	398	478	99	99	275	1	True
1	40	400	478	99	99	275	1	True
1	42	402	478	99	99	275	1	True
1	52	412	478	99	99	275	1	True
1	62	422	478	99	99	275	0	False
1	66	426	478	99	99	275	0	False
1	74	434	478	99	99	275	0	False
1	89	449	478	99	99	274	0	False
2	23	383	479	99	99	273	1	True
2	29	389	479	99	99	275	1	True
2	30	390	479	99	99	275	1	True
2	46	406	479	99	99	275	1	True
2	51	411	479	99	99	275	1	True
2	55	415	479	99	99	275	1	True
2	58	418	479	99	99	275	1	True
2	61	421	479	99	99	275	0	False
2	64	424	479	99	99	275	0	False
2	66	426	479	99	99	275	0	False
2	74	434	479	99	99	275	0	False
2	75	435	479	99	99	275	0	False
2	76	436	479	99	99	275	0	False
2	80	440	479	99	99	275	0	False
2	81	441	479	99	99	275	0	False
2	85	445	479	99	99	275	0	False
2	89	449	479	99	99	275	0	False
2	95	455	479	99	99	274	0	False
3	24	384	480	99	99	275	1	True
3	25	385	480	99	99	275	1	True
3	95	455	480	99	99	274	0	False
4	20	380	481	99	99	272	1	True
4	22	382	481	99	99	272	1	True
4	28	388	481	26	26	198	1	True
4	29	389	481	26	26	198	1	True
4	30	390	481	26	26	198	1	True
4	31	391	481	26	26	198	1	True
4	32	392	481	26	26	198	1	True
4	33	393	481	26	26	198	1	True
4	34	394	481	26	26	198	1	True
4	35	395	481	26	26	198	1	True
4	36	396	481	26	26	198	1	True
4	37	397	481	26	26	198	1	True
4	38	398	481	26	26	198	1	True
4	39	399	481	26	26	198	1	True
4	40	400	481	26	26	198	1	True
4	41	401	481	26	26	198	1	True
4	42	402	481	26	26	198	1	True
4	43	403	481	26	26	198	1	True
4	44	404	481	26	26	198	1	True
4	45	405	481	26	26	198	1	True
4	46	406	481	26	26	198	1	True
4	47	407	481	26	26	198	1	True
4	48	408	481	26	26	198	1	True
4	49	409	481	26	26	198	1	True
4	50	410	481	26	26	198	1	True
4	51	411	481	26	26	198	0	False
4	52	412	481	26	26	198	0	False
4	53	413	481	26	26	198	0	False
4	54	414	481	26	26	198	0	False
4	55	415	481	26	26	198	1	True
4	56	416	481	26	26	198	1	True
4	57	417	481	26	26	198	0	False
4	58	418	481	26	26	198	0	False
4	59	419	481	26	26	198	0	False
4	60	420	481	26	26	198	0	False
4	61	421	481	26	26	198	0	False
4	62	422	481	26	26	198	0	False
4	63	423	481	26	26	198	0	False
4	64	424	481	26	26	198	0	False
4	65	425	481	26	26	198	0	False
4	66	426	481	26	26	198	0	False
4	67	427	481	26	26	198	0	False
4	68	428	481	26	26	198	0	False
4	69	429	481	26	26	198	0	False
4	70	430	481	26	26	198	0	False
4	71	431	481	26	26	198	0	False
4	72	432	481	26	26	198	0	False
4	73	433	481	26	26	198	0	False
4	74	434	481	26	26	198	0	False
4	75	435	481	26	26	198	0	False
4	76	436	481	26	26	198	0	False
4	77	437	481	26	26	198	0	False
4	78	438	481	26	26	198	0	False
4	79	439	481	26	26	198	0	False
4	80	440	481	26	26	198	0	False
4	81	441	481	26	26	198	0	False
4	82	442	481	26	26	198	0	False
4	83	443	481	26	26	198	0	False
4	84	444	481	26	26	198	0	False
4	85	445	481	26	26	198	0	False
4	86	446	481	26	26	198	0	False
4	87	447	481	26	26	199	0	False
4	92	452	481	99	99	274	0	False
4	95	455	481	99	99	441	0	False
4	96	456	481	99	99	441	0	False
5	28	388	482	26	26	197	1	True
5	29	389	482	25	25	153	1	True
5	30	390	482	25	25	154	1	True
5	31	391	482	25	25	154	1	True
5	32	392	482	25	25	154	1	True
5	33	393	482	25	25	154	1	True
5	34	394	482	25	25	154	1	True
5	35	395	482	25	25	154	1	True
5	36	396	482	25	25	154	1	True
5	37	397	482	25	25	154	1	True
5	38	398	482	25	25	154	1	True
5	39	399	482	25	25	154	1	True
5	40	400	482	25	25	154	1	True
5	41	401	482	25	25	154	1	True
5	42	402	482	25	25	154	1	True
5	43	403	482	25	25	154	1	True
5	44	404	482	25	25	154	1	True
5	45	405	482	25	25	154	1	True
5	46	406	482	25	25	154	1	True
5	47	407	482	25	25	154	0	False
5	48	408	482	25	25	154	0	False
5	49	409	482	25	25	154	1	True
5	50	410	482	25	25	154	0	False
5	51	411	482	25	25	154	1	True
5	52	412	482	25	25	154	1	True
5	53	413	482	25	25	154	0	False
5	54	414	482	25	25	154	0	False
5	55	415	482	25	25	154	0	False
5	56	416	482	25	25	154	1	True
5	57	417	482	25	25	154	0	False
5	58	418	482	25	25	154	0	False
