# capturedAtLocal=2026-09-24T23:03:27.1928528+02:00
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=5
# candidateId=0
# aivName=Default 7
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# orientation=4
# originX=227
# originY=394
# keepX=270
# keepY=437
# evaluatedCells=1770
# nativeBlockedCells=455
# resultGridBlockedCells=270
# validatorCalls=1585
# validatorBlockedCells=270
# preValidatorBlockedCells=185
gridRow	gridColumn	worldX	worldY	rawMapper	effectiveMapper	scoreGridValue	resultGridValue	blocked
23	6	233	417	324	324	65	0	False
23	7	234	417	324	324	65	0	False
23	8	235	417	324	324	65	0	False
23	9	236	417	324	324	65	1	True
23	10	237	417	324	324	65	0	False
23	12	239	417	313	313	66	1	True
23	13	240	417	313	313	66	1	True
23	15	242	417	318	318	67	1	True
23	16	243	417	318	318	67	1	True
23	18	245	417	169	169	68	0	False
23	19	246	417	169	169	68	0	False
23	20	247	417	169	169	68	0	False
23	21	248	417	169	169	68	0	False
24	6	233	418	324	324	65	0	False
24	7	234	418	324	324	65	0	False
24	8	235	418	324	324	65	0	False
24	9	236	418	324	324	65	0	False
24	10	237	418	324	324	65	0	False
24	12	239	418	313	313	66	1	True
24	13	240	418	313	313	66	1	True
24	15	242	418	318	318	67	1	True
24	16	243	418	318	318	67	1	True
24	18	245	418	169	169	68	0	False
24	19	246	418	169	169	68	0	False
24	20	247	418	169	169	68	0	False
24	21	248	418	169	169	68	0	False
25	6	233	419	324	324	65	0	False
25	7	234	419	324	324	65	0	False
25	8	235	419	324	324	65	1	True
25	9	236	419	324	324	65	0	False
25	10	237	419	324	324	65	1	True
25	18	245	419	169	169	68	1	True
25	19	246	419	169	169	68	1	True
25	20	247	419	169	169	68	0	False
25	21	248	419	169	169	68	0	False
26	6	233	420	324	324	65	0	False
26	7	234	420	324	324	65	0	False
26	8	235	420	324	324	65	0	False
26	9	236	420	324	324	65	0	False
26	10	237	420	324	324	65	0	False
26	12	239	420	112	112	52	1	True
26	13	240	420	112	112	52	1	True
26	14	241	420	112	112	52	1	True
26	15	242	420	112	112	52	1	True
26	16	243	420	112	112	52	1	True
26	18	245	420	169	169	68	1	True
26	19	246	420	169	169	68	1	True
26	20	247	420	169	169	68	0	False
26	21	248	420	169	169	68	0	False
26	36	263	420	65	65	72	1	True
26	37	264	420	65	65	72	1	True
26	38	265	420	65	65	72	1	True
26	39	266	420	65	65	72	1	True
26	40	267	420	65	65	72	1	True
