# capturedAtLocal=2026-09-24T23:01:24.4620102+02:00
# mapLoadSequence=4
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# keepX=376
# keepY=672
# captureSequence=3
# playerId=5
# frameCount=80
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=3159
# buildingRecordChanges=46
# beforeCaptureMilliseconds=666,4
# afterCaptureMilliseconds=756,4
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:01:24.4620102+02:00	2026-09-24T23:01:24.4700097+02:00	25	0	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:01:24.4795355+02:00	2026-09-24T23:01:24.4880497+02:00	25	1	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:01:24.4965578+02:00	2026-09-24T23:01:24.5050670+02:00	25	2	4	80	False	1	0	1	305174	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
4	2026-09-24T23:01:24.5141819+02:00	2026-09-24T23:01:24.5226929+02:00	25	3	4	77	False	1	0	1	304928	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
5	2026-09-24T23:01:24.5321994+02:00	2026-09-24T23:01:24.5407068+02:00	25	4	4	52	True	1	0	1	304912	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
6	2026-09-24T23:01:24.5497129+02:00	2026-09-24T23:01:24.5579157+02:00	25	5	4	52	True	1	0	1	304917	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
7	2026-09-24T23:01:24.5674211+02:00	2026-09-24T23:01:24.5750002+02:00	25	6	4	54	False	1	0	1	303352	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T23:01:24.5845048+02:00	2026-09-24T23:01:24.5930122+02:00	25	7	4	54	False	1	0	1	303356	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
9	2026-09-24T23:01:24.6025212+02:00	2026-09-24T23:01:24.6095193+02:00	25	8	4	54	False	1	0	1	303360	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
10	2026-09-24T23:01:24.6200261+02:00	2026-09-24T23:01:24.6281600+02:00	25	9	4	54	False	1	0	1	303364	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
