# capturedAtLocal=2026-09-24T23:02:25.3390020+02:00
# mapLoadSequence=6
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=2
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# keepX=452
# keepY=495
# captureSequence=5
# playerId=7
# frameCount=118
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=5
# layerChanges=4269
# buildingRecordChanges=50
# beforeCaptureMilliseconds=886,6
# afterCaptureMilliseconds=1014,9
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:02:25.3390020+02:00	2026-09-24T23:02:25.3470131+02:00	40	0	6	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:02:25.3560259+02:00	2026-09-24T23:02:25.3630341+02:00	40	1	6	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:02:25.3735467+02:00	2026-09-24T23:02:25.3810590+02:00	40	2	6	77	False	1	0	1	221013	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
4	2026-09-24T23:02:25.3925754+02:00	2026-09-24T23:02:25.4015789+02:00	40	3	6	80	False	1	0	1	242447	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
5	2026-09-24T23:02:25.4191180+02:00	2026-09-24T23:02:25.4271304+02:00	40	4	6	75	False	1	0	1	244671	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
6	2026-09-24T23:02:25.4356510+02:00	2026-09-24T23:02:25.4426605+02:00	40	5	6	74	False	1	0	1	230267	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
7	2026-09-24T23:02:25.4516637+02:00	2026-09-24T23:02:25.4581799+02:00	40	6	6	75	False	1	0	1	232637	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T23:02:25.4671929+02:00	2026-09-24T23:02:25.4742038+02:00	40	7	6	97	False	1	0	1	224116	0	1	1	0x7FFABBF8EDB0	True	169	0	0	169	
9	2026-09-24T23:02:25.4827118+02:00	2026-09-24T23:02:25.4907244+02:00	40	8	6	54	False	1	0	1	218463	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
10	2026-09-24T23:02:25.4987372+02:00	2026-09-24T23:02:25.5052417+02:00	40	9	6	52	True	1	0	1	229050	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
11	2026-09-24T23:02:25.5142570+02:00	2026-09-24T23:02:25.5212570+02:00	40	10	6	52	True	1	0	1	225990	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
12	2026-09-24T23:02:25.5302727+02:00	2026-09-24T23:02:25.5377974+02:00	40	11	6	54	False	1	0	1	227843	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
13	2026-09-24T23:02:25.5458087+02:00	2026-09-24T23:02:25.5533156+02:00	40	12	6	54	False	1	0	1	237894	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
14	2026-09-24T23:02:25.5623609+02:00	2026-09-24T23:02:25.5688726+02:00	40	13	6	52	True	1	0	1	222885	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
15	2026-09-24T23:02:25.5778822+02:00	2026-09-24T23:02:25.5843905+02:00	40	14	6	54	False	1	0	1	213909	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
16	2026-09-24T23:02:25.5933983+02:00	2026-09-24T23:02:25.6013981+02:00	40	15	6	75	False	1	0	1	246863	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
17	2026-09-24T23:02:25.6099137+02:00	2026-09-24T23:02:25.6174216+02:00	40	16	6	52	True	1	0	1	219730	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
18	2026-09-24T23:02:25.6264321+02:00	2026-09-24T23:02:25.6339610+02:00	40	17	6	52	True	1	0	1	216525	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
19	2026-09-24T23:02:25.6429707+02:00	2026-09-24T23:02:25.6499869+02:00	40	18	6	87	False	1	0	1	245230	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
20	2026-09-24T23:02:25.6585052+02:00	2026-09-24T23:02:25.6660297+02:00	40	19	6	106	False	1	0	63	121	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
21	2026-09-24T23:02:25.6750407+02:00	2026-09-24T23:02:25.6825450+02:00	40	20	6	81	False	1	0	1	227848	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
22	2026-09-24T23:02:25.6905698+02:00	2026-09-24T23:02:25.6980758+02:00	40	21	6	342	False	1	0	1	234997	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
23	2026-09-24T23:02:25.7055812+02:00	2026-09-24T23:02:25.7141521+02:00	40	22	6	50	False	1	0	1	221018	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
24	2026-09-24T23:02:25.7226547+02:00	2026-09-24T23:02:25.7291682+02:00	40	23	6	54	False	1	0	1	252210	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
25	2026-09-24T23:02:25.7389514+02:00	2026-09-24T23:02:25.7464729+02:00	40	24	6	54	False	1	0	1	230272	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
26	2026-09-24T23:02:25.7554842+02:00	2026-09-24T23:02:25.7624960+02:00	40	25	6	54	False	1	0	1	246859	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
27	2026-09-24T23:02:25.7711978+02:00	2026-09-24T23:02:25.7792103+02:00	40	26	6	95	False	1	0	1	239079	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
28	2026-09-24T23:02:25.7882300+02:00	2026-09-24T23:02:25.7962432+02:00	40	27	6	176	False	1	0	1	240174	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
29	2026-09-24T23:02:25.8047487+02:00	2026-09-24T23:02:25.8117617+02:00	40	28	6	176	False	1	0	1	222861	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
30	2026-09-24T23:02:25.8212676+02:00	2026-09-24T23:02:25.8292802+02:00	40	29	6	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
31	2026-09-24T23:02:25.8377982+02:00	2026-09-24T23:02:25.8448104+02:00	40	30	6	176	False	1	0	1	236149	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
32	2026-09-24T23:02:25.8528112+02:00	2026-09-24T23:02:25.8588235+02:00	40	31	6	76	False	1	0	1	237923	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
33	2026-09-24T23:02:25.8683407+02:00	2026-09-24T23:02:25.8763547+02:00	40	32	6	92	False	1	0	1	224139	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
34	2026-09-24T23:02:25.8838633+02:00	2026-09-24T23:02:25.8908735+02:00	40	33	6	54	False	1	0	1	216509	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
35	2026-09-24T23:02:25.9003788+02:00	2026-09-24T23:02:25.9058856+02:00	40	34	6	54	False	1	0	1	215887	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
36	2026-09-24T23:02:25.9144106+02:00	2026-09-24T23:02:25.9224210+02:00	40	35	6	342	False	1	0	1	227839	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
37	2026-09-24T23:02:25.9314348+02:00	2026-09-24T23:02:25.9389491+02:00	40	36	6	330	False	1	0	1	236760	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
38	2026-09-24T23:02:25.9479621+02:00	2026-09-24T23:02:25.9544671+02:00	40	37	6	330	False	1	0	1	224771	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
39	2026-09-24T23:02:25.9629840+02:00	2026-09-24T23:02:25.9694904+02:00	40	38	6	75	False	1	0	1	233226	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
40	2026-09-24T23:02:25.9775014+02:00	2026-09-24T23:02:25.9840068+02:00	40	39	6	25	False	1	0	18	184	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
41	2026-09-24T23:02:25.9935268+02:00	2026-09-24T23:02:26.0000342+02:00	40	40	6	25	False	1	0	17	637	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
42	2026-09-24T23:02:26.0080469+02:00	2026-09-24T23:02:26.0170597+02:00	40	41	6	25	False	1	0	43	301	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
43	2026-09-24T23:02:26.0250727+02:00	2026-09-24T23:02:26.0315769+02:00	40	42	6	185	False	1	0	1	232037	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
44	2026-09-24T23:02:26.0400883+02:00	2026-09-24T23:02:26.0466053+02:00	40	43	6	184	False	1	0	1	232036	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
45	2026-09-24T23:02:26.0541101+02:00	2026-09-24T23:02:26.0606149+02:00	40	44	6	183	False	1	0	1	232035	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
46	2026-09-24T23:02:26.0686252+02:00	2026-09-24T23:02:26.0756359+02:00	40	45	6	182	False	1	0	1	232034	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
47	2026-09-24T23:02:26.0846484+02:00	2026-09-24T23:02:26.0911561+02:00	40	46	6	181	False	1	0	1	232033	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
48	2026-09-24T23:02:26.1006625+02:00	2026-09-24T23:02:26.1086757+02:00	40	47	6	25	False	1	0	20	587	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
49	2026-09-24T23:02:26.1166870+02:00	2026-09-24T23:02:26.1242042+02:00	40	48	6	25	False	1	0	12	511	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
50	2026-09-24T23:02:26.1317087+02:00	2026-09-24T23:02:26.1387145+02:00	40	49	6	25	False	1	0	30	267	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
51	2026-09-24T23:02:26.1467247+02:00	2026-09-24T23:02:26.1542308+02:00	40	50	6	113	False	1	0	1	210626	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
52	2026-09-24T23:02:26.1627473+02:00	2026-09-24T23:02:26.1697612+02:00	40	51	6	144	False	1	0	1	236171	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
53	2026-09-24T23:02:26.1777701+02:00	2026-09-24T23:02:26.1862768+02:00	40	52	6	25	False	1	0	19	547	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
54	2026-09-24T23:02:26.1947860+02:00	2026-09-24T23:02:26.2027937+02:00	40	53	6	75	False	1	0	1	235578	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
55	2026-09-24T23:02:26.2103033+02:00	2026-09-24T23:02:26.2183159+02:00	40	54	6	75	False	1	0	1	237898	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
56	2026-09-24T23:02:26.2263369+02:00	2026-09-24T23:02:26.2348559+02:00	40	55	6	50	False	1	0	1	224774	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
57	2026-09-24T23:02:26.2428656+02:00	2026-09-24T23:02:26.2508672+02:00	40	56	6	76	False	1	0	1	221008	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
58	2026-09-24T23:02:26.2598797+02:00	2026-09-24T23:02:26.2664042+02:00	40	57	6	50	False	1	0	1	224778	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
59	2026-09-24T23:02:26.2744174+02:00	2026-09-24T23:02:26.2819210+02:00	40	58	6	76	False	1	0	1	221004	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
60	2026-09-24T23:02:26.2894369+02:00	2026-09-24T23:02:26.2959592+02:00	40	59	6	54	False	1	0	1	216530	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
61	2026-09-24T23:02:26.3044650+02:00	2026-09-24T23:02:26.3114799+02:00	40	60	6	113	False	1	0	1	250091	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
62	2026-09-24T23:02:26.3204914+02:00	2026-09-24T23:02:26.3285017+02:00	40	61	6	176	False	1	0	1	235030	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
63	2026-09-24T23:02:26.3355118+02:00	2026-09-24T23:02:26.3435215+02:00	40	62	6	88	False	1	0	1	243582	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
64	2026-09-24T23:02:26.3525215+02:00	2026-09-24T23:02:26.3605326+02:00	40	63	6	25	False	1	0	21	566	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
65	2026-09-24T23:02:26.3690507+02:00	2026-09-24T23:02:26.3780623+02:00	40	64	6	146	False	1	0	1	226635	0	1	1	0x7FFABBF8EDB0	True	49	0	0	49	
66	2026-09-24T23:02:26.3875704+02:00	2026-09-24T23:02:26.3945913+02:00	40	65	6	25	False	1	0	2	202	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
67	2026-09-24T23:02:26.4036260+02:00	2026-09-24T23:02:26.4101325+02:00	40	66	6	54	False	1	0	1	213930	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
68	2026-09-24T23:02:26.4188761+02:00	2026-09-24T23:02:26.4258877+02:00	40	67	6	25	False	1	0	14	531	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
69	2026-09-24T23:02:26.4353935+02:00	2026-09-24T23:02:26.4429150+02:00	40	68	6	96	False	1	0	1	216540	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
70	2026-09-24T23:02:26.4549110+02:00	2026-09-24T23:02:26.4634898+02:00	40	69	6	25	False	1	0	32	89	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
71	2026-09-24T23:02:26.4730144+02:00	2026-09-24T23:02:26.4815962+02:00	40	70	6	113	False	1	0	1	213248	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
72	2026-09-24T23:02:26.4906111+02:00	2026-09-24T23:02:26.4981214+02:00	40	71	6	113	False	1	0	1	246305	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
73	2026-09-24T23:02:26.5071335+02:00	2026-09-24T23:02:26.5151818+02:00	40	72	6	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
74	2026-09-24T23:02:26.5246974+02:00	2026-09-24T23:02:26.5327196+02:00	40	73	6	308	False	1	0	1	232629	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
75	2026-09-24T23:02:26.5412293+02:00	2026-09-24T23:02:26.5497565+02:00	40	74	6	306	False	1	0	1	234402	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
76	2026-09-24T23:02:26.5572807+02:00	2026-09-24T23:02:26.5652925+02:00	40	75	6	177	False	1	0	1	235574	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
77	2026-09-24T23:02:26.5728029+02:00	2026-09-24T23:02:26.5798241+02:00	40	76	6	96	False	1	0	1	240745	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
78	2026-09-24T23:02:26.5893297+02:00	2026-09-24T23:02:26.5964261+02:00	40	77	6	54	False	1	0	1	230276	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
79	2026-09-24T23:02:26.6049330+02:00	2026-09-24T23:02:26.6124520+02:00	40	78	6	310	False	1	0	1	227854	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
80	2026-09-24T23:02:26.6209586+02:00	2026-09-24T23:02:26.6309801+02:00	40	79	6	306	False	1	0	1	237358	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
81	2026-09-24T23:02:26.6409904+02:00	2026-09-24T23:02:26.6575206+02:00	40	80	6	50	False	1	0	1	221613	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
82	2026-09-24T23:02:26.6655307+02:00	2026-09-24T23:02:26.6740636+02:00	40	81	6	92	False	1	0	1	220986	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
83	2026-09-24T23:02:26.6825674+02:00	2026-09-24T23:02:26.6905708+02:00	40	82	6	93	False	1	0	1	238491	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
