# capturedAtLocal=2026-09-24T23:03:01.0736519+02:00
# mapLoadSequence=8
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=6
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\marshal7.aivjson
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# keepX=270
# keepY=437
# captureSequence=3
# playerId=5
# frameCount=80
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=2052
# buildingRecordChanges=41
# beforeCaptureMilliseconds=590,9
# afterCaptureMilliseconds=670,5
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:03:01.0736519+02:00	2026-09-24T23:03:01.0811618+02:00	50	0	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:03:01.0896694+02:00	2026-09-24T23:03:01.0971900+02:00	50	1	4	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:03:01.1056972+02:00	2026-09-24T23:03:01.1122063+02:00	50	2	4	80	False	1	0	1	205077	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
4	2026-09-24T23:03:01.1207125+02:00	2026-09-24T23:03:01.1287228+02:00	50	3	4	77	False	1	0	1	208452	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
5	2026-09-24T23:03:01.1372453+02:00	2026-09-24T23:03:01.1437604+02:00	50	4	4	52	True	1	0	1	197476	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
6	2026-09-24T23:03:01.1517638+02:00	2026-09-24T23:03:01.1597745+02:00	50	5	4	52	True	1	0	1	200961	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
7	2026-09-24T23:03:01.1682821+02:00	2026-09-24T23:03:01.1747885+02:00	50	6	4	54	False	1	0	1	188915	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T23:03:01.1832952+02:00	2026-09-24T23:03:01.1913156+02:00	50	7	4	54	False	1	0	1	191803	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
9	2026-09-24T23:03:01.1993323+02:00	2026-09-24T23:03:01.2068377+02:00	50	8	4	54	False	1	0	1	194659	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
10	2026-09-24T23:03:01.2153535+02:00	2026-09-24T23:03:01.2218593+02:00	50	9	4	54	False	1	0	1	197483	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
