# capturedAtLocal=2026-09-24T23:03:02.3644408+02:00
# mapLoadSequence=8
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=4
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# keepX=488
# keepY=321
# captureSequence=4
# playerId=6
# frameCount=205
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=2927
# buildingRecordChanges=49
# beforeCaptureMilliseconds=1523,5
# afterCaptureMilliseconds=1730,5
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:03:02.3644408+02:00	2026-09-24T23:03:02.3719472+02:00	51	0	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:03:02.3810758+02:00	2026-09-24T23:03:02.3885846+02:00	51	1	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:03:02.3981038+02:00	2026-09-24T23:03:02.4046136+02:00	51	2	5	52	True	1	0	1	105066	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
4	2026-09-24T23:03:02.4136271+02:00	2026-09-24T23:03:02.4201331+02:00	51	3	5	52	True	1	0	1	101851	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
5	2026-09-24T23:03:02.4291462+02:00	2026-09-24T23:03:02.4357515+02:00	51	4	5	80	False	1	0	1	98686	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
6	2026-09-24T23:03:02.4437624+02:00	2026-09-24T23:03:02.4512719+02:00	51	5	5	80	False	1	0	1	96190	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
7	2026-09-24T23:03:02.4582831+02:00	2026-09-24T23:03:02.4657920+02:00	51	6	5	86	False	1	0	1	103797	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
8	2026-09-24T23:03:02.4742954+02:00	2026-09-24T23:03:02.4813007+02:00	51	7	5	77	False	1	0	1	115703	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
9	2026-09-24T23:03:02.4898043+02:00	2026-09-24T23:03:02.4978177+02:00	51	8	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
10	2026-09-24T23:03:02.5058288+02:00	2026-09-24T23:03:02.5133419+02:00	51	9	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
11	2026-09-24T23:03:02.5213449+02:00	2026-09-24T23:03:02.5273564+02:00	51	10	5	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
12	2026-09-24T23:03:02.5363669+02:00	2026-09-24T23:03:02.5433741+02:00	51	11	5	54	False	1	0	1	93127	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
13	2026-09-24T23:03:02.5519431+02:00	2026-09-24T23:03:02.5579524+02:00	51	12	5	54	False	1	0	1	93738	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
14	2026-09-24T23:03:02.5669940+02:00	2026-09-24T23:03:02.5734969+02:00	51	13	5	54	False	1	0	1	104448	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
15	2026-09-24T23:03:02.5826057+02:00	2026-09-24T23:03:02.5891162+02:00	51	14	5	54	False	1	0	1	103803	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
16	2026-09-24T23:03:02.5986375+02:00	2026-09-24T23:03:02.6051450+02:00	51	15	5	54	False	1	0	1	95587	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
17	2026-09-24T23:03:02.6121631+02:00	2026-09-24T23:03:02.6191858+02:00	51	16	5	54	False	1	0	1	98079	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
18	2026-09-24T23:03:02.6282008+02:00	2026-09-24T23:03:02.6362275+02:00	51	17	5	54	False	1	0	1	98671	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
19	2026-09-24T23:03:02.6442362+02:00	2026-09-24T23:03:02.6522400+02:00	51	18	5	54	False	1	0	1	108316	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
20	2026-09-24T23:03:02.6642635+02:00	2026-09-24T23:03:02.6722649+02:00	51	19	5	54	False	1	0	1	115013	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
21	2026-09-24T23:03:02.6812776+02:00	2026-09-24T23:03:02.6943963+02:00	51	20	5	74	False	1	0	1	112316	0	1	1	0x7FFABBF8EDB0	True	9	0	0	9	
22	2026-09-24T23:03:02.7034053+02:00	2026-09-24T23:03:02.7114214+02:00	51	21	5	75	False	1	0	1	102485	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
23	2026-09-24T23:03:02.7189279+02:00	2026-09-24T23:03:02.7269409+02:00	51	22	5	75	False	1	0	1	105710	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
24	2026-09-24T23:03:02.7359596+02:00	2026-09-24T23:03:02.7419731+02:00	51	23	5	75	False	1	0	1	108985	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
25	2026-09-24T23:03:02.7509865+02:00	2026-09-24T23:03:02.7579957+02:00	51	24	5	76	False	1	0	1	99952	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
26	2026-09-24T23:03:02.7665059+02:00	2026-09-24T23:03:02.7745123+02:00	51	25	5	81	False	1	0	1	108344	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
27	2026-09-24T23:03:02.7820213+02:00	2026-09-24T23:03:02.7900358+02:00	51	26	5	87	False	1	0	1	111002	0	1	1	0x7FFABBF8EDB0	True	100	0	0	100	
28	2026-09-24T23:03:02.7980471+02:00	2026-09-24T23:03:02.8060625+02:00	51	27	5	146	False	1	0	1	86523	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
29	2026-09-24T23:03:02.8150759+02:00	2026-09-24T23:03:02.8225829+02:00	51	28	5	25	False	1	0	2	68	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
30	2026-09-24T23:03:02.8305940+02:00	2026-09-24T23:03:02.8370999+02:00	51	29	5	25	False	1	0	13	71	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
31	2026-09-24T23:03:02.8451272+02:00	2026-09-24T23:03:02.8516336+02:00	51	30	5	25	False	1	0	1	97	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
32	2026-09-24T23:03:02.8601536+02:00	2026-09-24T23:03:02.8676861+02:00	51	31	5	114	False	1	0	1	97413	0	1	1	0x7FFABBF8EDB0	True	36	0	0	36	
33	2026-09-24T23:03:02.8756984+02:00	2026-09-24T23:03:02.8826983+02:00	51	32	5	25	False	1	0	10	113	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
