# capturedAtLocal=2026-09-24T23:03:19.7516455+02:00
# mapLoadSequence=9
# mapName=<unknown>
# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\Reed Sea.map
# mapFileSha256=c6abe1353e0ea1829b626408b4f3807e4473b428ae239fd15a52e9745fff8116
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# selectionFound=True
# finalCandidateId=0
# finalOrientation=0
# nativeStartOptions=mode=99,option2F0=0,option2F4=1,option2F8=4294967297
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\sentinel2.aivjson
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# keepX=390
# keepY=558
# captureSequence=1
# playerId=2
# frameCount=134
# pointerProblemFrames=0
# captureErrorFrames=0
# highlightedMapperFrames=2
# layerChanges=3044
# buildingRecordChanges=34
# beforeCaptureMilliseconds=1103,0
# afterCaptureMilliseconds=1256,1
# frameSnapshotsComplete=True
# provenanceComplete=True
captureFrameNumber	startedAtLocal	completedAtLocal	selectionSequence	frameIndex	activeLayoutIndex	mapper	highlightedMapper	status	helper	positionCount	firstPositionIndex	restrictedMode	freeOrForced	returnValue	placementStateAddress	pointerConsistent	added	removed	replaced	changed	captureError
1	2026-09-24T23:03:19.7516455+02:00	2026-09-24T23:03:19.7591935+02:00	53	0	1	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
2	2026-09-24T23:03:19.7697265+02:00	2026-09-24T23:03:19.7775947+02:00	53	1	1	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
3	2026-09-24T23:03:19.7863610+02:00	2026-09-24T23:03:19.7954866+02:00	53	2	1	52	True	1	0	1	253198	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
4	2026-09-24T23:03:19.8049989+02:00	2026-09-24T23:03:19.8132801+02:00	53	3	1	80	False	1	0	1	256790	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
5	2026-09-24T23:03:19.8227902+02:00	2026-09-24T23:03:19.8308061+02:00	53	4	1	77	False	1	0	1	257789	0	1	1	0x7FFABBF8EDB0	True	25	0	0	25	
6	2026-09-24T23:03:19.8404237+02:00	2026-09-24T23:03:19.8494809+02:00	53	5	1	54	False	1	0	1	264630	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
7	2026-09-24T23:03:19.8580070+02:00	2026-09-24T23:03:19.8670272+02:00	53	6	1	50	False	1	0	1	267900	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
8	2026-09-24T23:03:19.8765422+02:00	2026-09-24T23:03:19.8845510+02:00	53	7	1	25	False	1	0	10	2	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
9	2026-09-24T23:03:19.8940853+02:00	2026-09-24T23:03:19.9020892+02:00	53	8	1	25	False	1	0	12	12	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
10	2026-09-24T23:03:19.9111363+02:00	2026-09-24T23:03:19.9202049+02:00	53	9	1	81	False	1	0	1	275432	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
11	2026-09-24T23:03:19.9292622+02:00	2026-09-24T23:03:19.9369713+02:00	53	10	1	54	False	1	0	1	264610	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
12	2026-09-24T23:03:19.9469848+02:00	2026-09-24T23:03:19.9550194+02:00	53	11	1	25	False	1	0	1	93	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
13	2026-09-24T23:03:19.9640293+02:00	2026-09-24T23:03:19.9725972+02:00	53	12	1	25	False	1	0	1	95	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
14	2026-09-24T23:03:19.9826264+02:00	2026-09-24T23:03:19.9901397+02:00	53	13	1	25	False	1	0	2	98	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
15	2026-09-24T23:03:19.9996970+02:00	2026-09-24T23:03:20.0082262+02:00	53	14	1	25	False	1	0	2	102	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
16	2026-09-24T23:03:20.0172419+02:00	2026-09-24T23:03:20.0257657+02:00	53	15	1	25	False	1	0	3	107	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
17	2026-09-24T23:03:20.0348109+02:00	2026-09-24T23:03:20.0428477+02:00	53	16	1	25	False	1	0	14	124	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
18	2026-09-24T23:03:20.0519129+02:00	2026-09-24T23:03:20.0604707+02:00	53	17	1	50	False	1	0	1	269724	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
19	2026-09-24T23:03:20.0699762+02:00	2026-09-24T23:03:20.0777926+02:00	53	18	1	82	False	1	0	1	267889	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
20	2026-09-24T23:03:20.0878043+02:00	2026-09-24T23:03:20.0963551+02:00	53	19	1	54	False	1	0	1	260266	0	1	1	0x7FFABBF8EDB0	True	16	0	0	16	
21	2026-09-24T23:03:20.1048638+02:00	2026-09-24T23:03:20.1139127+02:00	53	20	1	0	False	0	0	0	0	0	1	0	0x7FFABBF8EDB0	True	0	0	0	0	
22	2026-09-24T23:03:20.1224287+02:00	2026-09-24T23:03:20.1315312+02:00	53	21	1	25	False	1	0	2	0	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
23	2026-09-24T23:03:20.1400637+02:00	2026-09-24T23:03:20.1485883+02:00	53	22	1	25	False	1	0	1	24	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
24	2026-09-24T23:03:20.1581102+02:00	2026-09-24T23:03:20.1666214+02:00	53	23	1	25	False	1	0	1	94	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
25	2026-09-24T23:03:20.1746352+02:00	2026-09-24T23:03:20.1826474+02:00	53	24	1	25	False	1	0	2	96	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
26	2026-09-24T23:03:20.1926600+02:00	2026-09-24T23:03:20.2006775+02:00	53	25	1	25	False	1	0	2	100	0	1	1	0x7FFABBF8EDB0	True	0	0	0	0	
