# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=5
# keepX=376
# keepY=672
# nativeOrientation=0
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=384abb01e5b4c0ff36ceddeac64c3a8dc8151d0113d1189a32d8c7feb9bb337f
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
32	before	0	0	0	0	0	0	0	0	0
32	after	1	41	5	465663	465663	304392	7	376	672
33	before	0	0	0	0	0	0	0	0	0
33	after	1	71	5	465664	465663	306137	1	378	679
34	before	0	0	0	0	0	0	0	0	0
34	after	1	73	5	465665	465663	306138	1	379	679
35	before	0	0	0	0	0	0	0	0	0
35	after	1	72	5	465666	465663	306139	1	380	679
36	before	0	0	0	0	0	0	0	0	0
36	after	1	55	5	465667	465663	306376	7	376	680
37	before	0	0	0	0	0	0	0	0	0
37	after	1	10	5	465668	465668	304907	2	383	674
38	before	0	0	0	0	0	0	0	0	0
38	after	1	10	5	465669	465668	304910	2	386	674
39	before	0	0	0	0	0	0	0	0	0
39	after	1	10	5	465670	465668	305654	2	383	677
40	before	0	0	0	0	0	0	0	0	0
40	after	1	10	5	465671	465668	305657	2	386	677
