# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=3
# keepX=548
# keepY=483
# nativeOrientation=15
# preBuildSetting=1
# selectedCandidateId=<none>
# aivJsonSha256=<not-available>
# postNativeFailureFlag=0
# changedBuildingRecords=23
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
20	before	1	9	2	465620	465620	224232	5	553	489
20	after	1	41	3	466347	466347	220459	7	548	483
21	before	1	57	2	465621	465620	221097	5	553	484
21	after	1	71	3	466348	466347	224850	1	550	490
22	before	1	58	2	465622	465620	224237	5	558	489
22	after	1	73	3	466349	466347	224851	1	551	490
23	before	1	56	2	465623	465620	221102	5	558	484
23	after	1	72	3	466350	466347	224852	1	552	490
66	before	1	45	2	465668	465668	228530	7	546	496
66	after	1	55	3	466351	466347	225467	7	548	491
145	before	1	67	2	465709	0	227927	1	552	495
145	after	1	10	3	466352	466352	221730	2	555	485
146	before	1	67	2	465710	0	227928	1	553	495
146	after	1	10	3	466353	466352	221733	2	558	485
147	before	1	67	2	465711	0	228537	1	553	496
147	after	1	10	3	466354	466352	223611	2	555	488
148	before	1	67	2	465712	0	229144	1	553	497
148	after	1	10	3	466355	466352	223614	2	558	488
195	before	1	67	2	466050	0	227316	1	552	494
195	after	0	0	0	0	0	0	0	0	0
196	before	1	67	2	466051	0	226703	1	552	493
196	after	0	0	0	0	0	0	0	0	0
197	before	1	67	2	466052	0	226088	1	552	492
197	after	0	0	0	0	0	0	0	0	0
198	before	1	67	2	466053	0	224852	1	552	490
198	after	0	0	0	0	0	0	0	0	0
199	before	1	67	2	466054	0	225471	1	552	491
199	after	0	0	0	0	0	0	0	0	0
200	before	1	67	2	466055	0	224231	1	552	489
200	after	0	0	0	0	0	0	0	0	0
201	before	1	67	2	466056	0	223608	1	552	488
201	after	0	0	0	0	0	0	0	0	0
202	before	1	67	2	466057	0	222983	1	552	487
202	after	0	0	0	0	0	0	0	0	0
203	before	1	67	2	466058	0	222356	1	552	486
203	after	0	0	0	0	0	0	0	0	0
204	before	1	67	2	466059	0	221727	1	552	485
204	after	0	0	0	0	0	0	0	0	0
205	before	1	67	2	466060	0	221096	1	552	484
205	after	0	0	0	0	0	0	0	0	0
206	before	1	67	2	466061	0	220463	1	552	483
206	after	0	0	0	0	0	0	0	0	0
472	before	1	67	2	466327	0	227317	1	553	494
472	after	0	0	0	0	0	0	0	0	0
473	before	1	67	2	466328	0	227318	1	554	494
473	after	0	0	0	0	0	0	0	0	0
