# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=3
# keepX=548
# keepY=483
# nativeOrientation=15
# scale=7
# isFree=False
# selectionPlacementState=0
# selectionAccepted=False
# selectionFinalOrientation=2
# finalCandidateId=0
# selectedCandidateId=<none>
# aivJson=<no accepted AIV>
# aivJsonSha256=<not-available>
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=4
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=4
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=11.913
# afterScanMilliseconds=10.524
# changedLayerCells=527
# changedBuildingRecords=23
# buildingRecordTrace=oracle-start-trace-20260924-225931-927-session002-p3-n03.records.tsv
# newBuildingCells=55
# replacedBuildingCells=50
# clearedBuildingCells=105
# sampledRegionComplete=True
x	y	tileId	layer	before	after
548	483	220459	logic	33024	268468224
548	483	220459	buildingId	0	20
548	483	220459	height	220	130
549	483	220460	logic	33536	268468224
549	483	220460	buildingId	0	20
549	483	220460	height	228	130
550	483	220461	logic	98560	268468224
550	483	220461	buildingId	0	20
550	483	220461	height	190	130
551	483	220462	logic	33536	268468224
551	483	220462	buildingId	0	20
551	483	220462	height	198	130
552	483	220463	logic	32768	268468224
552	483	220463	buildingId	206	20
553	483	220464	logic	32768	268468224
553	483	220464	buildingId	0	20
554	483	220465	logic	32768	268468224
554	483	220465	buildingId	0	20
548	484	221092	logic	33024	268468224
548	484	221092	buildingId	0	20
548	484	221092	height	220	130
549	484	221093	logic	4227840	268468224
549	484	221093	buildingId	0	20
549	484	221093	height	228	130
550	484	221094	logic	98560	268468224
550	484	221094	buildingId	0	20
550	484	221094	height	190	130
551	484	221095	logic	4227840	268468224
551	484	221095	buildingId	0	20
551	484	221095	height	198	130
552	484	221096	logic	32768	268468224
552	484	221096	buildingId	205	20
553	484	221097	logic	32768	268468224
553	484	221097	buildingId	21	20
554	484	221098	logic	0	268435456
554	484	221098	buildingId	21	20
555	484	221099	buildingId	21	0
556	484	221100	buildingId	21	0
557	484	221101	buildingId	21	0
558	484	221102	buildingId	23	0
559	484	221103	buildingId	23	0
560	484	221104	buildingId	23	0
561	484	221105	buildingId	23	0
