# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=6
# keepX=441
# keepY=636
# nativeOrientation=0
# scale=7
# isFree=False
# selectionPlacementState=1
# selectionAccepted=True
# selectionFinalOrientation=0
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\emir1.aivjson
# aivJsonSha256=ffa393f8dfb7899742c7647645d3cd3fa582090c7770cf9d32d89c96d46bd658
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=3
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=3
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.945
# afterScanMilliseconds=10.724
# changedLayerCells=248
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-225931-930-session002-p6-n06.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
441	636	293945	logic	32768	268468224
441	636	293945	buildingId	0	750
442	636	293946	logic	32768	268468224
442	636	293946	buildingId	0	750
443	636	293947	logic	32768	268468224
443	636	293947	buildingId	0	750
444	636	293948	logic	32768	268468224
444	636	293948	buildingId	0	750
445	636	293949	logic	32768	268468224
445	636	293949	buildingId	0	750
446	636	293950	logic	32768	268468224
446	636	293950	buildingId	0	750
447	636	293951	logic	32768	268468224
447	636	293951	buildingId	0	750
441	637	294272	logic	32768	268468224
441	637	294272	buildingId	0	750
442	637	294273	logic	32768	268468224
442	637	294273	buildingId	0	750
443	637	294274	logic	32768	268468224
443	637	294274	buildingId	0	750
444	637	294275	logic	32768	268468224
444	637	294275	buildingId	0	750
445	637	294276	logic	32768	268468224
445	637	294276	buildingId	0	750
446	637	294277	logic	32768	268468224
446	637	294277	buildingId	0	750
447	637	294278	logic	32768	268468224
447	637	294278	buildingId	0	750
441	638	294597	logic	32768	268468224
441	638	294597	buildingId	0	750
442	638	294598	logic	32768	268468224
442	638	294598	buildingId	0	750
443	638	294599	logic	32768	268468224
443	638	294599	buildingId	0	750
444	638	294600	logic	32768	268468224
444	638	294600	buildingId	0	750
445	638	294601	logic	32768	268468224
445	638	294601	buildingId	0	750
446	638	294602	logic	32768	268468224
446	638	294602	buildingId	0	750
447	638	294603	logic	32768	268468224
447	638	294603	buildingId	0	750
448	638	294604	logic	0	1282
448	638	294604	buildingId	0	755
448	638	294604	height	8	18
448	638	294604	wallOwner	4	5
449	638	294605	logic	0	1282
449	638	294605	buildingId	0	755
449	638	294605	height	8	18
449	638	294605	wallOwner	4	5
450	638	294606	logic	0	258
450	638	294606	height	8	18
450	638	294606	wallOwner	4	5
451	638	294607	logic	0	1282
451	638	294607	buildingId	0	756
451	638	294607	height	8	18
451	638	294607	wallOwner	4	5
452	638	294608	logic	0	1282
452	638	294608	buildingId	0	756
452	638	294608	height	8	18
452	638	294608	wallOwner	4	5
441	639	294920	logic	32768	268468224
441	639	294920	buildingId	0	750
442	639	294921	logic	32768	268468224
442	639	294921	buildingId	0	750
443	639	294922	logic	32768	268468224
443	639	294922	buildingId	0	750
444	639	294923	logic	32768	268468224
444	639	294923	buildingId	0	750
445	639	294924	logic	32768	268468224
445	639	294924	buildingId	0	750
446	639	294925	logic	32768	268468224
446	639	294925	buildingId	0	750
447	639	294926	logic	32768	268468224
447	639	294926	buildingId	0	750
448	639	294927	logic	0	1282
448	639	294927	buildingId	0	755
448	639	294927	height	8	18
448	639	294927	wallOwner	4	5
449	639	294928	logic	32768	34050
449	639	294928	buildingId	0	755
449	639	294928	height	8	18
449	639	294928	wallOwner	4	5
450	639	294929	logic	32768	33026
450	639	294929	height	8	18
450	639	294929	wallOwner	4	5
451	639	294930	logic	32768	34050
451	639	294930	buildingId	0	756
451	639	294930	height	8	18
451	639	294930	wallOwner	4	5
452	639	294931	logic	0	1282
452	639	294931	buildingId	0	756
452	639	294931	height	8	18
452	639	294931	wallOwner	4	5
441	640	295241	logic	32768	268468224
441	640	295241	buildingId	0	750
442	640	295242	logic	32768	268468224
442	640	295242	buildingId	0	750
443	640	295243	logic	32768	268468224
443	640	295243	buildingId	0	750
444	640	295244	logic	32768	268468224
444	640	295244	buildingId	0	750
445	640	295245	logic	32768	268468224
445	640	295245	buildingId	0	750
446	640	295246	logic	32768	268468224
446	640	295246	buildingId	0	750
447	640	295247	logic	32768	268468224
447	640	295247	buildingId	0	750
448	640	295248	logic	0	258
448	640	295248	height	8	18
448	640	295248	wallOwner	4	5
449	640	295249	logic	32768	33026
449	640	295249	height	8	18
449	640	295249	wallOwner	4	5
450	640	295250	logic	32768	33026
450	640	295250	height	8	18
450	640	295250	wallOwner	4	5
451	640	295251	logic	32768	33026
451	640	295251	height	8	18
451	640	295251	wallOwner	4	5
452	640	295252	logic	0	258
452	640	295252	height	8	18
452	640	295252	wallOwner	4	5
441	641	295560	logic	32768	268468224
441	641	295560	buildingId	0	750
442	641	295561	logic	32768	268468224
442	641	295561	buildingId	0	750
443	641	295562	logic	32768	268468224
443	641	295562	buildingId	0	750
444	641	295563	logic	32768	268468224
444	641	295563	buildingId	0	750
445	641	295564	logic	32768	268468224
445	641	295564	buildingId	0	750
446	641	295565	logic	32768	268468224
446	641	295565	buildingId	0	750
447	641	295566	logic	32768	268468224
447	641	295566	buildingId	0	750
448	641	295567	logic	0	1282
448	641	295567	buildingId	0	757
448	641	295567	height	8	18
448	641	295567	wallOwner	4	5
449	641	295568	logic	32768	34050
449	641	295568	buildingId	0	757
449	641	295568	height	8	18
449	641	295568	wallOwner	4	5
450	641	295569	logic	32768	33026
450	641	295569	height	8	18
450	641	295569	wallOwner	4	5
451	641	295570	logic	32768	34050
451	641	295570	buildingId	0	758
451	641	295570	height	8	18
451	641	295570	wallOwner	4	5
452	641	295571	logic	0	1282
452	641	295571	buildingId	0	758
452	641	295571	height	8	18
452	641	295571	wallOwner	4	5
441	642	295877	logic	32768	268468224
441	642	295877	buildingId	0	750
442	642	295878	logic	32768	268468224
442	642	295878	buildingId	0	750
443	642	295879	logic	32768	268468224
443	642	295879	buildingId	0	750
444	642	295880	logic	32768	268468224
444	642	295880	buildingId	0	750
445	642	295881	logic	32768	268468224
445	642	295881	buildingId	0	750
446	642	295882	logic	32768	268468224
446	642	295882	buildingId	0	750
447	642	295883	logic	32768	268468224
447	642	295883	buildingId	0	750
448	642	295884	logic	0	1282
448	642	295884	buildingId	0	757
448	642	295884	height	8	18
448	642	295884	wallOwner	4	5
449	642	295885	logic	0	1282
449	642	295885	buildingId	0	757
449	642	295885	height	8	18
449	642	295885	wallOwner	4	5
450	642	295886	logic	0	258
450	642	295886	height	8	18
450	642	295886	wallOwner	4	5
451	642	295887	logic	0	1282
451	642	295887	buildingId	0	758
451	642	295887	height	8	18
451	642	295887	wallOwner	4	5
452	642	295888	logic	0	1282
452	642	295888	buildingId	0	758
452	642	295888	height	8	18
452	642	295888	wallOwner	4	5
443	643	296194	logic	32768	33792
443	643	296194	buildingId	0	751
444	643	296195	buildingId	0	752
445	643	296196	logic	32768	33792
445	643	296196	buildingId	0	753
441	644	296505	buildingId	0	754
442	644	296506	buildingId	0	754
443	644	296507	buildingId	0	754
444	644	296508	buildingId	0	754
445	644	296509	buildingId	0	754
446	644	296510	buildingId	0	754
447	644	296511	buildingId	0	754
441	645	296816	buildingId	0	754
442	645	296817	buildingId	0	754
443	645	296818	buildingId	0	754
444	645	296819	buildingId	0	754
445	645	296820	buildingId	0	754
446	645	296821	buildingId	0	754
447	645	296822	buildingId	0	754
441	646	297125	buildingId	0	754
442	646	297126	buildingId	0	754
443	646	297127	buildingId	0	754
444	646	297128	logic	32768	33792
444	646	297128	buildingId	0	754
445	646	297129	buildingId	0	754
446	646	297130	buildingId	0	754
447	646	297131	buildingId	0	754
441	647	297432	buildingId	0	754
442	647	297433	buildingId	0	754
443	647	297434	logic	32768	33792
443	647	297434	buildingId	0	754
444	647	297435	logic	32768	33792
444	647	297435	buildingId	0	754
445	647	297436	logic	32768	33792
445	647	297436	buildingId	0	754
446	647	297437	buildingId	0	754
447	647	297438	buildingId	0	754
441	648	297737	buildingId	0	754
442	648	297738	buildingId	0	754
443	648	297739	buildingId	0	754
444	648	297740	logic	32768	33792
444	648	297740	buildingId	0	754
445	648	297741	buildingId	0	754
446	648	297742	buildingId	0	754
447	648	297743	buildingId	0	754
441	649	298040	buildingId	0	754
442	649	298041	buildingId	0	754
443	649	298042	buildingId	0	754
444	649	298043	buildingId	0	754
445	649	298044	buildingId	0	754
446	649	298045	buildingId	0	754
447	649	298046	buildingId	0	754
441	650	298341	buildingId	0	754
442	650	298342	buildingId	0	754
443	650	298343	buildingId	0	754
444	650	298344	buildingId	0	754
445	650	298345	buildingId	0	754
446	650	298346	buildingId	0	754
447	650	298347	buildingId	0	754
