# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=8
# keepX=344
# keepY=187
# nativeOrientation=4
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=4
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\jewel5.aivjson
# aivJsonSha256=fe15c680d1515b8b401f1edb19b99f79cdb726e0169cf2db096df6c139a46eb8
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=7
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=7
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=8.767
# afterScanMilliseconds=9.995
# changedLayerCells=354
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-225931-932-session002-p8-n08.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
349	173	30225	logic2	0	2
350	173	30226	logic2	0	2
350	174	30575	logic2	0	2
351	174	30576	logic2	0	2
349	175	30925	logic2	0	2
350	175	30926	logic2	0	2
351	175	30927	logic2	0	2
352	175	30928	logic2	0	2
348	176	31277	logic2	0	2
349	176	31278	logic2	0	2
350	176	31279	logic2	0	2
351	176	31280	logic2	0	2
352	176	31281	logic2	0	2
353	176	31282	logic2	0	2
348	177	31632	logic2	0	2
349	177	31633	logic2	0	2
350	177	31634	logic2	0	2
351	177	31635	logic2	0	2
352	177	31636	logic2	0	2
353	177	31637	logic2	0	2
354	177	31638	logic2	0	2
349	178	31990	logic2	0	2
350	178	31991	logic2	0	2
351	178	31992	logic2	0	2
352	178	31993	logic2	0	2
353	178	31994	logic2	0	2
354	178	31995	logic2	0	2
355	178	31996	logic2	0	2
344	179	32344	buildingId	0	901
345	179	32345	buildingId	0	901
346	179	32346	buildingId	0	901
347	179	32347	buildingId	0	901
348	179	32348	buildingId	0	901
349	179	32349	buildingId	0	901
350	179	32350	logic2	0	2
350	179	32350	buildingId	0	901
351	179	32351	logic2	0	2
352	179	32352	logic2	0	2
353	179	32353	logic2	0	2
354	179	32354	logic2	0	2
355	179	32355	logic2	0	2
356	179	32356	logic2	0	2
344	180	32705	buildingId	0	901
345	180	32706	buildingId	0	901
346	180	32707	buildingId	0	901
347	180	32708	buildingId	0	901
348	180	32709	buildingId	0	901
349	180	32710	buildingId	0	901
350	180	32711	buildingId	0	901
351	180	32712	logic2	0	2
352	180	32713	logic2	0	2
353	180	32714	logic2	0	2
354	180	32715	logic2	0	2
355	180	32716	logic2	0	2
356	180	32717	logic2	0	2
338	181	33062	logic2	0	2
344	181	33068	buildingId	0	901
345	181	33069	buildingId	0	901
346	181	33070	buildingId	0	901
347	181	33071	logic	32768	33792
347	181	33071	buildingId	0	901
348	181	33072	buildingId	0	901
349	181	33073	buildingId	0	901
350	181	33074	buildingId	0	901
351	181	33075	logic2	0	2
352	181	33076	logic2	0	2
353	181	33077	logic2	0	2
354	181	33078	logic2	0	2
355	181	33079	logic2	0	2
356	181	33080	logic2	0	2
344	182	33433	buildingId	0	901
345	182	33434	buildingId	0	901
346	182	33435	logic	32768	33792
346	182	33435	buildingId	0	901
347	182	33436	logic	32768	33792
347	182	33436	buildingId	0	901
348	182	33437	logic	32768	33792
348	182	33437	buildingId	0	901
349	182	33438	buildingId	0	901
350	182	33439	buildingId	0	901
351	182	33440	logic2	0	2
352	182	33441	logic2	0	2
353	182	33442	logic2	0	2
354	182	33443	logic2	0	2
355	182	33444	logic2	0	2
356	182	33445	logic2	0	2
344	183	33800	buildingId	0	901
345	183	33801	buildingId	0	901
346	183	33802	buildingId	0	901
347	183	33803	logic	0	1024
347	183	33803	buildingId	0	901
348	183	33804	buildingId	0	901
349	183	33805	buildingId	0	901
350	183	33806	buildingId	0	901
351	183	33807	logic2	0	2
352	183	33808	logic2	0	2
353	183	33809	logic2	0	2
354	183	33810	logic2	0	2
355	183	33811	logic2	0	2
356	183	33812	logic2	0	2
344	184	34169	buildingId	0	901
345	184	34170	buildingId	0	901
346	184	34171	buildingId	0	901
347	184	34172	buildingId	0	901
348	184	34173	buildingId	0	901
349	184	34174	buildingId	0	901
350	184	34175	buildingId	0	901
352	184	34177	logic2	0	2
353	184	34178	logic2	0	2
354	184	34179	logic2	0	2
355	184	34180	logic2	0	2
356	184	34181	logic2	0	2
344	185	34540	buildingId	0	901
345	185	34541	buildingId	0	901
346	185	34542	buildingId	0	901
347	185	34543	buildingId	0	901
348	185	34544	buildingId	0	901
349	185	34545	buildingId	0	901
350	185	34546	buildingId	0	901
351	185	34547	logic2	0	2
352	185	34548	logic2	0	2
353	185	34549	logic2	0	2
354	185	34550	logic2	0	2
355	185	34551	logic2	0	2
356	185	34552	logic2	0	2
346	186	34915	logic	32768	33792
346	186	34915	buildingId	0	900
347	186	34916	buildingId	0	899
348	186	34917	logic	32768	33792
348	186	34917	buildingId	0	898
352	186	34921	logic2	0	2
353	186	34922	logic2	0	2
354	186	34923	logic2	0	2
355	186	34924	logic2	0	2
339	187	35283	logic	32768	34050
339	187	35283	buildingId	0	902
339	187	35283	height	8	18
339	187	35283	wallOwner	0	7
340	187	35284	logic	32768	34050
340	187	35284	buildingId	0	902
340	187	35284	height	8	18
340	187	35284	wallOwner	0	7
341	187	35285	logic	32768	33026
341	187	35285	height	8	18
341	187	35285	wallOwner	0	7
342	187	35286	logic	32768	34050
342	187	35286	buildingId	0	903
342	187	35286	height	8	18
342	187	35286	wallOwner	0	7
343	187	35287	logic	32768	34050
343	187	35287	buildingId	0	903
343	187	35287	height	8	18
343	187	35287	wallOwner	0	7
344	187	35288	logic	32768	268468224
344	187	35288	buildingId	0	897
345	187	35289	logic	0	268435456
345	187	35289	buildingId	0	897
346	187	35290	logic	0	268435456
346	187	35290	buildingId	0	897
347	187	35291	logic	0	268435456
347	187	35291	buildingId	0	897
348	187	35292	logic	0	268435456
348	187	35292	buildingId	0	897
349	187	35293	logic	0	268435456
349	187	35293	buildingId	0	897
350	187	35294	logic	32768	268468224
350	187	35294	buildingId	0	897
353	187	35297	logic2	0	2
354	187	35298	logic2	0	2
355	187	35299	logic2	0	2
356	187	35300	logic2	0	2
339	188	35660	logic	32768	34050
339	188	35660	buildingId	0	902
339	188	35660	height	8	18
339	188	35660	wallOwner	0	7
340	188	35661	logic	32768	34050
340	188	35661	buildingId	0	902
340	188	35661	height	8	18
340	188	35661	wallOwner	0	7
341	188	35662	logic	32768	33026
341	188	35662	height	8	18
341	188	35662	wallOwner	0	7
342	188	35663	logic	32768	34050
342	188	35663	buildingId	0	903
342	188	35663	height	8	18
342	188	35663	wallOwner	0	7
343	188	35664	logic	32768	34050
343	188	35664	buildingId	0	903
343	188	35664	height	8	18
343	188	35664	wallOwner	0	7
344	188	35665	logic	32768	268468224
344	188	35665	buildingId	0	897
345	188	35666	logic	32768	268468224
345	188	35666	buildingId	0	897
346	188	35667	logic	32768	268468224
346	188	35667	buildingId	0	897
347	188	35668	logic	32768	268468224
347	188	35668	buildingId	0	897
348	188	35669	logic	32768	268468224
348	188	35669	buildingId	0	897
349	188	35670	logic	32768	268468224
349	188	35670	buildingId	0	897
350	188	35671	logic	32768	268468224
350	188	35671	buildingId	0	897
353	188	35674	logic2	0	2
354	188	35675	logic2	0	2
355	188	35676	logic2	0	2
356	188	35677	logic2	0	2
339	189	36039	logic	32768	33026
339	189	36039	height	8	18
339	189	36039	wallOwner	0	7
340	189	36040	logic	32768	33026
340	189	36040	height	8	18
340	189	36040	wallOwner	0	7
341	189	36041	logic	32768	33026
341	189	36041	height	8	18
341	189	36041	wallOwner	0	7
342	189	36042	logic	32768	33026
342	189	36042	height	8	18
342	189	36042	wallOwner	0	7
343	189	36043	logic	32768	33026
343	189	36043	height	8	18
343	189	36043	wallOwner	0	7
344	189	36044	logic	32768	268468224
344	189	36044	buildingId	0	897
345	189	36045	logic	32768	268468224
345	189	36045	buildingId	0	897
346	189	36046	logic	32768	268468224
346	189	36046	buildingId	0	897
347	189	36047	logic	32768	268468224
347	189	36047	buildingId	0	897
348	189	36048	logic	32768	268468224
348	189	36048	buildingId	0	897
349	189	36049	logic	32768	268468224
349	189	36049	buildingId	0	897
350	189	36050	logic	32768	268468224
350	189	36050	buildingId	0	897
354	189	36054	logic2	0	2
355	189	36055	logic2	0	2
356	189	36056	logic2	0	2
339	190	36420	logic	32768	34050
339	190	36420	buildingId	0	904
339	190	36420	height	8	18
339	190	36420	wallOwner	0	7
340	190	36421	logic	32768	34050
340	190	36421	buildingId	0	904
340	190	36421	height	8	18
340	190	36421	wallOwner	0	7
341	190	36422	logic	32768	33026
341	190	36422	height	8	18
341	190	36422	wallOwner	0	7
342	190	36423	logic	32768	34050
342	190	36423	buildingId	0	905
342	190	36423	height	8	18
342	190	36423	wallOwner	0	7
343	190	36424	logic	32768	34050
343	190	36424	buildingId	0	905
343	190	36424	height	8	18
343	190	36424	wallOwner	0	7
344	190	36425	logic	32768	268468224
344	190	36425	buildingId	0	897
