# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=2
# keepX=523
# keepY=489
# nativeOrientation=2
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=907ab0c23abebd42aba220449f8010f7fd12d9c1d87a455fcd24ff478453e9da
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
10	before	0	0	0	0	0	0	0	0	0
10	after	1	41	2	465609	465609	224202	7	523	489
11	before	0	0	0	0	0	0	0	0	0
11	after	1	71	2	465610	465609	226681	1	530	493
12	before	0	0	0	0	0	0	0	0	0
12	after	1	73	2	465611	465609	226066	1	530	492
13	before	0	0	0	0	0	0	0	0	0
13	after	1	72	2	465612	465609	225449	1	530	491
14	before	0	0	0	0	0	0	0	0	0
14	after	1	55	2	465613	465609	224210	7	531	489
15	before	0	0	0	0	0	0	0	0	0
15	after	1	10	2	465614	465614	221069	2	525	484
16	before	0	0	0	0	0	0	0	0	0
16	after	1	10	2	465615	465614	221072	2	528	484
17	before	0	0	0	0	0	0	0	0	0
17	after	1	10	2	465616	465614	222956	2	525	487
18	before	0	0	0	0	0	0	0	0	0
18	after	1	10	2	465617	465614	222959	2	528	487
