# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# playerId=7
# keepX=217
# keepY=321
# nativeOrientation=6
# preBuildSetting=0
# selectedCandidateId=0
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# postNativeFailureFlag=0
# changedBuildingRecords=9
# selectedFieldsOfFullBuildingRecordArrayComplete=True
# buildingId is one-based
buildingId	phase	aliveState	type	owner	globalId	nativeCleanupLinkId	tileIdBegin	occupyTileGridSize	tileX	tileY
55	before	0	0	0	0	0	0	0	0	0
55	after	1	41	7	465659	465659	103501	7	217	321
56	before	0	0	0	0	0	0	0	0	0
56	after	1	71	7	465660	465659	104792	1	216	323
57	before	0	0	0	0	0	0	0	0	0
57	after	1	73	7	465661	465659	105441	1	216	324
58	before	0	0	0	0	0	0	0	0	0
58	after	1	72	7	465662	465659	106092	1	216	325
59	before	0	0	0	0	0	0	0	0	0
59	after	1	55	7	465663	465659	103493	7	209	321
60	before	0	0	0	0	0	0	0	0	0
60	after	1	10	7	465664	465664	108058	2	217	328
61	before	0	0	0	0	0	0	0	0	0
61	after	1	10	7	465665	465664	108061	2	220	328
62	before	0	0	0	0	0	0	0	0	0
62	after	1	10	7	465666	465664	110041	2	217	331
63	before	0	0	0	0	0	0	0	0	0
63	after	1	10	7	465667	465664	110044	2	220	331
