# mapFile=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\Stronghold Crusader Definitive Edition_Data\StreamingAssets\Maps\CrusadesCrossing.map
# mapFileSha256=b5ab8bcc5c4c2783697eef4bbe692ae829b2c7d59c4aff540f79e140c49417fe
# nativeDllSha256=fbcb93195fc7efca9bdac5204852efdd76f9818f59a6711750d77c9cef2831e2
# preBuildSetting=1
# playerId=7
# keepX=217
# keepY=321
# nativeOrientation=6
# scale=7
# isFree=False
# selectionPlacementState=2
# selectionAccepted=True
# selectionFinalOrientation=6
# finalCandidateId=0
# selectedCandidateId=0
# aivJson=E:\ProgrammeE\Steam\steamapps\common\Stronghold Crusader Definitive Edition\BepInEx\plugins\ActiveAIVDetector_Serp\VanillaAIV\abbot2.aivjson
# aivJsonSha256=486ff3d30ba01c407d039d367a53b1391fd9f2feff500eb82e420cb297afdf07
# preNativeFailureFlag=0
# preNativeFailureReasonRaw=17
# preNativeStartCleanupFlag=1
# preNativeDestroyedRecordMarker=0
# postNativeFailureFlag=0
# postNativeFailureReasonRaw=17
# postNativeStartCleanupFlag=0
# postNativeDestroyedRecordMarker=1
# postNativeFailureReason=<not-applicable>
# sampledTiles=320800
# fullMapTileLayersComplete=True
# beforeScanMilliseconds=7.904
# afterScanMilliseconds=9.059
# changedLayerCells=274
# changedBuildingRecords=9
# buildingRecordTrace=oracle-start-trace-20260924-230134-266-session004-p7-n07.records.tsv
# newBuildingCells=117
# replacedBuildingCells=0
# clearedBuildingCells=0
# sampledRegionComplete=True
x	y	tileId	layer	before	after
204	320	102845	logic2	0	2
203	321	103487	logic2	0	2
209	321	103493	buildingId	0	472
210	321	103494	logic2	0	2
210	321	103494	buildingId	0	472
211	321	103495	buildingId	0	472
212	321	103496	buildingId	0	472
213	321	103497	buildingId	0	472
214	321	103498	buildingId	0	472
215	321	103499	buildingId	0	472
217	321	103501	logic	32768	268468224
217	321	103501	buildingId	0	468
218	321	103502	logic	32768	268468224
218	321	103502	buildingId	0	468
219	321	103503	logic	32768	268468224
219	321	103503	buildingId	0	468
220	321	103504	logic	32768	268468224
220	321	103504	buildingId	0	468
221	321	103505	logic	32768	268468224
221	321	103505	buildingId	0	468
222	321	103506	logic	32768	268468224
222	321	103506	buildingId	0	468
223	321	103507	logic	32768	268468224
223	321	103507	buildingId	0	468
203	322	104132	logic2	0	2
209	322	104138	buildingId	0	472
210	322	104139	buildingId	0	472
211	322	104140	buildingId	0	472
212	322	104141	buildingId	0	472
213	322	104142	buildingId	0	472
214	322	104143	buildingId	0	472
215	322	104144	buildingId	0	472
217	322	104146	logic	32768	268468224
217	322	104146	buildingId	0	468
218	322	104147	logic	32768	268468224
218	322	104147	buildingId	0	468
219	322	104148	logic	32768	268468224
219	322	104148	buildingId	0	468
220	322	104149	logic	32768	268468224
220	322	104149	buildingId	0	468
221	322	104150	logic	32768	268468224
221	322	104150	buildingId	0	468
222	322	104151	logic	32768	268468224
222	322	104151	buildingId	0	468
223	322	104152	logic	32768	268468224
223	322	104152	logic2	0	2
223	322	104152	buildingId	0	468
203	323	104779	logic2	0	2
209	323	104785	buildingId	0	472
